,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.augustahealth.org/,text/html; charset=UTF-8,200,OK,Indexable,,Augusta University Health | World-Class Health Care,51,465,,0,0,,0,Georgia Cancer Center,21,Children's Hospital of Georgia,30,AU Health | World-Class Health Care,35,Our Mission,11,,,,,,,,,,84297,574,11.951,0,,2443,2090,0,100.0,104,48,0,24,17,0,,,,,3ec529b054d5774f680a057a13c9084b,0.961,,,,,1.1,https://www.augustahealth.org/,2022-01-20 15:49:22
1,https://www.augustahealth.org/images/patient-stories.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,91253,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.465,"Fri, 02 Oct 2020 20:35:44 GMT",,,,1.1,https://www.augustahealth.org/images/patient-stories.jpg,2022-01-20 15:49:28
3,https://www.augustahealth.org/map,text/html; charset=UTF-8,200,OK,Indexable,,Interactive Map | AU Health,27,240,,0,0,,0,,0,,0,Maps,4,Interactive Map,15,,,,,,,,,,63064,334,13.649,1,,5984,1987,0,95.07,99,47,0,15,11,0,,,,,9cbca8af439b832aec10f398135b8c3d,0.596,,,,,1.1,https://www.augustahealth.org/map,2022-01-20 15:49:28
4,https://www.augustahealth.org/patient-family-info/,text/html; charset=UTF-8,200,OK,Indexable,,Patient & Family Information,28,247,,0,0,,0,Patient & Family Information,28,,0,Patient & Family Information,28,Menu,4,,,,,,,,,,77173,488,12.621,1,,6328,2090,0,100.0,124,60,0,17,11,0,,,,,6768540f7a50c50978fcf76bc963f9ff,0.605,,,,,1.1,https://www.augustahealth.org/patient-family-info/,2022-01-20 15:49:28
5,https://www.augustahealth.org/billing/financial-assistance/,text/html; charset=UTF-8,200,OK,Indexable,,Financial Assistance,20,181,,0,0,,0,Financial Assistance,20,Financial Assistance,20,Financial Assistance,20,Menu,4,,,,,,,,,,80690,802,14.758,1,,2112,2090,0,100.0,125,68,0,16,11,0,,,,,113915abbfb7d953749cac23c5d7452c,0.646,,,,,1.1,https://www.augustahealth.org/billing/financial-assistance/,2022-01-20 15:49:28
6,https://www.augustahealth.org/locations/digestive-health,text/html; charset=UTF-8,200,OK,Indexable,,Digestive Health Center | Augusta University Health Location,60,534,,0,0,,0,,0,,0,Digestive Health Center,23,Digestive Health Center,23,,,,,,,,,,89058,794,13.004,1,,2028,1985,0,94.98,124,53,0,27,19,0,,,,,6993e31e1b71672a3791553bfcb9babf,0.743,,,,,1.1,https://www.augustahealth.org/locations/digestive-health,2022-01-20 15:49:28
7,https://www.augustahealth.org/give,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,243,0,0.0,1,,2090,2090,0,100.0,0,0,0,0,0,0,,,,,,0.489,,https://www.augustahealth.org/give/,HTTP Redirect,,1.1,https://www.augustahealth.org/give,2022-01-20 15:49:30
8,https://www.augustahealth.org/about-us/newsroom.php,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,231,0,0.0,1,,1995,1986,0,95.02,0,0,0,0,0,0,,,,,,0.614,,https://www.augustahealth.org/about-us/newsroom,HTTP Redirect,,1.1,https://www.augustahealth.org/about-us/newsroom.php,2022-01-20 15:49:31
9,http://www.augustahealth.org/,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,238,0,0.0,1,,1985,1985,0,94.98,0,0,0,0,0,0,,,,,,0.187,,https://www.augustahealth.org/,HTTP Redirect,,1.1,http://www.augustahealth.org/,2022-01-20 15:49:31
10,https://www.augustahealth.org/about-us/academic-health-center-advantage,text/html; charset=UTF-8,200,OK,Indexable,,The Academic Health Center Advantage,36,353,,0,0,,0,The Academic Health Center Advantage,36,The Academic Health Center Advantage,36,The Academic Health Center Advantage,36,Menu,4,,,,,,,,,,73493,520,13.711,1,,2114,2089,0,99.95,110,55,0,15,11,0,,,,,e867098fcd2bbea0fdb9f71a2d3613f8,0.265,,,,,1.1,https://www.augustahealth.org/about-us/academic-health-center-advantage,2022-01-20 15:49:31
