,Type,Source,Destination,Size (Bytes),Alt Text,Anchor,Status Code,Status,Follow,Target,Rel,Path Type,Link Path,Link Position,Link Origin
0,Hyperlink,https://www.bswhealth.com/,https://www.bswhealth.med/Pages/refer.aspx,76528,,Refer a Patient,200.0,OK,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[1]/div/ul/li[1]/a,Header,HTML
1,Hyperlink,https://www.bswhealth.com/,https://www.bswhealth.med/education/Pages/home.aspx,123574,,Medical Education,200.0,OK,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[1]/div/ul/li[2]/a,Header,HTML
2,Hyperlink,https://www.bswhealth.com/,https://jobs.bswhealth.com/,0,,Careers,303.0,See Other,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[1]/div/ul/li[@class='util-career']/a,Header,HTML
3,Hyperlink,https://www.bswhealth.com/,https://my.bswhealth.com/,38080,,Log in to MyBSWHealth,200.0,OK,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[1]/div/div/a,Header,HTML
4,Hyperlink,https://www.bswhealth.com/,https://events.bswhealth.com/,113576,,Classes and Events,200.0,OK,True,,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-two']/article/ul/li[2]/a,Header,HTML
5,Hyperlink,https://www.bswhealth.com/,http://swhp.org/en-us/,0,,Insurance,301.0,Moved Permanently,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-two']/article/ul/li[3]/a,Header,HTML
6,Hyperlink,https://www.bswhealth.com/,https://news.bswhealth.com/,146,,News,403.0,Forbidden,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-three']/article/ul/li[4]/a,Header,HTML
7,Hyperlink,https://www.bswhealth.com/,http://scrubbing.in/,162,,Blog,301.0,Moved Permanently,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-three']/article/ul/li[5]/a,Header,HTML
8,Hyperlink,https://www.bswhealth.com/,https://www.bswhealth.med/,78831,,For Physicians,200.0,OK,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-five']/div/ul/li[1]/a,Header,HTML
9,Hyperlink,https://www.bswhealth.com/,https://jobs.bswhealth.com/,0,,Careers,303.0,See Other,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-five']/div/ul/li[@class='util-career']/a,Header,HTML
10,Hyperlink,https://www.bswhealth.com/,https://my.bswhealth.com/,38080,,Log in to MyBSWHealth,200.0,OK,True,_blank,,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='wsmenu']/section/header/div/header/div/section/header/div[@class='menu']/section/div[@class='menu-col-five']/div/a,Header,HTML
11,Hyperlink,https://www.bswhealth.com/,https://my.bswhealth.com/?_ga=2.145202419.655411193.1607456585-530244737.1542042352,38196,,MyBSWHealth,200.0,OK,True,_blank,noopener noreferrer,Absolute,//body/form/div[@id='s4-workspace']/div/div[@id='contentBox']/div[@id='pagewidth']/div[@id='DeltaPlaceHolderMain']/div[@class='container-fluid']/div[4]/div[@id='MSOZoneCell_WebPartctl00_SPWebPartManager1_g_0575b0f9_63a8_4eab_a957_13b083072fa2']/div/div/div[@id='ctl00_SPWebPartManager1_g_0575b0f9_63a8_4eab_a957_13b083072fa2']/div/div[@id='col-one-section']/div/div/div[1]/div/div[@class='section-body-text-container']/div/p[3]/a,Content,HTML
