,Source,Target
0,https://www.cumedicine.us/,https://www.personapay.com/cumedicine/login
1,https://www.cumedicine.us/,https://www.datapay3.com/c/upi01/login.asp
2,https://www.cumedicine.us/,https://www.facebook.com/cumedicine.us
3,https://www.cumedicine.us/,https://twitter.com/cu_medicine
4,https://www.cumedicine.us/,https://instagram.com/cu.medicine
5,https://www.cumedicine.us/,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
6,https://www.cumedicine.us/,https://www.pinterest.com/CUMedicine/_created/
7,https://www.cumedicine.us/,https://www.linkedin.com/company/university-of-colorado-medicine/
8,https://www.cumedicine.us/,https://www.datapay3.com/c/upi01/login.asp
9,https://www.cumedicine.us/,https://cumedicine.marketingautomation.services/forms-proxy/MzawMLE0MTWyBAA/SzG1MEs2MTXTTbQwTdQ1MTVO1bW0SEkGskzMjNMSzczMDQwA
10,https://www.cumedicine.us/,https://portal.mypropago.com/login/CUMedicine
11,https://www.cumedicine.us/,https://som.ucdenver.edu/?ReturnUrl=%2FFIMS%2F
12,https://www.cumedicine.us/,https://www.datapay3.com/c/upi01
13,https://www.cumedicine.us/,https://www.facebook.com/cumedicine.us
14,https://www.cumedicine.us/,https://twitter.com/cu_medicine
15,https://www.cumedicine.us/,https://instagram.com/cu.medicine
16,https://www.cumedicine.us/,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
17,https://www.cumedicine.us/,https://www.pinterest.com/CUMedicine/_created/
18,https://www.cumedicine.us/,https://www.linkedin.com/company/university-of-colorado-medicine/
19,https://www.cumedicine.us/faqs,https://www.personapay.com/cumedicine/login
20,https://www.cumedicine.us/faqs,https://www.datapay3.com/c/upi01/login.asp
21,https://www.cumedicine.us/faqs,https://www.facebook.com/cumedicine.us
22,https://www.cumedicine.us/faqs,https://twitter.com/cu_medicine
23,https://www.cumedicine.us/faqs,https://instagram.com/cu.medicine
24,https://www.cumedicine.us/faqs,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
25,https://www.cumedicine.us/faqs,https://www.pinterest.com/CUMedicine/_created/
26,https://www.cumedicine.us/faqs,https://www.linkedin.com/company/university-of-colorado-medicine/
27,https://www.cumedicine.us/faqs,https://www.datapay3.com/c/upi01/login.asp
28,https://www.cumedicine.us/faqs,https://www.uchealth.org/access-my-health-connection/
29,https://www.cumedicine.us/faqs,https://cumedicine.marketingautomation.services/forms-proxy/MzawMLE0MTWyBAA/SzG1MEs2MTXTTbQwTdQ1MTVO1bW0SEkGskzMjNMSzczMDQwA
30,https://www.cumedicine.us/faqs,https://portal.mypropago.com/login/CUMedicine
31,https://www.cumedicine.us/faqs,https://som.ucdenver.edu/?ReturnUrl=%2FFIMS%2F
32,https://www.cumedicine.us/faqs,https://www.datapay3.com/c/upi01
33,https://www.cumedicine.us/faqs,https://www.facebook.com/cumedicine.us
34,https://www.cumedicine.us/faqs,https://twitter.com/cu_medicine
35,https://www.cumedicine.us/faqs,https://instagram.com/cu.medicine
