,Source,Target
0,https://www.downstate.edu/patient-care/index.html,https://outlook.office.com/
2,https://www.downstate.edu/patient-care/index.html,https://www.twitter.com/sunydownstate
3,https://www.downstate.edu/patient-care/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
4,https://www.downstate.edu/patient-care/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
5,https://www.downstate.edu/patient-care/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/patient-care/index.pcf
6,https://www.downstate.edu/research/medical-research-library/index.html,https://outlook.office.com/
7,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/interlibraryloan
8,https://www.downstate.edu/research/medical-research-library/index.html,https://suny-brh.primo.exlibrisgroup.com/discovery/search?vid=01SUNY_BRH:01SUNY_BRH&lang=en&sortby=rank&mode=advanced
9,https://www.downstate.edu/research/medical-research-library/index.html,https://tinyurl.com/y3xm3xak
10,https://www.downstate.edu/research/medical-research-library/index.html,https://newproxy.downstate.edu/login?url=https://library.downstate.edu/library-registration-form.html
11,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/libraryorientation
12,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/covid19
13,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/predatorypublishing
14,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/OpenAccess
15,https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/OpenAccessPolicy
16,https://www.downstate.edu/research/medical-research-library/index.html,https://www.facebook.com/DMCLibraryBKLYN
17,https://www.downstate.edu/research/medical-research-library/index.html,https://twitter.com/DMCLibraryBKLYN
19,https://www.downstate.edu/research/medical-research-library/index.html,https://www.twitter.com/sunydownstate
20,https://www.downstate.edu/research/medical-research-library/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
21,https://www.downstate.edu/research/medical-research-library/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
22,https://www.downstate.edu/research/medical-research-library/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/research/medical-research-library/index.pcf
23,https://www.downstate.edu/education-training/downstate-experience/index.html,https://outlook.office.com/
25,https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.twitter.com/sunydownstate
26,https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
27,https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
28,https://www.downstate.edu/education-training/downstate-experience/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/education-training/downstate-experience/index.pcf
29,https://www.downstate.edu/news-events/communications-marketing/index.html,https://outlook.office.com/
30,https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.youtube.com/user/downstatebiomed
32,https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.twitter.com/sunydownstate
33,https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
34,https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
35,https://www.downstate.edu/news-events/communications-marketing/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/news-events/communications-marketing/index.pcf
36,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://outlook.office.com/
37,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://twitter.com/sunydownstate
39,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.twitter.com/sunydownstate
40,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.facebook.com/DownstateHealthSciencesUniversity
41,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
42,https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/news-events/news/2021/07-22-2021.pcf
43,https://www.downstate.edu/about/societies-funds/index.html,https://outlook.office.com/
45,https://www.downstate.edu/about/societies-funds/index.html,https://www.twitter.com/sunydownstate
