,Source,Target
0,https://www.dukehealth.org/,https://www.dukemychart.org/home/
1,https://www.dukehealth.org/,https://physicians.dukehealth.org/
2,https://www.dukehealth.org/,https://corporate.dukehealth.org/
3,https://www.dukehealth.org/,https://medschool.duke.edu/
4,https://www.dukehealth.org/,https://giving.dukehealth.org/ways-to-give/covid-19-response-funds
5,https://www.dukehealth.org/,http://www.facebook.com/dukemedicine
6,https://www.dukehealth.org/,http://twitter.com/DukeHealth
7,https://www.dukehealth.org/,http://youtube.com/user/Dukemedicine
8,https://www.dukehealth.org/,https://www.instagram.com/dukehealth
9,https://www.dukehealth.org/,https://www.linkedin.com/company/duke-university-health-system
10,https://www.dukehealth.org/,http://medschool.duke.edu/
11,https://www.dukehealth.org/,http://nursing.duke.edu/
12,https://www.dukehealth.org/,http://www.duke.edu/
13,https://www.dukehealth.org/,https://careers.duke.edu/
14,https://www.dukehealth.org/,https://giving.dukehealth.org/
15,https://www.dukehealth.org/,https://corporate.dukehealth.org/newsmedia
16,https://www.dukehealth.org/,https://physicians.dukehealth.org/
17,https://www.dukehealth.org/adult-treatments,http://www.facebook.com/dukemedicine
18,https://www.dukehealth.org/adult-treatments,http://twitter.com/DukeHealth
19,https://www.dukehealth.org/adult-treatments,http://youtube.com/user/Dukemedicine
20,https://www.dukehealth.org/adult-treatments,https://www.instagram.com/dukehealth
21,https://www.dukehealth.org/adult-treatments,https://www.linkedin.com/company/duke-university-health-system
22,https://www.dukehealth.org/adult-treatments,http://medschool.duke.edu/
23,https://www.dukehealth.org/adult-treatments,http://nursing.duke.edu/
24,https://www.dukehealth.org/adult-treatments,http://www.duke.edu/
25,https://www.dukehealth.org/adult-treatments,https://careers.duke.edu/
26,https://www.dukehealth.org/adult-treatments,https://giving.dukehealth.org/
27,https://www.dukehealth.org/adult-treatments,https://corporate.dukehealth.org/newsmedia
28,https://www.dukehealth.org/adult-treatments,https://physicians.dukehealth.org/
29,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/booster-shot.html
30,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.dukemychart.org/home/scheduling
31,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/children-teens.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fvaccines%2Frecommendations%2Fadolescents.html
32,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://gotriangle.org/
33,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://godurhamtransit.org/
34,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.wakegov.com/departments-government/human-services/programs-assistance/gowake-access-transportation
35,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://covid19.ncdhhs.gov/
36,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://covid19.ncdhhs.gov/vaccines
37,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.dukemychart.org/home/Authentication/Login?
38,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://covid19.ncdhhs.gov/vaccines/after-youve-been-vaccinated/your-vaccine-information
39,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://www.facebook.com/dukemedicine
40,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://twitter.com/DukeHealth
41,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://youtube.com/user/Dukemedicine
42,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.instagram.com/dukehealth
43,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.linkedin.com/company/duke-university-health-system
44,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://medschool.duke.edu/
45,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://nursing.duke.edu/
46,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,http://www.duke.edu/
47,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://careers.duke.edu/
48,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://giving.dukehealth.org/
49,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://corporate.dukehealth.org/newsmedia
50,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://physicians.dukehealth.org/
51,https://www.dukehealth.org/VisitorRestrictions,http://www.facebook.com/dukemedicine
52,https://www.dukehealth.org/VisitorRestrictions,http://twitter.com/DukeHealth
53,https://www.dukehealth.org/VisitorRestrictions,http://youtube.com/user/Dukemedicine
54,https://www.dukehealth.org/VisitorRestrictions,https://www.instagram.com/dukehealth
55,https://www.dukehealth.org/VisitorRestrictions,https://www.linkedin.com/company/duke-university-health-system
56,https://www.dukehealth.org/VisitorRestrictions,http://medschool.duke.edu/
57,https://www.dukehealth.org/VisitorRestrictions,http://nursing.duke.edu/
58,https://www.dukehealth.org/VisitorRestrictions,http://www.duke.edu/
59,https://www.dukehealth.org/VisitorRestrictions,https://careers.duke.edu/
60,https://www.dukehealth.org/VisitorRestrictions,https://giving.dukehealth.org/
61,https://www.dukehealth.org/VisitorRestrictions,https://corporate.dukehealth.org/newsmedia
62,https://www.dukehealth.org/VisitorRestrictions,https://physicians.dukehealth.org/
63,https://www.dukehealth.org/blog,http://www.facebook.com/dukemedicine
64,https://www.dukehealth.org/blog,http://twitter.com/DukeHealth
65,https://www.dukehealth.org/blog,http://youtube.com/user/Dukemedicine
66,https://www.dukehealth.org/blog,https://www.instagram.com/dukehealth
67,https://www.dukehealth.org/blog,https://www.linkedin.com/company/duke-university-health-system
68,https://www.dukehealth.org/blog,http://medschool.duke.edu/
69,https://www.dukehealth.org/blog,http://nursing.duke.edu/
70,https://www.dukehealth.org/blog,http://www.duke.edu/
71,https://www.dukehealth.org/blog,https://careers.duke.edu/
72,https://www.dukehealth.org/blog,https://giving.dukehealth.org/
73,https://www.dukehealth.org/blog,https://corporate.dukehealth.org/newsmedia
74,https://www.dukehealth.org/blog,https://physicians.dukehealth.org/
75,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.dukemychart.org/home/Signup
76,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://covid19.ncdhhs.gov/about-covid-19/testing/find-my-testing-place/test-site-finder
77,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://covid19.ncdhhs.gov/about-covid-19/testing/covid-19-test-home-collection-kit-program
78,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.dukemychart.org/home/Authentication/Login?
79,https://www.dukehealth.org/covid-19-update/covid-19-testing,http://www.facebook.com/dukemedicine
80,https://www.dukehealth.org/covid-19-update/covid-19-testing,http://twitter.com/DukeHealth
81,https://www.dukehealth.org/covid-19-update/covid-19-testing,http://youtube.com/user/Dukemedicine
82,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.instagram.com/dukehealth
83,https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.linkedin.com/company/duke-university-health-system
84,https://www.dukehealth.org/covid-19-update/covid-19-testing,http://medschool.duke.edu/
