,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://etsuhealth.org/find-a-doctor/sports-medicine/mills.php,,302,Found : Moved Temporarily,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,3,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.13,,https://www.etsuhealth.org/find-a-doctor/sports-medicine/mills.php,HTTP Redirect,,1.1,https://etsuhealth.org/find-a-doctor/sports-medicine/mills.php,2022-01-20 16:27:29
1,https://www.etsuhealth.org/,text/html; charset=UTF-8,200,OK,Indexable,,ETSU Health,11,117,,0,0,,0,,0,ETSU Health Spotlights,22,,0,COVID-19 Vaccine Clinics,24,,,,https://www.etsuhealth.org/,,,,,,26480,18,4.14,0,,810,406,0,100.0,46,31,0,5,5,0,,,,,ce2c00f546d088cefba56f851c266ee0,0.129,,,,,1.1,https://www.etsuhealth.org/,2022-01-20 16:26:58
11,https://www.etsuhealth.org/about/,text/html; charset=UTF-8,200,OK,Indexable,,About ETSU Health,17,173,About ETSU Health,17,119,,0,,0,About ETSU Health,17,,0,"William A. Block, Jr., M.D.",27,,,,https://www.etsuhealth.org/about/,,,,,,18626,187,10.779,1,,1216,406,0,100.0,54,28,0,4,4,0,,,,,1a9669e6309df9a4c91995864b496320,0.136,,,,,1.1,https://www.etsuhealth.org/about/,2022-01-20 16:26:58
12,https://www.etsuhealth.org/about/default.php,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,About ETSU Health,17,173,About ETSU Health,17,119,,0,,0,About ETSU Health,17,,0,"William A. Block, Jr., M.D.",27,,,,https://www.etsuhealth.org/about/,,,,,,18626,187,10.779,1,,406,406,0,100.0,54,28,0,4,4,0,,,,,1a9669e6309df9a4c91995864b496320,0.125,,,,,1.1,https://www.etsuhealth.org/about/default.php,2022-01-20 16:26:59
13,https://www.etsuhealth.org/contact/,text/html; charset=UTF-8,200,OK,Indexable,,Contact Us,10,98,ETSU Health Contact us,22,151,,0,,0,Contact Us,10,,0,We’re here for you,18,,,,https://www.etsuhealth.org/contact/,,,,,,17485,82,7.404,1,,1216,406,0,100.0,54,28,0,4,4,0,,,,,4ddc94b9cda99198497efd20eb94401e,0.134,,,,,1.1,https://www.etsuhealth.org/contact/,2022-01-20 16:26:58
14,https://www.etsuhealth.org/contact/default.php,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Contact Us,10,98,ETSU Health Contact us,22,151,,0,,0,Contact Us,10,,0,We’re here for you,18,,,,https://www.etsuhealth.org/contact/,,,,,,17485,82,7.404,1,,406,406,0,100.0,54,28,0,4,4,0,,,,,4ddc94b9cda99198497efd20eb94401e,0.139,,,,,1.1,https://www.etsuhealth.org/contact/default.php,2022-01-20 16:26:58
15,https://www.etsuhealth.org/default.php,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,ETSU Health,11,117,,0,0,,0,,0,ETSU Health Spotlights,22,,0,COVID-19 Vaccine Clinics,24,,,,https://www.etsuhealth.org/,,,,,,26480,18,4.14,1,,406,406,0,100.0,46,31,0,5,5,0,,,,,ce2c00f546d088cefba56f851c266ee0,0.23,,,,,1.1,https://www.etsuhealth.org/default.php,2022-01-20 16:26:58
16,https://www.etsuhealth.org/documents/2021referralform.doc,application/msword,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,437248,0,0.0,3,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.199,"Tue, 27 Apr 2021 14:12:01 GMT",,,,1.1,https://www.etsuhealth.org/documents/2021referralform.doc,2022-01-20 16:27:21
17,https://www.etsuhealth.org/documents/clinicalemployeereturntoworkprotocol08152021.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,32800,0,0.0,2,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.119,"Tue, 17 Aug 2021 14:00:36 GMT",,,,1.1,https://www.etsuhealth.org/documents/clinicalemployeereturntoworkprotocol08152021.docx,2022-01-20 16:27:06
18,https://www.etsuhealth.org/documents/etsu_health_brand_standards.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2758207,0,0.0,2,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.125,"Mon, 13 Sep 2021 15:30:29 GMT",,,,1.1,https://www.etsuhealth.org/documents/etsu_health_brand_standards.pdf,2022-01-20 16:27:03
19,https://www.etsuhealth.org/documents/etsuhealthemailsignature.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,411937,0,0.0,2,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.123,"Mon, 16 Aug 2021 14:53:29 GMT",,,,1.1,https://www.etsuhealth.org/documents/etsuhealthemailsignature.docx,2022-01-20 16:27:01
20,https://www.etsuhealth.org/documents/etsuhealthemployeebadgerequest.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,119739,0,0.0,2,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.131,"Mon, 16 Aug 2021 14:53:29 GMT",,,,1.1,https://www.etsuhealth.org/documents/etsuhealthemployeebadgerequest.pdf,2022-01-20 16:27:06
21,https://www.etsuhealth.org/documents/etsuhealthstudentbadgerequest.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,111527,0,0.0,2,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.127,"Mon, 16 Aug 2021 14:53:30 GMT",,,,1.1,https://www.etsuhealth.org/documents/etsuhealthstudentbadgerequest.pdf,2022-01-20 16:27:09
22,https://www.etsuhealth.org/documents/etsuhealthvendors.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,271356,0,0.0,2,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.129,"Mon, 16 Aug 2021 14:42:08 GMT",,,,1.1,https://www.etsuhealth.org/documents/etsuhealthvendors.pdf,2022-01-20 16:27:10
23,https://www.etsuhealth.org/documents/eua_thermo_taqpath.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,171984,0,0.0,2,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.137,"Thu, 10 Dec 2020 21:04:08 GMT",,,,1.1,https://www.etsuhealth.org/documents/eua_thermo_taqpath.pdf,2022-01-20 16:27:01
24,https://www.etsuhealth.org/documents/fpmrs/augs.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,106215,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.136,"Mon, 04 Jan 2021 19:43:50 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/augs.pdf,2022-01-20 16:27:31
25,https://www.etsuhealth.org/documents/fpmrs/bladder_diary.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,84081,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.158,"Mon, 04 Jan 2021 19:43:51 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/bladder_diary.pdf,2022-01-20 16:27:34
26,https://www.etsuhealth.org/documents/fpmrs/huffaker_cv_2020.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,42422,0,0.0,4,,2,2,0,0.49,0,0,0,0,0,0,,,,,,0.156,"Thu, 07 Jan 2021 17:53:53 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/huffaker_cv_2020.docx,2022-01-20 16:27:34
27,https://www.etsuhealth.org/documents/fpmrs/interstitial_cystitis.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,330007,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.154,"Mon, 04 Jan 2021 19:43:51 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/interstitial_cystitis.pdf,2022-01-20 16:27:35
28,https://www.etsuhealth.org/documents/fpmrs/overactive_bladder.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1366100,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.128,"Mon, 04 Jan 2021 19:43:52 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/overactive_bladder.pdf,2022-01-20 16:27:31
29,https://www.etsuhealth.org/documents/fpmrs/pain_questions.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,90346,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.132,"Mon, 04 Jan 2021 19:43:52 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/pain_questions.pdf,2022-01-20 16:27:33
30,https://www.etsuhealth.org/documents/fpmrs/pelvic_floor_exercises.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,317626,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.139,"Mon, 04 Jan 2021 19:43:53 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/pelvic_floor_exercises.pdf,2022-01-20 16:27:32
31,https://www.etsuhealth.org/documents/fpmrs/pelvic_organ_prolapse.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,466327,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.143,"Mon, 04 Jan 2021 19:43:53 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/pelvic_organ_prolapse.pdf,2022-01-20 16:27:34
32,https://www.etsuhealth.org/documents/fpmrs/peripheral_nerve_eval.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,206683,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.125,"Mon, 04 Jan 2021 19:43:53 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/peripheral_nerve_eval.pdf,2022-01-20 16:27:33
33,https://www.etsuhealth.org/documents/fpmrs/recovery_following_surgery.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,472201,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.132,"Mon, 04 Jan 2021 19:43:54 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/recovery_following_surgery.pdf,2022-01-20 16:27:33
34,https://www.etsuhealth.org/documents/fpmrs/sacral_neuro.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,674994,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.133,"Mon, 04 Jan 2021 19:43:55 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/sacral_neuro.pdf,2022-01-20 16:27:32
35,https://www.etsuhealth.org/documents/fpmrs/sui.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,367142,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.129,"Mon, 04 Jan 2021 19:43:55 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/sui.pdf,2022-01-20 16:27:32
36,https://www.etsuhealth.org/documents/fpmrs/urodynamics.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,295626,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.136,"Mon, 04 Jan 2021 19:43:56 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/urodynamics.pdf,2022-01-20 16:27:34
37,https://www.etsuhealth.org/documents/fpmrs/uti.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1317562,0,0.0,4,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.122,"Mon, 04 Jan 2021 19:43:56 GMT",,,,1.1,https://www.etsuhealth.org/documents/fpmrs/uti.pdf,2022-01-20 16:27:33
38,https://www.etsuhealth.org/documents/job_descriptions/coding_reimbursement_specialist.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,58136,0,0.0,2,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.128,"Tue, 27 Apr 2021 16:52:01 GMT",,,,1.1,https://www.etsuhealth.org/documents/job_descriptions/coding_reimbursement_specialist.pdf,2022-01-20 16:27:08
39,https://www.etsuhealth.org/documents/job_descriptions/custodian.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,44698,0,0.0,2,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.136,"Fri, 05 Mar 2021 20:42:26 GMT",,,,1.1,https://www.etsuhealth.org/documents/job_descriptions/custodian.pdf,2022-01-20 16:27:10
40,https://www.etsuhealth.org/documents/job_descriptions/customer_support_rep.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,40566,0,0.0,2,,1,1,0,0.25,0,0,0,0,0,0,,,,,,0.135,"Thu, 01 Apr 2021 18:52:10 GMT",,,,1.1,https://www.etsuhealth.org/documents/job_descriptions/customer_support_rep.pdf,2022-01-20 16:27:09
