,Source,Target
0,https://hcn.fiu.edu/index.html,https://www.fiu.edu/
1,https://hcn.fiu.edu/index.html,https://phonebook.fiu.edu/
2,https://hcn.fiu.edu/index.html,https://parking.fiu.edu/
3,https://hcn.fiu.edu/index.html,https://studentaffairs.fiu.edu//health-and-fitness/recreation/index.php
4,https://hcn.fiu.edu/index.html,http://campusmaps.fiu.edu/
5,https://hcn.fiu.edu/index.html,https://library.fiu.edu/
6,https://hcn.fiu.edu/index.html,https://network.fiu.edu/
7,https://hcn.fiu.edu/index.html,https://calendar.fiu.edu/
8,https://hcn.fiu.edu/index.html,https://shop.fiu.edu/
9,https://hcn.fiu.edu/index.html,https://catalog.fiu.edu/
10,https://hcn.fiu.edu/index.html,https://police.fiu.edu/
11,https://hcn.fiu.edu/index.html,https://shop.fiu.edu/retail/barnes-noble/course-materials/
12,https://hcn.fiu.edu/index.html,https://www.fiu.edu/atoz/index.html
13,https://hcn.fiu.edu/index.html,https://www.fiu.edu/information-for/future-students-parents.html
14,https://hcn.fiu.edu/index.html,https://www.fiu.edu/information-for/current-students.html
15,https://hcn.fiu.edu/index.html,https://www.fiu.edu/information-for/faculty-staff.html
16,https://hcn.fiu.edu/index.html,https://www.fiu.edu/
17,https://hcn.fiu.edu/index.html,https://www.fiu.edu/about/contact-us/index.html
18,https://hcn.fiu.edu/index.html,https://news.fiu.edu/
19,https://hcn.fiu.edu/index.html,https://www.facebook.com/floridainternational
20,https://hcn.fiu.edu/index.html,https://twitter.com/fiu
21,https://hcn.fiu.edu/index.html,https://www.instagram.com/fiuinstagram/
22,https://hcn.fiu.edu/index.html,https://www.youtube.com/user/FloridaInternational
23,https://hcn.fiu.edu/index.html,https://www.tiktok.com/@fiutiktoK
24,https://hcn.fiu.edu/index.html,https://flickr.com/photos/fiu
25,https://hcn.fiu.edu/index.html,https://www.fiu.edu/about/index.html
26,https://hcn.fiu.edu/index.html,https://www.fiu.edu/admissions/index.html
27,https://hcn.fiu.edu/index.html,https://www.fiu.edu/academics/index.html
28,https://hcn.fiu.edu/index.html,https://www.fiu.edu/locations/index.html
29,https://hcn.fiu.edu/index.html,https://www.fiu.edu/research/index.html
30,https://hcn.fiu.edu/index.html,https://www.fiu.edu/student-life/index.html
31,https://hcn.fiu.edu/index.html,https://www.fiu.edu/athletics/index.html
32,https://hcn.fiu.edu/index.html,https://www.fiu.edu/alumni-and-giving/index.html
33,https://hcn.fiu.edu/index.html,https://hr.fiu.edu/careers/
34,https://hcn.fiu.edu/index.html,https://phonebook.fiu.edu/
35,https://hcn.fiu.edu/index.html,https://calendar.fiu.edu/
36,https://hcn.fiu.edu/index.html,http://campusmaps.fiu.edu/
37,https://hcn.fiu.edu/index.html,https://my.fiu.edu/
38,https://hcn.fiu.edu/index.html,https://canvas.fiu.edu/
39,https://hcn.fiu.edu/index.html,http://panthermail.fiu.edu/
40,https://hcn.fiu.edu/index.html,http://mail.fiu.edu/
41,https://hcn.fiu.edu/index.html,https://fiu.service-now.com/sp?id=services_status
42,https://hcn.fiu.edu/index.html,https://reservespace.fiu.edu/make-reservation/
43,https://hcn.fiu.edu/index.html,https://hr.fiu.edu/employees-affiliates/employee-concerns/
44,https://hcn.fiu.edu/index.html,https://digicomm.fiu.edu/
45,https://hcn.fiu.edu/index.html,https://webforms.fiu.edu/view.php?id=370774
46,https://hcn.fiu.edu/index.html,https://accessibility.fiu.edu/
47,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/
48,https://hcn.fiu.edu/about/index.html,https://phonebook.fiu.edu/
49,https://hcn.fiu.edu/about/index.html,https://parking.fiu.edu/
50,https://hcn.fiu.edu/about/index.html,https://studentaffairs.fiu.edu//health-and-fitness/recreation/index.php
51,https://hcn.fiu.edu/about/index.html,http://campusmaps.fiu.edu/
52,https://hcn.fiu.edu/about/index.html,https://library.fiu.edu/
53,https://hcn.fiu.edu/about/index.html,https://network.fiu.edu/
54,https://hcn.fiu.edu/about/index.html,https://calendar.fiu.edu/
55,https://hcn.fiu.edu/about/index.html,https://shop.fiu.edu/
56,https://hcn.fiu.edu/about/index.html,https://catalog.fiu.edu/
57,https://hcn.fiu.edu/about/index.html,https://police.fiu.edu/
58,https://hcn.fiu.edu/about/index.html,https://shop.fiu.edu/retail/barnes-noble/course-materials/
59,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/atoz/index.html
60,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/information-for/future-students-parents.html
61,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/information-for/current-students.html
62,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/information-for/faculty-staff.html
63,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/
64,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/about/contact-us/index.html
65,https://hcn.fiu.edu/about/index.html,https://news.fiu.edu/
66,https://hcn.fiu.edu/about/index.html,https://www.facebook.com/floridainternational
67,https://hcn.fiu.edu/about/index.html,https://twitter.com/fiu
68,https://hcn.fiu.edu/about/index.html,https://www.instagram.com/fiuinstagram/
69,https://hcn.fiu.edu/about/index.html,https://www.youtube.com/user/FloridaInternational
70,https://hcn.fiu.edu/about/index.html,https://www.tiktok.com/@fiutiktoK
71,https://hcn.fiu.edu/about/index.html,https://flickr.com/photos/fiu
72,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/about/index.html
73,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/admissions/index.html
74,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/academics/index.html
75,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/locations/index.html
76,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/research/index.html
77,https://hcn.fiu.edu/about/index.html,https://www.fiu.edu/student-life/index.html
