,Source,Target
0,https://www.goodsamaritanmedical.org/,https://providers.steward.org/
1,https://www.goodsamaritanmedical.org/,https://providers.steward.org/search
2,https://www.goodsamaritanmedical.org/,https://providers.steward.org/search
3,https://www.goodsamaritanmedical.org/,https://www.stewardmedicalgroup.org/
4,https://www.goodsamaritanmedical.org/,https://providers.steward.org/search
5,https://www.goodsamaritanmedical.org/,https://providers.steward.org/
6,https://www.goodsamaritanmedical.org/,https://www.steward.org/accessibility
7,https://www.goodsamaritanmedical.org/,https://locations.steward.org/search.html
8,https://www.goodsamaritanmedical.org/,https://www.steward.org/privacy-policy
9,https://www.goodsamaritanmedical.org/,https://www.steward.org/policies/site-disclaimer
10,https://www.goodsamaritanmedical.org/,https://www.steward.org/vendors
11,https://www.goodsamaritanmedical.org/,https://www.facebook.com/GoodSamaritanMedical
12,https://www.goodsamaritanmedical.org/,https://twitter.com/GoodSamMedCtr
13,https://www.goodsamaritanmedical.org/,https://youtu.be/eZwjOD0KP6M?list=PLD7RUGfnUtHqSsWWexN5VVjr_6uOg22pI
14,https://www.goodsamaritanmedical.org/,https://www.linkedin.com/company/good-samaritan-medical-center/
15,https://www.goodsamaritanmedical.org/,https://www.instagram.com/stewardhealth/
16,https://www.goodsamaritanmedical.org/,https://www.steward.org/privacy-policy
17,https://www.goodsamaritanmedical.org/,https://www.steward.org/policies/site-disclaimer
18,https://www.goodsamaritanmedical.org/,https://www.steward.org/vendors
19,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://providers.steward.org/
20,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://providers.steward.org/search
21,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.cdc.gov/coronavirus/2019-ncov/index.html
22,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://providers.steward.org/
23,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.stewardmedicalgroup.org/node/3201
24,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://providers.steward.org/search
25,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://providers.steward.org/
26,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/accessibility
27,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://locations.steward.org/search.html
28,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/privacy-policy
29,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/policies/site-disclaimer
30,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/vendors
31,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.facebook.com/GoodSamaritanMedical
32,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://twitter.com/GoodSamMedCtr
33,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://youtu.be/eZwjOD0KP6M?list=PLD7RUGfnUtHqSsWWexN5VVjr_6uOg22pI
34,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.linkedin.com/company/good-samaritan-medical-center/
35,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.instagram.com/stewardhealth/
36,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/privacy-policy
37,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/policies/site-disclaimer
38,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.steward.org/vendors
39,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://providers.steward.org/
40,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://providers.steward.org/search
41,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.goodsamaritanmedical.org%2Fnewsroom%2F2019-09-25%2Fbadal-kalamkar-md-mph-named-chief-hospitalist-medicine
42,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://twitter.com/intent/tweet?text=Badal%20Kalamkar%2C%20MD%2C%20MPH%2C%20named%20Chief%20of%20Hospitalist%20Medicine%20https%3A%2F%2Fwww.goodsamaritanmedical.org%2Fnewsroom%2F2019-09-25%2Fbadal-kalamkar-md-mph-named-chief-hospitalist-medicine
43,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://providers.steward.org/search
44,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://providers.steward.org/
45,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.steward.org/accessibility
46,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://locations.steward.org/search.html
47,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.steward.org/privacy-policy
48,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.steward.org/policies/site-disclaimer
49,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.steward.org/vendors
50,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.facebook.com/GoodSamaritanMedical
51,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://twitter.com/GoodSamMedCtr
