,Source,Target
0,https://www.goodsamaritanmedical.org/,https://www.goodsamaritanmedical.org/
1,https://www.goodsamaritanmedical.org/,https://www.goodsamaritanmedical.org/
2,https://www.goodsamaritanmedical.org/,https://www.goodsamaritanmedical.org/
3,https://www.goodsamaritanmedical.org/services-directory/covid-19,https://www.goodsamaritanmedical.org/
4,https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine,https://www.goodsamaritanmedical.org/
5,https://www.goodsamaritanmedical.org/domain-specific/720191/newsroom/2021-07-12/steward-health-care-appoints-sr-vimala-vadakumpadan-board-directors,https://www.goodsamaritanmedical.org/
6,https://www.goodsamaritanmedical.org/newsroom/2021-05-24/good-samaritan-medical-center-installs-new-state-art-mri,https://www.goodsamaritanmedical.org/
7,https://www.goodsamaritanmedical.org/newsroom/2020-10-22/ribbon-cutting-marks-completion-renovations-steward,https://www.goodsamaritanmedical.org/
8,https://www.goodsamaritanmedical.org/newsroom/2020-10-01/steward-health-care-encourages-communities-help-protect-against-seasonal,https://www.goodsamaritanmedical.org/
9,https://www.goodsamaritanmedical.org/newsroom/2020-04-02/steward-medical-group-launches-telehealth-expand-access-care-patients-amid,https://www.goodsamaritanmedical.org/
10,https://www.goodsamaritanmedical.org/newsroom/2019-05-08/good-samaritan-medical-center-and-morton-hospital-hosted,https://www.goodsamaritanmedical.org/
11,https://www.goodsamaritanmedical.org/newsroom/2020-02-04/good-samaritan-medical-center-welcomes-john-roe-md,https://www.goodsamaritanmedical.org/
12,https://www.goodsamaritanmedical.org/newsroom/2019-03-12/brockton-naacp-black-men-higher-risk-prostate-cancer,https://www.goodsamaritanmedical.org/
13,https://www.goodsamaritanmedical.org/newsroom/2021-03-17/good-samaritan-medical-center-surgeon-omar-yusef-kudsi-md,https://www.goodsamaritanmedical.org/
14,https://www.goodsamaritanmedical.org/newsroom/2020-11-24/acute-care-hospital-phase-3-reopen-attestation,https://www.goodsamaritanmedical.org/
15,https://www.goodsamaritanmedical.org/newsroom/2019-05-23/bridgewater-fire-department-honored-ems-stewards-community,https://www.goodsamaritanmedical.org/
16,https://www.goodsamaritanmedical.org/newsroom/2020-07-02/steward-health-choice-masshealth-aco-expands-doula-program,https://www.goodsamaritanmedical.org/
17,https://www.goodsamaritanmedical.org/patient-visitor-information/billing-payment,https://www.goodsamaritanmedical.org/
18,https://www.goodsamaritanmedical.org/about-us/mission-values,https://www.goodsamaritanmedical.org/
19,https://www.goodsamaritanmedical.org/newsroom/2021-04-26/kerry-g-bennett-md-breast-surgeon-joins-medical-staff-good,https://www.goodsamaritanmedical.org/
20,https://www.goodsamaritanmedical.org/newsroom/2020-03-17/learn-more-about-coronovirus-and-how-stay-healthy,https://www.goodsamaritanmedical.org/
