,Source,Target
0,https://www.gradyhealth.org/,https://mychart.gradyhealth.org/mychart/
1,https://www.gradyhealth.org/,https://www.gradyhealthfoundation.org/
2,https://www.gradyhealth.org/,https://www.facebook.com/gradyhealth/
3,https://www.gradyhealth.org/,https://twitter.com/gradyhealth
4,https://www.gradyhealth.org/,https://www.youtube.com/c/gradyhealth/
5,https://www.gradyhealth.org/,https://www.linkedin.com/company/gradyhealth/
6,https://www.gradyhealth.org/,"https://www.google.com/maps/dir/33.7520164,-84.3815739/Grady+Health+System,+80+Jesse+Hill+Jr+Dr+SE,+Atlanta,+GA+30303/@33.752221,-84.3843881,17z/data=!3m1!4b1!4m17!1m6!3m5!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2sGrady+Health+System!8m2!3d33.751671!4d-84.382079!4m9!1m1!4e1!1m5!1m1!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2m2!1d-84.382079!2d33.751671!3e3"
7,https://www.gradyhealth.org/,https://mychart.gradyhealth.org/MyChart/Guestestimates
8,https://www.gradyhealth.org/,https://healthlibrary.gradyhealth.org/
9,https://www.gradyhealth.org/,https://mychart.gradyhealth.org/
10,https://www.gradyhealth.org/,https://www.gradyhealthfoundation.org/donate
11,https://www.gradyhealth.org/,https://www.facebook.com/gradyhealth/
12,https://www.gradyhealth.org/,https://twitter.com/gradyhealth
13,https://www.gradyhealth.org/,https://www.youtube.com/c/gradyhealth/
14,https://www.gradyhealth.org/,https://www.linkedin.com/company/gradyhealth/
15,https://www.gradyhealth.org/,https://gradymemorial.sharepoint.com/
16,https://www.gradyhealth.org/privacy/,https://mychart.gradyhealth.org/mychart/
17,https://www.gradyhealth.org/privacy/,https://www.gradyhealthfoundation.org/
18,https://www.gradyhealth.org/privacy/,https://www.facebook.com/gradyhealth/
19,https://www.gradyhealth.org/privacy/,https://twitter.com/gradyhealth
20,https://www.gradyhealth.org/privacy/,https://www.youtube.com/c/gradyhealth/
21,https://www.gradyhealth.org/privacy/,https://www.linkedin.com/company/gradyhealth/
22,https://www.gradyhealth.org/privacy/,"https://www.google.com/maps/dir/33.7520164,-84.3815739/Grady+Health+System,+80+Jesse+Hill+Jr+Dr+SE,+Atlanta,+GA+30303/@33.752221,-84.3843881,17z/data=!3m1!4b1!4m17!1m6!3m5!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2sGrady+Health+System!8m2!3d33.751671!4d-84.382079!4m9!1m1!4e1!1m5!1m1!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2m2!1d-84.382079!2d33.751671!3e3"
23,https://www.gradyhealth.org/privacy/,https://mychart.gradyhealth.org/MyChart/Guestestimates
24,https://www.gradyhealth.org/privacy/,https://healthlibrary.gradyhealth.org/
25,https://www.gradyhealth.org/privacy/,https://mychart.gradyhealth.org/
26,https://www.gradyhealth.org/privacy/,https://www.gradyhealthfoundation.org/donate
27,https://www.gradyhealth.org/privacy/,https://www.facebook.com/gradyhealth/
28,https://www.gradyhealth.org/privacy/,https://twitter.com/gradyhealth
29,https://www.gradyhealth.org/privacy/,https://www.youtube.com/c/gradyhealth/
30,https://www.gradyhealth.org/privacy/,https://www.linkedin.com/company/gradyhealth/
31,https://www.gradyhealth.org/privacy/,https://gradymemorial.sharepoint.com/
32,https://www.gradyhealth.org/care-treatment/burn-center/,https://mychart.gradyhealth.org/mychart/
33,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.gradyhealthfoundation.org/
34,https://www.gradyhealth.org/care-treatment/burn-center/,http://ameriburn.org/public-resources/find-a-burn-center/
35,https://www.gradyhealth.org/care-treatment/burn-center/,"https://gradyhealth.staywellsolutionsonline.com/Search/85,P01146"
36,https://www.gradyhealth.org/care-treatment/burn-center/,"https://gradyhealth.staywellsolutionsonline.com/Search/134,163"
37,https://www.gradyhealth.org/care-treatment/burn-center/,"https://gradyhealth.staywellsolutionsonline.com/Search/134,149"
38,https://www.gradyhealth.org/care-treatment/burn-center/,"https://healthlibrary.gradyhealth.org/Search/85,P00280"
39,https://www.gradyhealth.org/care-treatment/burn-center/,https://mychart.gradyhealth.org/mychart/
40,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.google.com/maps/dir/?api=1&destination=80+Jesse+Hill+Jr+Drive+SE%20Atlanta%2C+GA+30303
41,https://www.gradyhealth.org/care-treatment/burn-center/,"https://www.google.com/maps/place/Grady+Health+System/@33.7517696,-84.3841556,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!8m2!3d33.7517652!4d-84.3819669"
42,https://www.gradyhealth.org/care-treatment/burn-center/,https://martaguide.com/2010/04/27/marta-to-grady-hospital/
43,https://www.gradyhealth.org/care-treatment/burn-center/,https://itunes.apple.com/us/app/grady-health/id1376406613?mt=8
44,https://www.gradyhealth.org/care-treatment/burn-center/,https://play.google.com/store/apps/details?id=org.gradyhealth.health
45,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.facebook.com/gradyhealth/
46,https://www.gradyhealth.org/care-treatment/burn-center/,https://twitter.com/gradyhealth
47,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.youtube.com/c/gradyhealth/
48,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.linkedin.com/company/gradyhealth/
49,https://www.gradyhealth.org/care-treatment/burn-center/,"https://www.google.com/maps/dir/33.7520164,-84.3815739/Grady+Health+System,+80+Jesse+Hill+Jr+Dr+SE,+Atlanta,+GA+30303/@33.752221,-84.3843881,17z/data=!3m1!4b1!4m17!1m6!3m5!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2sGrady+Health+System!8m2!3d33.751671!4d-84.382079!4m9!1m1!4e1!1m5!1m1!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2m2!1d-84.382079!2d33.751671!3e3"
50,https://www.gradyhealth.org/care-treatment/burn-center/,https://mychart.gradyhealth.org/MyChart/Guestestimates
51,https://www.gradyhealth.org/care-treatment/burn-center/,https://healthlibrary.gradyhealth.org/
52,https://www.gradyhealth.org/care-treatment/burn-center/,https://mychart.gradyhealth.org/
53,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.gradyhealthfoundation.org/donate
54,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.facebook.com/gradyhealth/
55,https://www.gradyhealth.org/care-treatment/burn-center/,https://twitter.com/gradyhealth
56,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.youtube.com/c/gradyhealth/
57,https://www.gradyhealth.org/care-treatment/burn-center/,https://www.linkedin.com/company/gradyhealth/
58,https://www.gradyhealth.org/care-treatment/burn-center/,https://gradymemorial.sharepoint.com/
59,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://mychart.gradyhealth.org/mychart/
60,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.gradyhealthfoundation.org/
61,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://mychart.gradyhealth.org/mychart/
62,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.google.com/maps/dir/?api=1&destination=1863+Memorial+Drive+SE%20Atlanta%2C+GA+30317
63,https://www.gradyhealth.org/locations/kirkwood-health-center/,"https://www.google.com/maps/place/Kirkwood+Health+Center/@33.7457424,-84.3288396,17z/data=!3m1!4b1!4m5!3m4!1s0x88f50131281ac4b5:0x9f85c383a4f89fb7!8m2!3d33.745738!4d-84.3266509"
64,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://martaguide.com/?s=Candler+Park%2C+East+Lake+stations
65,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://itunes.apple.com/us/app/grady-health/id1376406613?mt=8
66,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://play.google.com/store/apps/details?id=org.gradyhealth.health
67,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.facebook.com/gradyhealth/
68,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://twitter.com/gradyhealth
69,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.youtube.com/c/gradyhealth/
70,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.linkedin.com/company/gradyhealth/
71,https://www.gradyhealth.org/locations/kirkwood-health-center/,"https://www.google.com/maps/dir/33.7520164,-84.3815739/Grady+Health+System,+80+Jesse+Hill+Jr+Dr+SE,+Atlanta,+GA+30303/@33.752221,-84.3843881,17z/data=!3m1!4b1!4m17!1m6!3m5!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2sGrady+Health+System!8m2!3d33.751671!4d-84.382079!4m9!1m1!4e1!1m5!1m1!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!2m2!1d-84.382079!2d33.751671!3e3"
72,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://mychart.gradyhealth.org/MyChart/Guestestimates
73,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://healthlibrary.gradyhealth.org/
74,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://mychart.gradyhealth.org/
75,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.gradyhealthfoundation.org/donate
76,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.facebook.com/gradyhealth/
77,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://twitter.com/gradyhealth
78,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.youtube.com/c/gradyhealth/
79,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://www.linkedin.com/company/gradyhealth/
80,https://www.gradyhealth.org/locations/kirkwood-health-center/,https://gradymemorial.sharepoint.com/
81,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://mychart.gradyhealth.org/mychart/
82,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://www.gradyhealthfoundation.org/
83,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://mychart.gradyhealth.org/mychart/
84,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/Grady+Health+System/@33.7517696,-84.3841556,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5038ecf3c17e9:0x6c509b3a56c2cbdb!8m2!3d33.7517652!4d-84.3819669"
85,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/Asa+G+Yancey+Health+Center/@33.7737514,-84.4304876,17z/data=!3m1!4b1!4m5!3m4!1s0x88f504b07ad227b1:0x2362fb417c9374db!8m2!3d33.773747!4d-84.4282989"
86,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/Brookhaven+Health+Center/@33.8277762,-84.3485961,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5060dcadc7e59:0x8cef04aa495a962d!8m2!3d33.8277718!4d-84.3464074"
87,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/Camp+Creek+Comprehensive+Care+Center/@33.6607935,-84.5168083,17z/data=!3m1!4b1!4m5!3m4!1s0x88f4e3fd5a968df9:0x7d01753f1a377580!8m2!3d33.6607891!4d-84.5146196"
88,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/East+Point+Health+Center/@33.6799491,-84.4429999,17z/data=!3m1!4b1!4m5!3m4!1s0x88f51d53a99bd767:0x35595b1f381406d6!8m2!3d33.6799447!4d-84.4408112"
89,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/Kirkwood+Health+Center/@33.7457424,-84.3288396,17z/data=!3m1!4b1!4m5!3m4!1s0x88f50131281ac4b5:0x9f85c383a4f89fb7!8m2!3d33.745738!4d-84.3266509"
90,https://www.gradyhealth.org/care-treatment/primary-care-centers/,"https://www.google.com/maps/place/North+Fulton+Health+Center/@33.9658186,-84.3648726,17z/data=!3m1!4b1!4m5!3m4!1s0x88f50c71ad39c46d:0x90607463f6a4e954!8m2!3d33.9658142!4d-84.3626839"
91,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://itunes.apple.com/us/app/grady-health/id1376406613?mt=8
92,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://play.google.com/store/apps/details?id=org.gradyhealth.health
93,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://www.facebook.com/gradyhealth/
94,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://twitter.com/gradyhealth
95,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://www.youtube.com/c/gradyhealth/
96,https://www.gradyhealth.org/care-treatment/primary-care-centers/,https://www.linkedin.com/company/gradyhealth/
