,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.gradyhealth.org/,text/html; charset=UTF-8,200,OK,Indexable,,Grady Health - Atlanta's Grady Hospital + 6 Neighborhood Centers -Grady Health,78,713,"Atlanta can't live without Grady. Grady Hospital + 6 Neighborhood Centers. Leaders in Trauma, Stroke, Burn, Heart, Cancer, Ortho, and HIV.",138,867,,0,We are Grady. Our arms are open wide.,37,,0,Our Specialties,15,Trauma Center,13,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/,,,,,,64490,322,4.903,0,,4085,833,0,99.88,96,46,0,16,12,0,,,,,da706cd72eafed8ed33efc8522e3a9f7,0.223,,,,,1.1,https://www.gradyhealth.org/,2022-02-04 11:58:47
3,https://www.gradyhealth.org/wp-content/uploads/Burn-Specialist.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,8307,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.145,"Sat, 15 Jan 2022 02:36:10 GMT",,,,1.1,https://www.gradyhealth.org/wp-content/uploads/Burn-Specialist.png,2022-02-04 11:58:47
4,https://www.gradyhealth.org/privacy/,text/html; charset=UTF-8,200,OK,Indexable,,Privacy & Security - Grady Health,33,295,,0,0,,0,Privacy & Security,18,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/privacy/,,,,,,73549,4623,40.857,1,,850,833,0,99.88,72,30,0,16,12,0,,,,,2aaf896fe349351cd727e7b2fcf533cb,0.22,,,,,1.1,https://www.gradyhealth.org/privacy/,2022-02-04 11:58:47
5,https://www.gradyhealth.org/care-treatment/burn-center/,text/html; charset=UTF-8,200,OK,Indexable,,Burn Treatment Center - Grady Burn Treatment & Care Center -Grady Health,72,677,"As Atlanta's only adult and pediatric burn center, we treat burns that result from flames, scalds, chemical, or electrical accidents.",133,791,,0,Burn Treatment Center,21,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/care-treatment/burn-center/,,,,,,58947,1291,16.457,1,,43,10,0,1.2,87,31,0,27,22,0,,,,,65ac90b08f1d6604630332f14ebf4676,0.25,,,,,1.1,https://www.gradyhealth.org/care-treatment/burn-center/,2022-02-04 11:58:47
6,https://www.gradyhealth.org/locations/kirkwood-health-center/,text/html; charset=UTF-8,200,OK,Indexable,,Kirkwood Health Center - Care that's Close to Home -Grady Health,64,585,"Kirkwood Health Center offers primary care for adults and seniors, women’s care, pediatrics, and much more. We make seeing a doctor easy.",137,879,,0,Kirkwood Health Center Change Location,38,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/locations/kirkwood-health-center/,,,,,,60932,854,10.649,1,,29,10,0,1.2,88,37,0,22,17,0,,,,,c6297f2c875a12ce9692f5e45ac118e2,0.241,,,,,1.1,https://www.gradyhealth.org/locations/kirkwood-health-center/,2022-02-04 11:58:47
7,https://www.gradyhealth.org/wp-content/uploads/Emergency-Room.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,12007,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.126,"Sat, 15 Jan 2022 02:32:10 GMT",,,,1.1,https://www.gradyhealth.org/wp-content/uploads/Emergency-Room.jpg,2022-02-04 11:58:48
8,https://www.gradyhealth.org/care-treatment/primary-care-centers/,text/html; charset=UTF-8,200,OK,Indexable,,Primary Care Centers - Grady Primary Care & Treatment Centers -Grady Health,75,702,"Our Primary Care team is located across Metro Atlanta. No matter your needs, Grady has the expertise. Schedule your appointment today.",134,859,,0,Primary Care Centers,20,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/care-treatment/primary-care-centers/,,,,,,135435,1884,10.183,1,,144,111,0,13.31,294,138,0,26,21,0,,,,,9d03a40f9ea643e49554469b661bca25,0.258,,,,,1.1,https://www.gradyhealth.org/care-treatment/primary-care-centers/,2022-02-04 11:58:47
9,https://www.gradyhealth.org/locations/walk-in-center/,text/html; charset=UTF-8,200,OK,Indexable,,Walk-In Center - Non-Emergency Care with Extended Hours -Grady Health,69,659,Our Walk-In Center is here when your primary care physician is unavailable. We offer extended hours to treat your non-emergency needs.,134,856,,0,Walk-In Center Change Location,30,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/locations/walk-in-center/,,,,,,49687,471,8.105,1,,20,4,0,0.48,65,28,0,21,17,0,,,,,633caffe266ba3d4e1eb1721b29723e9,0.465,,,,,1.1,https://www.gradyhealth.org/locations/walk-in-center/,2022-02-04 11:58:47
11,https://www.gradyhealth.org/medical-records/,text/html; charset=UTF-8,200,OK,Indexable,,Medical Records - Grady Health,30,282,,0,0,,0,Medical Records,15,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/medical-records/,,,,,,46425,532,9.685,1,,852,833,0,99.88,69,28,0,16,12,0,,,,,cee5f3778631d97b2c4c1f6027478145,0.229,,,,,1.1,https://www.gradyhealth.org/medical-records/,2022-02-04 11:58:48
12,https://www.gradyhealth.org/suppliers/,text/html; charset=UTF-8,200,OK,Indexable,,Suppliers - Grady Health,24,218,Grady prides itself on working with qualified vendors and suppliers. Learn how you can become a qualified vendor.,113,706,,0,Suppliers,9,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/suppliers/,,,,,,53049,674,10.677,1,,859,833,0,99.88,97,50,0,24,19,0,,,,,5862e771426f524f638a56923c31083b,0.24,,,,,1.1,https://www.gradyhealth.org/suppliers/,2022-02-04 11:58:48
13,https://www.gradyhealth.org/locations/north-fulton-health-center/,text/html; charset=UTF-8,200,OK,Indexable,,North Fulton Health Center - Care that's Close to Home -Grady Health,68,613,"We are a one-stop-shop in the North Fulton area that offers primary care for adults and seniors, women’s care, pediatrics, and much more.",137,859,,0,North Fulton Health Center Change Location,42,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/locations/north-fulton-health-center/,,,,,,56578,746,10.286,1,,21,4,0,0.48,76,32,0,22,17,0,,,,,cb54a4f4cfed4ff52ed46bed7dc96575,0.452,,,,,1.1,https://www.gradyhealth.org/locations/north-fulton-health-center/,2022-02-04 11:58:48
14,https://www.gradyhealth.org/about-us,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,833,833,0,99.88,0,0,0,0,0,0,,,,,,0.269,,https://www.gradyhealth.org/about-us/,HTTP Redirect,,1.1,https://www.gradyhealth.org/about-us,2022-02-04 11:58:48
15,https://www.gradyhealth.org/locations/brookhaven-health-center/,text/html; charset=UTF-8,200,OK,Indexable,,Brookhaven Health Center -  Care that's Close to Home -Grady Health,67,609,"We are a one-stop-shop in Brookhaven that offers primary care for adults and seniors, women’s care, pediatrics, and much more.",126,803,,0,Brookhaven Health Center Change Location,40,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/locations/brookhaven-health-center/,,,,,,63126,880,10.599,1,,24,6,0,0.72,93,40,0,22,17,0,,,,,ad3c361fa878f3bb7e774005aaacc116,0.234,,,,,1.1,https://www.gradyhealth.org/locations/brookhaven-health-center/,2022-02-04 11:58:48
16,https://www.gradyhealth.org/wp-content/themes/gradyhealth/images/icon-find-doctor.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1063,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.135,"Tue, 23 Jul 2019 11:52:50 GMT",,,,1.1,https://www.gradyhealth.org/wp-content/themes/gradyhealth/images/icon-find-doctor.png,2022-02-04 11:58:48
17,https://www.gradyhealth.org/wp-content/uploads/Primary-Care-Physician.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,27236,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.133,"Sat, 15 Jan 2022 02:38:55 GMT",,,,1.1,https://www.gradyhealth.org/wp-content/uploads/Primary-Care-Physician.png,2022-02-04 11:58:49
18,https://www.gradyhealth.org/smoke-tobacco-free-environment/,text/html; charset=UTF-8,200,OK,Indexable,,Smoke-Free Campus - Grady Health,32,322,,0,0,,0,Smoke-Free Campus,17,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/smoke-tobacco-free-environment/,,,,,,44925,418,8.559,1,,850,833,0,99.88,65,27,0,16,12,0,,,,,1f65052f1a608aa69e50af48d31c4f06,0.213,,,,,1.1,https://www.gradyhealth.org/smoke-tobacco-free-environment/,2022-02-04 11:58:48
20,https://www.gradyhealth.org/novel-coronavirus-covid-19-frequently-asked-questions/,text/html; charset=UTF-8,200,OK,Indexable,,Novel Coronavirus (COVID-19) Updates - Grady Health,51,487,Learn more about COVID-19 and what Grady is doing to keep your loved ones safe and healthy and protect Grady workers caring for our patients.,141,905,,0,Novel Coronavirus (COVID-19) Updates,36,,0,,0,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.gradyhealth.org/novel-coronavirus-covid-19-frequently-asked-questions/,,,,,,58446,1191,14.597,1,,850,833,0,99.88,67,29,0,22,18,0,,,,,13d9a6ba3dcd4c297dbf166641be1a98,0.247,,,,,1.1,https://www.gradyhealth.org/novel-coronavirus-covid-19-frequently-asked-questions/,2022-02-04 11:58:49
