,Source,Target
0,https://health.tamu.edu/care/index.html,https://vitalrecord.tamhsc.edu/
1,https://health.tamu.edu/care/index.html,https://vitalrecord.tamhsc.edu/subscribe/
2,https://health.tamu.edu/care/index.html,https://www.facebook.com/TAMUHealth/
3,https://health.tamu.edu/care/index.html,https://twitter.com/TAMUHealth
4,https://health.tamu.edu/care/index.html,https://instagram.com/tamuhealth
5,https://health.tamu.edu/care/index.html,https://www.linkedin.com/school/texas-A&M-health-science-center/
6,https://health.tamu.edu/care/index.html,https://www.youtube.com/channel/UCz5-DEsjZgZC2HulXbO-BWw
7,https://health.tamu.edu/care/index.html,https://dentistry.tamu.edu/
8,https://health.tamu.edu/care/index.html,https://medicine.tamu.edu/
9,https://health.tamu.edu/care/index.html,https://nursing.tamu.edu/
10,https://health.tamu.edu/care/index.html,https://pharmacy.tamu.edu/
11,https://health.tamu.edu/care/index.html,https://public-health.tamu.edu/
12,https://health.tamu.edu/care/index.html,https://www.tamu.edu/
13,https://health.tamu.edu/care/index.html,https://www.tamus.edu/
14,https://health.tamu.edu/care/index.html,https://texas.gov/
15,https://health.tamu.edu/care/index.html,https://openrecords.tamu.edu/
16,https://health.tamu.edu/care/index.html,https://secure.ethicspoint.com/domain/media/en/gui/19681/index.html
17,https://health.tamu.edu/care/index.html,http://publishingext.dir.texas.gov/portal/internal/resources/DocumentLibrary/State%20Website%20Linking%20and%20Privacy%20Policy.pdf
18,https://health.tamu.edu/care/index.html,https://urc.tamu.edu/media/642261/NoticeOfNonDiscrimination.pdf
19,https://health.tamu.edu/care/index.html,https://veterans.portal.texas.gov/
20,https://health.tamu.edu/care/professionals/refer-patient.html,https://www.facebook.com/TAMUHealth/
21,https://health.tamu.edu/care/professionals/refer-patient.html,https://twitter.com/TAMUHealth
22,https://health.tamu.edu/care/professionals/refer-patient.html,https://instagram.com/tamuhealth
23,https://health.tamu.edu/care/professionals/refer-patient.html,https://www.linkedin.com/school/texas-A&M-health-science-center/
24,https://health.tamu.edu/care/professionals/refer-patient.html,https://www.youtube.com/channel/UCz5-DEsjZgZC2HulXbO-BWw
25,https://health.tamu.edu/care/professionals/refer-patient.html,https://dentistry.tamu.edu/
26,https://health.tamu.edu/care/professionals/refer-patient.html,https://medicine.tamu.edu/
27,https://health.tamu.edu/care/professionals/refer-patient.html,https://nursing.tamu.edu/
28,https://health.tamu.edu/care/professionals/refer-patient.html,https://pharmacy.tamu.edu/
29,https://health.tamu.edu/care/professionals/refer-patient.html,https://public-health.tamu.edu/
30,https://health.tamu.edu/care/professionals/refer-patient.html,https://www.tamu.edu/
31,https://health.tamu.edu/care/professionals/refer-patient.html,https://www.tamus.edu/
32,https://health.tamu.edu/care/professionals/refer-patient.html,https://texas.gov/
33,https://health.tamu.edu/care/professionals/refer-patient.html,https://openrecords.tamu.edu/
34,https://health.tamu.edu/care/professionals/refer-patient.html,https://secure.ethicspoint.com/domain/media/en/gui/19681/index.html
35,https://health.tamu.edu/care/professionals/refer-patient.html,http://publishingext.dir.texas.gov/portal/internal/resources/DocumentLibrary/State%20Website%20Linking%20and%20Privacy%20Policy.pdf
36,https://health.tamu.edu/care/professionals/refer-patient.html,https://urc.tamu.edu/media/642261/NoticeOfNonDiscrimination.pdf
