,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://health.tamu.edu/care/index.html,text/html,200,OK,Non-Indexable,Canonicalised,"Texas A&M Health, find a great family doctor, psychiatrist and more",67,590,,0,0,,0,Caring for Texas,16,TAMU Health Clinics Closed Feb. 3,33,Important Notice,16,,,,https://health.tamu.edu/care/,,,,,,46618,371,7.664,0,,508,158,0,99.37,73,33,0,20,20,0,,,,,86b1a69d8d25ac6b1e70cf135901abb0,0.32,"Thu, 03 Feb 2022 15:17:46 GMT",,,,1.1,https://health.tamu.edu/care/index.html,2022-02-04 11:26:34
2,https://health.tamu.edu/care/professionals/refer-patient.html,text/html,200,OK,Indexable,,Refer a patient to Texas A&M Health,35,319,"Refer a patient to a Texas A&M Health specialists, including psychiatrists, behavioral and mental health professionals, oral and maxillofacial surgeons, advanced heart failure cardiologists, surgery care and more.",213,1307,,0,Refer a patient,15,Institution,11,Information,11,,,,https://health.tamu.edu/care/professionals/refer-patient.html,,,,,,20499,81,8.434,1,,211,104,0,65.41,54,28,0,18,18,0,,,,,1dc4e2c5cb7f5ab8bb4ba4e561408834,0.425,"Wed, 26 Jan 2022 16:16:00 GMT",,,,1.1,https://health.tamu.edu/care/professionals/refer-patient.html,2022-02-04 11:26:35
3,https://health.tamu.edu/care/specialties/health-hub/index.html,text/html,200,OK,Non-Indexable,Canonicalised,Texas A&M Health Hub,20,207,,0,0,,0,Texas A&M Health Hub,20,About Texas A&M Health Hub,26,Location,8,,,,https://health.tamu.edu/care/specialties/health-hub/,,,,,,31654,197,7.749,1,,3,2,0,1.26,59,31,0,18,18,0,,,,,9e2343b5265013bc62188818afaad996,0.477,"Thu, 27 Jan 2022 22:56:56 GMT",,,,1.1,https://health.tamu.edu/care/specialties/health-hub/index.html,2022-02-04 11:26:35
4,https://health.tamu.edu/research/index.html,text/html,200,OK,Indexable,,Cutting-edge Research that improves human health,48,455,Texas A&M Health Science Center researchers are forging paths to discovery with a common goal in mind: improving human health. Our faculty and students work tirelessly in the pursuit of discoveries that impact health and health care delivery.,242,1508,,0,Research,8,Discoveries across disciplines,30,Turning inventions into lifesaving treatments,45,,,,https://health.tamu.edu/research/index.html,,,,,,53236,954,15.577,1,,240,115,0,72.33,89,44,0,54,41,0,,,,,ade39ce04d9a74bc635e7ea2f82d12e3,0.521,"Wed, 29 Dec 2021 17:12:00 GMT",,,,1.1,https://health.tamu.edu/research/index.html,2022-02-04 11:26:35
5,https://health.tamu.edu/care/images/btn-providers.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,123075,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.375,"Thu, 03 Feb 2022 15:27:42 GMT",,,,1.1,https://health.tamu.edu/care/images/btn-providers.jpg,2022-02-04 11:26:35
6,https://health.tamu.edu/care/specialties/womens-care-plus/index.html,text/html,200,OK,Non-Indexable,Canonicalised,Women’s Care Plus,17,177,,0,0,,0,Women’s Care Plus,17,About the Clinic,16,Location,8,,,,https://health.tamu.edu/care/specialties/womens-care-plus/,,,,,,33056,771,18.214,1,,217,104,0,65.41,83,51,0,19,19,0,,,,,1c7e90d17507adc51d6540f2d05508cd,0.338,"Wed, 12 Jan 2022 17:54:08 GMT",,,,1.1,https://health.tamu.edu/care/specialties/womens-care-plus/index.html,2022-02-04 11:26:35
7,https://health.tamu.edu/care/patients/programs.html,text/html,200,OK,Indexable,,Classes & Programs,18,181,,0,0,,0,Classes & Programs,18,Coming Soon,11,Institution,11,,,,https://health.tamu.edu/care/patients/programs.html,,,,,,23471,40,6.33,1,,3,2,0,1.26,57,29,0,18,18,0,,,,,527416c2aa63919197acee826376d8ac,0.334,"Thu, 03 Feb 2022 15:27:40 GMT",,,,1.1,https://health.tamu.edu/care/patients/programs.html,2022-02-04 11:26:35
9,https://health.tamu.edu/site-policies/index.html,text/html,200,OK,Indexable,,"Website policies, required notices, and other public statements",63,551,,0,0,,0,Site Policies & Statements,26,Institution,11,Information,11,,,,https://health.tamu.edu/site-policies/index.html,,,,,,28719,110,8.66,1,,162,159,0,100.0,87,48,0,53,46,0,,,,,a26ce06b47eae92841528392e6711983,0.419,"Wed, 29 Dec 2021 17:13:20 GMT",,,,1.1,https://health.tamu.edu/site-policies/index.html,2022-02-04 11:26:36
10,https://health.tamu.edu/care/professionals/index.html,text/html,200,OK,Non-Indexable,Canonicalised,For Health Professionals,24,216,,0,0,,0,For Health Professionals,24,Institution,11,Information,11,,,,https://health.tamu.edu/care/professionals/,,,,,,29464,191,8.498,1,,210,104,0,65.41,58,28,0,19,19,0,,,,,7d0bca3f21b39bcf48dcbdd7582785e6,0.48,"Wed, 19 Jan 2022 17:14:41 GMT",,,,1.1,https://health.tamu.edu/care/professionals/index.html,2022-02-04 11:26:36
11,https://health.tamu.edu/care/specialties/index.html,text/html,200,OK,Non-Indexable,Canonicalised,Our Services & Specialties,26,235,,0,0,,0,Our Services & Specialties,26,All services,12,Institution,11,,,,https://health.tamu.edu/care/specialties/,,,,,,44570,879,16.06,1,,315,104,0,65.41,96,63,0,18,18,0,,,,,a1a4d805f7a6e1e7363b6697f85a5803,0.386,"Wed, 12 Jan 2022 17:54:12 GMT",,,,1.1,https://health.tamu.edu/care/specialties/index.html,2022-02-04 11:26:36
