,Source,Target
0,http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/
1,http://huhealthcare.com/healthcare/hospital,http://healthsciences.howard.edu/
2,http://huhealthcare.com/healthcare/hospital,https://expressopay.billeriq.com/ebpp/howard/
3,http://huhealthcare.com/healthcare/hospital,https://150.howard.edu/
4,http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/studenthealth/
5,http://huhealthcare.com/healthcare/hospital,https://medicine.howard.edu/
6,http://huhealthcare.com/healthcare/hospital,https://cnahs.howard.edu/
7,http://huhealthcare.com/healthcare/hospital,http://hsl.howard.edu/
8,http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
9,http://huhealthcare.com/healthcare/hospital,https://huhealthcare.followmyhealth.com/Login/App/Dashboard?authproviders=0
10,http://huhealthcare.com/healthcare/hospital,http://cancer.howard.edu/
11,http://huhealthcare.com/healthcare/hospital,https://expressopay.billeriq.com/ebpp/howard/
12,http://huhealthcare.com/huhealthcare/contact-us,http://healthsciences.howard.edu/?logotrack=hs_logo
13,http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/
14,http://huhealthcare.com/huhealthcare/contact-us,http://healthsciences.howard.edu/
15,http://huhealthcare.com/huhealthcare/contact-us,https://expressopay.billeriq.com/ebpp/howard/
16,http://huhealthcare.com/huhealthcare/contact-us,https://150.howard.edu/
17,http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/studenthealth/
18,http://huhealthcare.com/huhealthcare/contact-us,https://medicine.howard.edu/
19,http://huhealthcare.com/huhealthcare/contact-us,https://cnahs.howard.edu/
20,http://huhealthcare.com/huhealthcare/contact-us,http://hsl.howard.edu/
21,http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
22,http://huhealthcare.com/huhealthcare/contact-us,http://www.healthsciences.howard.edu/about-huhs/Stay%20Connected
23,http://huhealthcare.com/contact-us,http://healthsciences.howard.edu/?logotrack=hs_logo
24,http://huhealthcare.com/contact-us,http://www.howard.edu/
25,http://huhealthcare.com/contact-us,http://healthsciences.howard.edu/
26,http://huhealthcare.com/contact-us,https://expressopay.billeriq.com/ebpp/howard/
27,http://huhealthcare.com/contact-us,https://150.howard.edu/
28,http://huhealthcare.com/contact-us,http://www.howard.edu/studenthealth/
29,http://huhealthcare.com/contact-us,https://medicine.howard.edu/
30,http://huhealthcare.com/contact-us,https://cnahs.howard.edu/
