,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,http://huhealthcare.com/healthcare/hospital,text/html; charset=utf-8,200,OK,Indexable,,"Howard University Hospital | Washington, DC",43,401,Howard University Hospital provides top-tier inpatient and outpatient health care services in the Washington DC area; a Level-1 trauma center.,142,885,,0,Howard University Hospital,26,,0,Related News,12,,0,,,,,,,,,,44941,551,6.978,0,,337,227,0,76.69,128,82,0,12,11,0,,,,,6f3f775d2e5b8bfc661507fbfb4d518,0.072,,,,,1.1,http://huhealthcare.com/healthcare/hospital,2022-01-21 13:13:15
1,http://huhealthcare.com/healthcare/~/media/Images/healthcare/layout-images/btn-find.ashx,image/gif,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1801,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.112,"Tue, 31 May 2011 17:39:40 GMT",,,,1.1,http://huhealthcare.com/healthcare/~/media/Images/healthcare/layout-images/btn-find.ashx,2022-01-21 13:13:15
2,http://huhealthcare.com/huhealthcare/contact-us,text/html; charset=utf-8,200,OK,Indexable,,"Contact Health Sciences | Howard University Health Sciences | Washington, DC",76,705,Contact Howard University Health Sciences,41,271,,0,,0,,0,,0,,0,,,,http://huhealthcare.com/huhealthcare/contact-us,,,,,,67784,300,3.206,1,,299,296,0,100.0,43,33,0,11,11,0,,,,,e369b3e4fbdd20834d4a72c389631d64,0.112,,,,,1.1,http://huhealthcare.com/huhealthcare/contact-us,2022-01-21 13:13:15
4,http://huhealthcare.com/contact-us,text/html; charset=utf-8,200,OK,Indexable,,"Contact Health Sciences | Howard University Health Sciences | Washington, DC",76,705,Contact Howard University Health Sciences,41,271,,0,,0,,0,,0,,0,,,,http://huhealthcare.com/contact-us,,,,,,67709,300,3.209,1,,301,296,0,100.0,43,33,0,11,11,0,,,,,9ae29c075250d446240b28d32dbe6c57,0.172,,,,,1.1,http://huhealthcare.com/contact-us,2022-01-21 13:13:15
5,http://huhealthcare.com/healthcare/hospital/directions,text/html; charset=utf-8,200,OK,Indexable,,"Howard University Hospital | Washington, DC",43,401,,0,0,,0,Directions,10,,0,,0,,0,,,,,,,,,,42883,457,5.991,1,,427,296,0,100.0,101,76,0,13,13,0,,,,,6c81b104aba455b76da15e1e8aff4265,0.122,,,,,1.1,http://huhealthcare.com/healthcare/hospital/directions,2022-01-21 13:13:15
6,http://huhealthcare.com/community/news-and-media/dentistry/2016-06-15-cool-kids-area-dental-advisory-board-induction,text/html,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,20,20,0,6.76,0,0,0,0,0,0,,,,,,0.197,,http://huhealthcare.com/community/news-and-media/dentistry/2016-06-15-cool-kids-area-dental-advisory-board-induction,HTTP Redirect,,1.1,http://huhealthcare.com/community/news-and-media/dentistry/2016-06-15-cool-kids-area-dental-advisory-board-induction,2022-01-21 13:13:16
7,http://huhealthcare.com/healthcare/~/media/Images/healthcare/hospital/marketing/campaign-banners/cath-lab.ashx?mh=347&mw=958,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,303843,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.054,"Fri, 30 Dec 2011 23:49:22 GMT",,,,1.1,http://huhealthcare.com/healthcare/~/media/Images/healthcare/hospital/marketing/campaign-banners/cath-lab.ashx?mh=347&mw=958,2022-01-21 13:13:16
8,http://huhealthcare.com/healthcare/hospital/patients-and-visitors/admissions-information/admission-referrals,text/html; charset=utf-8,200,OK,Indexable,,"Direct Admissions for Physician Referrals | Howard University Hospital | Washington, DC",87,781,,0,0,,0,Direct Admissions,17,,0,Protocol for Physician Referrals,32,Hours and Contact Information,29,,,,,,,,,,36191,526,8.602,1,,11,8,0,2.7,91,73,0,12,12,0,,,,,d3e9089734b674bb389b8961d3062f76,0.076,,,,,1.1,http://huhealthcare.com/healthcare/hospital/patients-and-visitors/admissions-information/admission-referrals,2022-01-21 13:13:16
9,http://huhealthcare.com/healthcare/~/media/Images/healthcare/hospital/marketing/campaign-banners/cardio-rehab.ashx?mh=347&mw=958,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,283888,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.045,"Fri, 30 Dec 2011 23:48:48 GMT",,,,1.1,http://huhealthcare.com/healthcare/~/media/Images/healthcare/hospital/marketing/campaign-banners/cardio-rehab.ashx?mh=347&mw=958,2022-01-21 13:13:16
11,http://huhealthcare.com/healthcare/hospital/specialty-services/sickle-cell-disease-center,text/html; charset=utf-8,200,OK,Indexable,,"Howard University Hospital | Washington, DC",43,401,,0,0,,0,About The Center For Sickle Cell Disease,40,,0,History,7,Current Leadership,18,,,,,,,,,,46054,701,8.816,1,,150,118,0,39.86,105,81,0,12,12,0,,,,,32e671fb7d314696f38ace00f2b615b1,0.084,,,,,1.1,http://huhealthcare.com/healthcare/hospital/specialty-services/sickle-cell-disease-center,2022-01-21 13:13:16
