,Source,Target
0,https://www.jpshealthnet.org/,http://www.teamacclaim.org/
1,https://www.jpshealthnet.org/,https://www.yestojps.org/
2,https://www.jpshealthnet.org/,https://jpsmychart.jpshealth.org/JPSMyChart/default.asp
3,https://www.jpshealthnet.org/,https://www.healthwise.net/jpsmychart/Content/CustDocument.aspx?XML=STUB.XML&XSL=CD.FRONTPAGE.XSL
4,https://www.jpshealthnet.org/,https://jobs.jpshealthnet.org/
5,https://www.jpshealthnet.org/,https://jpspharmacy.com/
6,https://www.jpshealthnet.org/,https://jobs.jpshealthnet.org/
7,https://www.jpshealthnet.org/,https://jpsmychart.jpshealth.org/JPSMyChart/default.asp
8,https://www.jpshealthnet.org/,https://www.yestojps.org/
9,https://www.jpshealthnet.org/,https://www.teamacclaim.org/
10,https://www.jpshealthnet.org/,https://www.yestojps.org/
11,https://www.jpshealthnet.org/,https://www.facebook.com/jpshealthnetwork/
12,https://www.jpshealthnet.org/,https://twitter.com/jps_health?lang=en
13,https://www.jpshealthnet.org/,https://www.linkedin.com/company/jps-health-network
14,https://www.jpshealthnet.org/,https://www.youtube.com/channel/UCsP7tANMPe-3-_N9g6CjZlg
15,https://www.jpshealthnet.org/,https://jpshealthnetwork.libsyn.com/
16,https://www.jpshealthnet.org/,https://www.facebook.com/jpshealthnetwork/
17,https://www.jpshealthnet.org/,https://twitter.com/jps_health?lang=en
18,https://www.jpshealthnet.org/,https://www.linkedin.com/company/jps-health-network
19,https://www.jpshealthnet.org/,https://www.youtube.com/channel/UCsP7tANMPe-3-_N9g6CjZlg
20,https://www.jpshealthnet.org/,https://jpshealthnetwork.libsyn.com/
21,https://www.jpshealthnet.org/medical-professionals/tcmhcc,http://www.teamacclaim.org/
22,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://www.yestojps.org/
23,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://jpsmychart.jpshealth.org/JPSMyChart/default.asp
24,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://www.healthwise.net/jpsmychart/Content/CustDocument.aspx?XML=STUB.XML&XSL=CD.FRONTPAGE.XSL
25,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://jobs.jpshealthnet.org/
26,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://www.unthsc.edu/
27,https://www.jpshealthnet.org/medical-professionals/tcmhcc,https://tx.cpan.trayt.io/create-account?code=I1Tytunpl6n4YjcplubIQG82eRRcQAM9bI9ibTIvc5Peot1R
