,Source,Target
0,https://www.kaleidahealth.org/bgmc/,https://kaleida-health.inquicker.com/emergency-room
1,https://www.kaleidahealth.org/bgmc/,https://www.brmc-ogh.org/
2,https://www.kaleidahealth.org/bgmc/,https://www.ochbuffalo.org/
3,https://www.kaleidahealth.org/bgmc/,https://www.brmc-ogh.org/
4,https://www.kaleidahealth.org/bgmc/,https://www.highpointeonmichigan.org/
5,https://www.kaleidahealth.org/bgmc/,https://www.vnawny.org/
6,https://www.kaleidahealth.org/bgmc/,https://labs.kaleidahealth.org/locations/
7,https://www.kaleidahealth.org/bgmc/,https://kah.patientbillhelp.com/
8,https://www.kaleidahealth.org/bgmc/,http://www.buffalobaby.org/classes/index.asp
9,https://www.kaleidahealth.org/bgmc/,https://foundation.kaleidahealth.org/events
10,https://www.kaleidahealth.org/bgmc/,https://www.ochbuffalo.org/foundation/events
11,https://www.kaleidahealth.org/bgmc/,https://www.buffalobaby.org/
12,https://www.kaleidahealth.org/bgmc/,https://physicianvalidation.kaleidahealth.org/webview/affletter
13,https://www.kaleidahealth.org/bgmc/,https://foundation.kaleidahealth.org/
14,https://www.kaleidahealth.org/bgmc/,https://www.ochbuffalo.org/foundation
15,https://www.kaleidahealth.org/bgmc/,https://www.greatlakescancercare.org/
16,https://www.kaleidahealth.org/bgmc/,http://www.facebook.com/BuffGen
17,https://www.kaleidahealth.org/bgmc/,http://www.youtube.com/user/BuffaloGeneral
18,https://www.kaleidahealth.org/bgmc/,http://medicine.buffalo.edu/
19,https://www.kaleidahealth.org/bgmc/,http://www.bnmc.org/
20,https://www.kaleidahealth.org/bgmc/,https://www.brmc.com/
21,https://www.kaleidahealth.org/bgmc/,https://www.ochbuffalo.org/
22,https://www.kaleidahealth.org/bgmc/,https://www.ogh.org/
23,https://www.kaleidahealth.org/bgmc/,https://www.highpointeonmichigan.org/
24,https://www.kaleidahealth.org/bgmc/,https://www.vnawny.org/
25,https://www.kaleidahealth.org/bgmc/,https://www.buffalobaby.org/
26,https://www.kaleidahealth.org/bgmc/,https://kah.patientbillhelp.com/
27,https://www.kaleidahealth.org/bgmc/,https://foundation.kaleidahealth.org/
28,https://www.kaleidahealth.org/bgmc/,https://www.ochbuffalo.org/foundation/
29,https://www.kaleidahealth.org/bgmc/,https://lawprod.kaleidahealth.org:444/lawson/custom/
30,https://www.kaleidahealth.org/bgmc/,https://sjobs.brassring.com/1033/asp/tg/cim_advsearch.asp?partnerid=16018&siteid=5120&Codes=KALEIDACAREERS
31,https://www.kaleidahealth.org/bgmc/,https://lawprod.kaleidahealth.org:444/lawson/custom/
32,https://www.kaleidahealth.org/bgmc/,http://www.kaleidatms.com/
33,https://www.kaleidahealth.org/bgmc/,https://www.kaleidahealthfcu.org/
34,https://www.kaleidahealth.org/bgmc/,https://www.facebook.com/pages/Kaleida-Health/162212049679?fref=ts
35,https://www.kaleidahealth.org/bgmc/,https://www.youtube.com/user/KaleidaHealth
