,Source,Target,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
1,https://www.keckmedicine.org/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
2,https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
3,https://www.keckmedicine.org/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
4,https://www.keckmedicine.org/,https://news.keckmedicine.org/masks-in-the-time-of-omicron--an-infectious-disease-expert-gives-insider-tips-on-mask-selection/,,,,
5,https://www.keckmedicine.org/,https://news.keckmedicine.org/testing-and-getting-a-booster-shot-remain-top-priorities-in-2022/,,,,
6,https://www.keckmedicine.org/,https://clinicaltrials.keckmedicine.org/,,,,
7,https://www.keckmedicine.org/,https://https//www.keckmedicine.org/giving/,,,,
8,https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
9,https://www.keckmedicine.org/,https://hscnews.usc.edu/,,,,
10,https://www.keckmedicine.org/,https://news.keckmedicine.org/,,,,
11,https://www.keckmedicine.org/,https://keck.usc.edu/,,,,
12,https://www.keckmedicine.org/,https://hscnews.usc.edu/,,,,
13,https://www.keckmedicine.org/,https://news.keckmedicine.org/,,,,
14,https://www.keckmedicine.org/,https://keck.usc.edu/,,,,
15,https://www.keckmedicine.org/,https://facebook.com/pages/Keck-Medical-Center-of-USC/276536222387052,,,,
16,https://www.keckmedicine.org/,https://twitter.com/KeckMedUSC,,,,
17,https://www.keckmedicine.org/,https://youtube.com/user/KeckMedUSC,,,,
18,https://www.keckmedicine.org/,https://linkedin.com/company/keck-medicine-of-usc,,,,
19,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://providers.keckmedicine.org/,,,,
20,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
21,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/1500+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0619675,-118.2036143,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5debe2c0109:0x1600bf9b4d398595!8m2!3d34.0619631!4d-118.2014203",,,,
22,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/1538+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0627425,-118.2052205,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5d8d5799d15:0xe28de63a3600c65a!8m2!3d34.0627381!4d-118.2030265",,,,
23,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/USC+Healthcare+Center+II,+1520+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0625872,-118.2046694,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5ded411f12f:0x94316c68b5440916!8m2!3d34.0625828!4d-118.2024754",,,,
