,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.keckmedicine.org/,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Keck Medicine of USC - Keck Medicine of USC,43,415,"Our world-renowned academic medical center is transforming medicine through groundbreaking research, exceptional patient care, and unparalleled academic achievement.",165,1063,,0,We Take On The Toughest Cases,29,,0,A Trusted Leader in Quality Health Care,39,Find the Care You Need,22,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://weightloss.keckmedicine.org/,,,,,,129670,948,6.202,0,,4256,618,0,84.66,113,51,0,19,13,0,,,,,b5b5aeab1eb761a6330086e716d4e3b5,0.058,,,,,1.1,https://www.keckmedicine.org/,2022-01-31 18:18:35
3,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,text/html; charset=UTF-8,200,OK,Indexable,,Parking at Keck Hospital of USC - Keck Medicine of USC,54,501,"If you have an appointment at Keck Hospital of USC, the following parking lots are your closest options. Keck Valet Service 1500 San Pablo Street Los Angeles, CA 90033 $8.00 (for patients) $15.00 (for visitors) Overnight parking available $20.00. *Healthcare Center 2 and 3 Valet is the same price Hours of operation: Monday to Friday:... Read More Now »",354,2222,,0,,0,,0,Parking at Keck Hospital of USC,31,Latest News & Articles,22,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,,,,,,100102,509,5.063,1,,584,572,0,78.36,97,48,0,21,17,0,,,,,8d3eafc20960ec6e8e31fa1e5a44d164,0.153,,,,,1.1,https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,2022-01-31 18:18:35
5,https://www.keckmedicine.org/wp-content/uploads/2022/01/covid-19-vaccine-graphic.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,586348,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.122,"Thu, 13 Jan 2022 18:17:54 GMT",,,,1.1,https://www.keckmedicine.org/wp-content/uploads/2022/01/covid-19-vaccine-graphic.jpg,2022-01-31 18:18:36
8,https://www.keckmedicine.org/career-opportunities-at-usc/,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Career Opportunities at USC - Keck Medicine of USC,50,469,"A career with Keck Medicine of USC provides many opportunities for professional and personal growth and development. Not only will you be working with some of the most respected and notable physicians and scientists in the world, but also with the most compassionate and dedicated nurses, technicians and support staff.",319,2009,,0,Your Career at Keck Medicine of USC,35,Your Career at Keck Medicine of USC,35,"Many Faces, One Mission",23,Limitless Opportunities,23,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://weightloss.keckmedicine.org/career-opportunities-at-usc/,,,,,,96105,649,6.38,1,,1094,572,0,78.36,90,44,0,22,19,0,,,,,6077937625c6bac13a907a9ae8aae713,0.147,,,,,1.1,https://www.keckmedicine.org/career-opportunities-at-usc/,2022-01-31 18:18:38
11,https://www.keckmedicine.org/blog/,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Blog Homepage - Keck Medicine of USC,36,358,"From health and wellness blogs to patient stories to meet our team features, read the latest news and articles from Keck Medicine of USC.",137,857,,0,Keck Medicine of USC Blog,25,,0,4 Tips to Help You Add Meal Planning Into Your Cooking Routine,62,"Meet Annie Yessaian, MD",23,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://keckmedicine.org/blog/,,,,,,153687,2247,9.474,1,,1045,540,0,73.97,197,106,0,22,13,0,,,,,d21c6c3a5dd7a61e4c2b29b1805a56f3,4.444,,,,,1.1,https://www.keckmedicine.org/blog/,2022-01-31 18:18:35
12,https://www.keckmedicine.org/international-health/become-a-patient/,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,Become a Patient - Keck Medicine of USC,39,371,"[php function=1] How to Become a Patient at Keck Medicine of USC Step One: Patient Demographic and Contact Information To initiate your inquiry, please complete the International Patient Intake Form.* Step Two: Read More",220,1405,,0,Become a Patient,16,,0,How to Become a Patient at Keck Medicine of USC,47,Financial Obligation,20,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://keckmedicine.org/international-health/become-a-patient/,,,,,,81590,560,6.954,1,,594,585,0,80.14,91,44,0,13,10,0,,,,,2423019177065445f61bec250cef435a,4.543,,,,,1.1,https://www.keckmedicine.org/international-health/become-a-patient/,2022-01-31 18:18:35
13,https://www.keckmedicine.org/wp-content/uploads/2022/01/us-new-badge-2021.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,161603,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.165,"Thu, 13 Jan 2022 00:21:49 GMT",,,,1.1,https://www.keckmedicine.org/wp-content/uploads/2022/01/us-new-badge-2021.png,2022-01-31 18:18:40
15,https://www.keckmedicine.org/locations/1441-eastlake-ave-los-angeles,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,1464,729,0,99.86,0,0,0,0,0,0,,,,,,2.448,,https://www.keckmedicine.org/locations/1441-eastlake-ave-los-angeles/,HTTP Redirect,,1.1,https://www.keckmedicine.org/locations/1441-eastlake-ave-los-angeles,2022-01-31 18:18:38
16,https://www.keckmedicine.org/locations/1500-san-pablo-st-los-angeles,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,1478,729,0,99.86,0,0,0,0,0,0,,,,,,0.058,,https://www.keckmedicine.org/locations/1500-san-pablo-st-los-angeles/,HTTP Redirect,,1.1,https://www.keckmedicine.org/locations/1500-san-pablo-st-los-angeles,2022-01-31 18:18:41
17,https://www.keckmedicine.org/category/our-stories,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,256,157,0,21.51,0,0,0,0,0,0,,,,,,0.95,,https://www.keckmedicine.org/category/our-stories/,HTTP Redirect,,1.1,https://www.keckmedicine.org/category/our-stories,2022-01-31 18:18:40
