,Source,Target
0,https://mhealthfairview.org/,https://mychart.fairview.org/MyChart/Authentication/Login
1,https://mhealthfairview.org/,https://facebook.com/mhealthfairview
2,https://mhealthfairview.org/,https://twitter.com/mhealthfairview
3,https://mhealthfairview.org/,https://www.youtube.com/user/HealthEast/featured
4,https://mhealthfairview.org/,https://instagram.com/mhealthfairview
5,https://mhealthfairview.org/,https://apps.apple.com/us/app/m-health-fairview/id1571750556
6,https://mhealthfairview.org/,https://play.google.com/store/apps/details?id=org.fairview.mychart
7,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
8,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
9,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
10,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
11,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
12,https://mhealthfairview.org/,http://www.fvfiles.com/544693.pdf
13,https://mhealthfairview.org/,http://www.fvfiles.com/191870kit.pdf
14,https://mhealthfairview.org/,http://www.fvfiles.com/5022kit.pdf
15,https://mhealthfairview.org/,http://www.fvfiles.com/524638.pdf
16,https://mhealthfairview.org/patient-relations,https://mychart.fairview.org/MyChart/Authentication/Login
17,https://mhealthfairview.org/patient-relations,http://www.jointcommission.org/
18,https://mhealthfairview.org/patient-relations,http://www.livantaqio.com/
19,https://mhealthfairview.org/patient-relations,https://facebook.com/mhealthfairview
20,https://mhealthfairview.org/patient-relations,https://twitter.com/mhealthfairview
21,https://mhealthfairview.org/patient-relations,https://www.youtube.com/user/HealthEast/featured
22,https://mhealthfairview.org/patient-relations,https://instagram.com/mhealthfairview
23,https://mhealthfairview.org/patient-relations,https://apps.apple.com/us/app/m-health-fairview/id1571750556
24,https://mhealthfairview.org/patient-relations,https://play.google.com/store/apps/details?id=org.fairview.mychart
25,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
26,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
27,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
28,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
29,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
30,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/544693.pdf
31,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/191870kit.pdf
32,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/5022kit.pdf
33,https://mhealthfairview.org/patient-relations,http://www.fvfiles.com/524638.pdf
34,https://mhealthfairview.org/careers,https://mychart.fairview.org/MyChart/Authentication/Login
35,https://mhealthfairview.org/careers,https://www.fairview.org/careers
36,https://mhealthfairview.org/careers,https://mphysicians.org/careers
37,https://mhealthfairview.org/careers,https://humanresources.umn.edu/content/find-job
38,https://mhealthfairview.org/careers,https://facebook.com/mhealthfairview
39,https://mhealthfairview.org/careers,https://twitter.com/mhealthfairview
40,https://mhealthfairview.org/careers,https://www.youtube.com/user/HealthEast/featured
41,https://mhealthfairview.org/careers,https://instagram.com/mhealthfairview
42,https://mhealthfairview.org/careers,https://apps.apple.com/us/app/m-health-fairview/id1571750556
43,https://mhealthfairview.org/careers,https://play.google.com/store/apps/details?id=org.fairview.mychart
44,https://mhealthfairview.org/careers,http://www.fvfiles.com/544693.pdf
45,https://mhealthfairview.org/careers,http://www.fvfiles.com/544693.pdf
46,https://mhealthfairview.org/careers,http://www.fvfiles.com/544693.pdf
47,https://mhealthfairview.org/careers,http://www.fvfiles.com/544693.pdf
48,https://mhealthfairview.org/careers,http://www.fvfiles.com/544693.pdf
