,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://mhealthfairview.org/,text/html; charset=utf-8,200,OK,Indexable,,M Health Fairview,17,158,,0,0,,0,Heal more. Hurt less.,21,COVID-19 Safety Updates,23,Healthcare founded in academics,31,600+,4,,,,,,,,,,187032,465,1.973,0,,1042,520,0,93.19,41,23,0,16,11,0,,,,,d68eb73e3759dadf22ada4ca815a2f65,0.816,,,,,1.1,https://mhealthfairview.org/,2022-02-04 09:39:44
1,https://mhealthfairview.org/patient-relations,text/html; charset=utf-8,200,OK,Indexable,,Patient Relations,17,149,,0,0,,0,Tell Us How We’re Doing,23,How would you like to contact us?,33,Send Us a Message,17,Give Us a Call,14,,,,,,,,,,150202,216,1.502,1,,525,520,0,93.19,32,20,0,18,13,0,,,,,a29e3fa341c527cc33e5e71a03c4dfc5,0.276,,,,,1.1,https://mhealthfairview.org/patient-relations,2022-02-04 09:39:45
2,https://mhealthfairview.org/careers,text/html; charset=utf-8,200,OK,Indexable,,Careers,7,70,,0,0,,0,Careers,7,Our Commitment to Equity,24,,0,,0,,,,,,,,,,135992,157,1.336,1,,526,520,0,93.19,33,21,0,19,14,0,,,,,67a2cc31c6462b2e12bed93c7e3ddb34,0.285,,,,,1.1,https://mhealthfairview.org/careers,2022-02-04 09:39:45
4,https://mhealthfairview.org/volunteering,text/html; charset=utf-8,200,OK,Indexable,,Volunteering,12,111,,0,0,,0,Becoming a Volunteer,20,,0,Getting Started,15,Frequently Asked Questions,26,,,,,,,,,,174164,1076,4.869,1,,1046,520,0,93.19,32,20,0,43,31,0,,,,,199841162dc39a7a15614bea275c5b99,1.004,,,,,1.1,https://mhealthfairview.org/volunteering,2022-02-04 09:39:45
5,https://mhealthfairview.org/covid19,text/html; charset=utf-8,200,OK,Indexable,,COVID-19 Resource Hub,21,224,,0,0,,0,COVID-19 Resource Hub,21,Vaccine Information,19,COVID-19 Therapies,18,Testing Information and Locations,33,,,,,,,,,,150313,824,4.104,1,,154,150,0,26.88,42,30,0,17,12,0,,,,,95060b59887c3cee8516c0c0e36c805d,0.627,,,,,1.1,https://mhealthfairview.org/covid19,2022-02-04 09:39:46
8,https://mhealthfairview.org/for-medical-professionals,text/html; charset=utf-8,200,OK,Indexable,,For Medical Professionals,25,227,,0,0,,0,For Medical Professionals,25,,0,Referral Contacts and Resources,31,Refer by Phone,14,,,,,,,,,,196071,2043,7.655,1,,524,520,0,93.19,42,28,0,28,23,0,,,,,2aa324cf310fb5fd87417834f2323813,1.125,,,,,1.1,https://mhealthfairview.org/for-medical-professionals,2022-02-04 09:39:45
9,https://mhealthfairview.org/giving,text/html; charset=utf-8,200,OK,Indexable,,Giving,6,57,,0,0,,0,Your Gift Matters,17,Support our Masonic Children’s Hospital,39,Support community health and well-being,39,Ways to Support M Health Fairview,33,,,,,,,,,,170740,772,3.672,1,,524,520,0,93.19,39,27,0,24,18,0,,,,,a780536650dedf6581a69ff8f25a803c,0.671,,,,,1.1,https://mhealthfairview.org/giving,2022-02-04 09:39:46
10,https://mhealthfairview.org/get-care,text/html; charset=utf-8,200,OK,Indexable,,Get Care,8,79,,0,0,,0,What kind of care do you need?,30,,0,Get Care Today,14,Schedule a Visit,16,,,,,,,,,,274438,211,0.775,1,,524,520,0,93.19,36,22,0,17,12,0,,,,,1a86612ac027ce880d0f2ae36db1761e,1.719,,,,,1.1,https://mhealthfairview.org/get-care,2022-02-04 09:39:45
11,https://mhealthfairview.org/-/media/MHealthFairview/Project/MHealthFairviewOrg/PDFs/Language-Services.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,266776,0,0.0,1,,5022,558,0,100.0,0,0,0,0,0,0,,,,,,0.241,"Mon, 31 Aug 2020 18:25:50 GMT",,,,1.1,https://mhealthfairview.org/-/media/MHealthFairview/Project/MHealthFairviewOrg/PDFs/Language-Services.ashx,2022-02-04 09:39:47
12,https://mhealthfairview.org/resources,text/html; charset=utf-8,200,OK,Indexable,,Resources & Information,23,217,,0,0,,0,Resources & Information,23,COVID-19 Resources,18,Additional Resources,20,,0,,,,,,,,,,132091,181,1.498,1,,522,520,0,93.19,37,22,0,16,11,0,,,,,5255f783af6137c2b9af653574e1075b,0.285,,,,,1.1,https://mhealthfairview.org/resources,2022-02-04 09:39:47
