,Source,Target
0,https://www.marshallhealth.org/,http://healthlibrary.marshallhealth.org/
1,https://www.marshallhealth.org/,http://healthlibrary.marshallhealth.org/
2,https://www.marshallhealth.org/,http://healthy.marshallhealth.org/
3,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/12/06/winter-skin-tips/
4,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/12/06/winter-skin-tips/
5,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/11/23/what-is-a-revision-knee-replacement/
6,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/11/23/what-is-a-revision-knee-replacement/
7,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/11/22/raising-awareness-of-a-fatal-complication-of-epilepsy/
8,https://www.marshallhealth.org/,https://healthy.marshallhealth.org/2021/11/22/raising-awareness-of-a-fatal-complication-of-epilepsy/
9,https://www.marshallhealth.org/,https://www.facebook.com/MarshallHealth
10,https://www.marshallhealth.org/,https://twitter.com/marshall_health
11,https://www.marshallhealth.org/,https://www.youtube.com/user/MarshallHealth/
12,https://www.marshallhealth.org/,https://www.instagram.com/marshall_health/
13,https://www.marshallhealth.org/,https://www.linkedin.com/company/marshall-health/
14,https://www.marshallhealth.org/,https://jcesom.marshall.edu/
15,https://www.marshallhealth.org/,https://intranet.marshallhealth.org/
16,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://www.facebook.com/MarshallHealth
17,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://twitter.com/marshall_health
18,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://www.youtube.com/user/MarshallHealth/
19,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://www.instagram.com/marshall_health/
20,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://www.linkedin.com/company/marshall-health/
21,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://jcesom.marshall.edu/
22,https://www.marshallhealth.org/events/chh-center-for-surgical-weight-control-seminar-2022-02-03/,https://intranet.marshallhealth.org/
23,https://www.marshallhealth.org/contact/,https://www.facebook.com/MarshallHealth
24,https://www.marshallhealth.org/contact/,https://twitter.com/marshall_health
25,https://www.marshallhealth.org/contact/,https://www.youtube.com/user/MarshallHealth/
26,https://www.marshallhealth.org/contact/,https://www.instagram.com/marshall_health/
27,https://www.marshallhealth.org/contact/,https://www.linkedin.com/company/marshall-health/
28,https://www.marshallhealth.org/contact/,https://jcesom.marshall.edu/
29,https://www.marshallhealth.org/contact/,https://intranet.marshallhealth.org/
30,https://www.marshallhealth.org/news/,http://healthy.marshallhealth.org/
31,https://www.marshallhealth.org/news/,http://healthy.marshallhealth.org/
32,https://www.marshallhealth.org/news/,https://www.facebook.com/MarshallHealth
33,https://www.marshallhealth.org/news/,https://twitter.com/marshall_health
34,https://www.marshallhealth.org/news/,https://www.youtube.com/user/MarshallHealth/
35,https://www.marshallhealth.org/news/,https://www.instagram.com/marshall_health/
36,https://www.marshallhealth.org/news/,https://www.linkedin.com/company/marshall-health/
37,https://www.marshallhealth.org/news/,https://jcesom.marshall.edu/
38,https://www.marshallhealth.org/news/,https://intranet.marshallhealth.org/
39,https://www.marshallhealth.org/For-Medical-Professionals,https://issuu.com/musom/docs/providerdirectory-2021_final
40,https://www.marshallhealth.org/For-Medical-Professionals,http://www.icontact-archive.com/archive?c=1562104&f=700&s=13487&m=167208&t=ea091bb14e82d0ceb4f758546a1a27c459525ddb4ac65f491cfbde327f65e764
41,https://www.marshallhealth.org/For-Medical-Professionals,https://jcesom.marshall.edu/continuing-medical-education/
42,https://www.marshallhealth.org/For-Medical-Professionals,https://jcesom.marshall.edu/
43,https://www.marshallhealth.org/For-Medical-Professionals,https://www.facebook.com/MarshallHealth
44,https://www.marshallhealth.org/For-Medical-Professionals,https://twitter.com/marshall_health
45,https://www.marshallhealth.org/For-Medical-Professionals,https://www.youtube.com/user/MarshallHealth/
46,https://www.marshallhealth.org/For-Medical-Professionals,https://www.instagram.com/marshall_health/
47,https://www.marshallhealth.org/For-Medical-Professionals,https://www.linkedin.com/company/marshall-health/
48,https://www.marshallhealth.org/For-Medical-Professionals,https://jcesom.marshall.edu/
49,https://www.marshallhealth.org/For-Medical-Professionals,https://intranet.marshallhealth.org/
50,https://www.marshallhealth.org/about-marshall-health/employment/,https://usr54.dayforcehcm.com/CandidatePortal/en-Us/marshallhealth
51,https://www.marshallhealth.org/about-marshall-health/employment/,https://usr56.dayforcehcm.com/CandidatePortal/en-Us/marshallhealth
52,https://www.marshallhealth.org/about-marshall-health/employment/,https://usr54.dayforcehcm.com/CandidatePortal/en-Us/marshallhealth
53,https://www.marshallhealth.org/about-marshall-health/employment/,https://www.facebook.com/MarshallHealth
54,https://www.marshallhealth.org/about-marshall-health/employment/,https://twitter.com/marshall_health
