,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://nashvillegeneral.org/,text/html; charset=UTF-8,200,OK,Indexable,,Nashville General Hospital,26,234,Nashville General Hospital serves our community as a steadfast beacon of care and compassion.,93,605,,0,SITE NAME,9,Home Page,9,Main navigation,15,Patient tool menu,17,"index, follow",,,https://nashvillegeneral.org/,,,,,,55106,645,9.633,0,,989,199,0,51.42,72,33,0,11,8,0,,,,,50f92ea82dec5e04a7b8283bfabd0c01,0.039,"Thu, 13 Jan 2022 18:19:09 GMT",,,,1.1,https://nashvillegeneral.org/,2022-01-21 14:39:50
1,https://nashvillegeneral.org/sites/default/files/styles/article_teaser_thumbnail/public/2021-08/Screen%20Shot%202021-08-13%20at%203.51.40%20PM.png?h=ca86caeb&itok=qIo-IRwh,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,298105,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.043,"Mon, 27 Dec 2021 17:06:54 GMT",,,,1.1,https://nashvillegeneral.org/sites/default/files/styles/article_teaser_thumbnail/public/2021-08/Screen%20Shot%202021-08-13%20at%203.51.40%20PM.png?h=ca86caeb&itok=qIo-IRwh,2022-01-21 14:39:50
3,https://nashvillegeneral.org/patient-visitor-info/pharmacy,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,518,0,0.0,1,,197,197,0,50.9,0,0,0,0,0,0,,,,,,0.139,,https://nashvillegeneral.org/clinics-services/community-pharmacy-ngh,HTTP Redirect,,1.1,https://nashvillegeneral.org/patient-visitor-info/pharmacy,2022-01-21 14:39:50
4,https://nashvillegeneral.org/doctors/physician-credentialing,text/html; charset=UTF-8,200,OK,Indexable,,Physician Credentialing | Nashville General Hospital,52,459,"This department manages the Medical Staff ""Application for Privileges"" process, and credentials all physicians, dentists, and specified professional personnel who practice within the Hospital Authority. All medical staff professionals are credentialed in compliance with State, Federal, Joint Commission and other regulatory agencies.",334,2048,,0,Physician Credentialing,23,,0,Main navigation,15,Patient tool menu,17,"index, follow",,,https://nashvillegeneral.org/doctors/physician-credentialing,,,,,,31079,163,7.688,1,,200,197,0,50.9,56,26,0,10,8,0,,,,,2a554f2818e657d53247d76f1bff97d4,0.131,"Thu, 13 Jan 2022 19:22:11 GMT",,,,1.1,https://nashvillegeneral.org/doctors/physician-credentialing,2022-01-21 14:39:50
5,https://nashvillegeneral.org/sites/default/files/styles/article_teaser_thumbnail/public/2021-01/hakan-nural-Z2n-r7pg6kM-unsplash.jpg?h=bb5e021e&itok=TdjKEheE,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,10968,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.121,"Mon, 27 Dec 2021 17:06:54 GMT",,,,1.1,https://nashvillegeneral.org/sites/default/files/styles/article_teaser_thumbnail/public/2021-01/hakan-nural-Z2n-r7pg6kM-unsplash.jpg?h=bb5e021e&itok=TdjKEheE,2022-01-21 14:39:50
7,https://nashvillegeneral.org/sites/default/files/styles/banners/public/2021-08/Screen%20Shot%202021-08-13%20at%204.10.34%20PM.png?itok=0aR4I3sx,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,280445,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.038,"Mon, 27 Dec 2021 17:06:54 GMT",,,,1.1,https://nashvillegeneral.org/sites/default/files/styles/banners/public/2021-08/Screen%20Shot%202021-08-13%20at%204.10.34%20PM.png?itok=0aR4I3sx,2022-01-21 14:39:50
8,https://nashvillegeneral.org/covid-19,text/html; charset=UTF-8,200,OK,Indexable,,COVID-19 | Nashville General Hospital,37,341,,0,0,,0,COVID-19,8,COVID-19,8,Main navigation,15,Patient tool menu,17,"index, follow",,,https://nashvillegeneral.org/covid-19,,,,,,50519,1138,15.569,1,,407,199,0,51.42,73,33,0,13,10,0,,,,,2cc6a9a71fc0b4bce51e8e94f8335c5e,0.133,"Thu, 13 Jan 2022 18:06:41 GMT",,,,1.1,https://nashvillegeneral.org/covid-19,2022-01-21 14:39:50
9,https://nashvillegeneral.org/sites/default/files/styles/banners/public/2022-01/NGH_Pharmacy_1068_0.jpg?itok=VDPpvafX,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,89207,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.119,"Thu, 13 Jan 2022 16:57:34 GMT",,,,1.1,https://nashvillegeneral.org/sites/default/files/styles/banners/public/2022-01/NGH_Pharmacy_1068_0.jpg?itok=VDPpvafX,2022-01-21 14:39:50
10,https://nashvillegeneral.org/about/nursing,text/html; charset=UTF-8,200,OK,Indexable,,Nursing | Nashville General Hospital,36,320,,0,0,,0,Nursing,7,,0,Main navigation,15,Patient tool menu,17,"index, follow",,,https://nashvillegeneral.org/about/nursing,,,,,,39271,610,13.176,1,,598,197,0,50.9,70,35,0,10,8,0,,,,,1e58d63efb3593151e8e7090ddbe77a8,0.127,"Thu, 13 Jan 2022 21:01:31 GMT",,,,1.1,https://nashvillegeneral.org/about/nursing,2022-01-21 14:39:50
11,https://nashvillegeneral.org/about/awards-recognition,text/html; charset=UTF-8,200,OK,Indexable,,Awards & Recognitions | Nashville General Hospital,50,455,,0,0,,0,Awards & Recognitions,21,,0,Main navigation,15,Patient tool menu,17,"index, follow",,,https://nashvillegeneral.org/about/awards-recognition,,,,,,44650,532,11.323,1,,219,198,0,51.16,59,27,0,14,12,0,,,,,5ccd8c5e0c32c1c58821a5773a097ed9,0.122,"Thu, 13 Jan 2022 18:36:38 GMT",,,,1.1,https://nashvillegeneral.org/about/awards-recognition,2022-01-21 14:39:50
