,Source,Target
0,https://www.navicenthealth.org/,https://navicent.orcarestra.com/directory/
1,https://www.navicenthealth.org/,https://w3.mccg.org/register/prereg_form.asp
2,https://www.navicenthealth.org/,http://navicent2.com/patientguide2018/mobile/index.html
3,https://www.navicenthealth.org/,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
4,https://www.navicenthealth.org/,http://w3.mccg.org/EHR_CBT/
5,https://www.navicenthealth.org/,https://www.cdc.gov/coronavirus/2019-ncov/index.html
6,https://www.navicenthealth.org/,https://dph.georgia.gov/
7,https://www.navicenthealth.org/,http://www.youtube.com/navicenthealth
8,https://www.navicenthealth.org/,http://www.linkedin.com/company/35077
9,https://www.navicenthealth.org/,http://www.facebook.com/navicenthealth
10,https://www.navicenthealth.org/,http://www.twitter.com/navicenthealth
11,https://www.navicenthealth.org/,https://atriumhealth.org/for-patients-visitors/financial-assistance
12,https://www.navicenthealth.org/,https://georgiaheart.org/
13,https://www.navicenthealth.org/sitemap-friendly,https://navicent.orcarestra.com/directory/
14,https://www.navicenthealth.org/sitemap-friendly,https://w3.mccg.org/register/prereg_form.asp
15,https://www.navicenthealth.org/sitemap-friendly,http://navicent2.com/patientguide2018/mobile/index.html
16,https://www.navicenthealth.org/sitemap-friendly,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
17,https://www.navicenthealth.org/sitemap-friendly,http://w3.mccg.org/EHR_CBT/
18,https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
19,https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/facility/central-georgia-diagnostics-laboratory
20,https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/facility/the-medical-center-of-peach-county
21,https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
22,https://www.navicenthealth.org/sitemap-friendly,http://cactus.mccg.org/idirectory//applicationspecific/entityselect.asp
23,https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
24,https://www.navicenthealth.org/sitemap-friendly,https://www.facebook.com/AtriumHealthNavicent
25,https://www.navicenthealth.org/sitemap-friendly,https://plus.google.com/b/115536590643820310208/115536590643820310208
26,https://www.navicenthealth.org/sitemap-friendly,http://www.instagram.com/navicenthealth
27,https://www.navicenthealth.org/sitemap-friendly,https://www.linkedin.com/company/navicenthealth
28,https://www.navicenthealth.org/sitemap-friendly,http://www.pinterest.com/navicenthealth
