,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.nebraskamed.com/,text/html; charset=UTF-8,200,OK,Indexable,,"Home | Nebraska Medicine Omaha, NE",34,347,"Nebraska Medicine is the most comprehensive health network in the region, with two major hospitals, more than 1,000 doctors and 40 clinics in the Omaha area.",157,994,,0,Welcome to Nebraska Medicine,28,,0,Taking your safety seriously. Every day.,40,Taking your safety seriously. Every day.,40,,,,https://www.nebraskamed.com/,,,,,,59672,241,3.572,0,,1900,317,0,100.0,54,21,0,20,10,0,,,,,4730e537a492818410f4bf1ab65317fe,0.056,"Fri, 04 Feb 2022 11:33:20 GMT",,,,1.1,https://www.nebraskamed.com/,2022-02-04 09:35:35
1,https://www.nebraskamed.com/legal,text/html; charset=UTF-8,200,OK,Indexable,,"Legal Disclaimer | About Us | Nebraska Medicine | Omaha, NE",59,550,Nebraska Medicine's legal disclaimer.,37,233,,0,Legal Disclaimer,16,,0,Breadcrumb,10,Legal Disclaimer,16,,,,https://www.nebraskamed.com/legal,,,,,,77612,195,2.44,1,,320,317,0,100.0,41,19,0,12,8,0,,,,,552ed7f431cf4a567a32304022e60505,0.027,"Fri, 04 Feb 2022 12:53:25 GMT",,,,1.1,https://www.nebraskamed.com/legal,2022-02-04 09:35:35
8,https://www.nebraskamed.com/careers,text/html; charset=UTF-8,200,OK,Indexable,,"Careers | Nebraska Medicine Omaha, NE",37,365,,0,0,,0,Be Extraordinary.,17,Be Extraordinary.,17,Careers,7,,0,,,,,,,,,,73054,281,5.187,1,,980,317,0,100.0,91,38,0,22,11,0,,,,,5b1f8c48e41cb3012a507f756285f9a1,0.026,"Fri, 04 Feb 2022 11:39:23 GMT",,,,1.1,https://www.nebraskamed.com/careers,2022-02-04 09:35:35
10,https://www.nebraskamed.com/accessibility-statement,text/html; charset=UTF-8,200,OK,Indexable,,"Accessibility Statement for Nebraska Medicine | Nebraska Medicine Omaha, NE",75,701,"Nebraska Medicine is committed to ensuring digital accessibility for people with disabilities. We are continually improving the user experience for everyone, and applying the relevant accessibility standards.",208,1269,,0,Accessibility Statement for Nebraska Medicine,45,,0,Breadcrumb,10,,0,,,,https://www.nebraskamed.com/accessibility-statement,,,,,,80525,326,3.635,1,,320,317,0,100.0,41,19,0,13,9,0,,,,,f9225b6f98228f18477b047eeeaf6e8,0.101,"Fri, 04 Feb 2022 11:48:41 GMT",,,,1.1,https://www.nebraskamed.com/accessibility-statement,2022-02-04 09:35:35
12,https://www.nebraskamed.com/covid,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,11043,0,0.0,1,,12,3,0,0.95,0,0,0,0,0,0,,,,,,0.089,,https://www.nebraskamed.com/COVID,HTTP Redirect,,1.1,https://www.nebraskamed.com/covid,2022-02-04 09:35:35
13,https://www.nebraskamed.com/sites/default/files/images/campaigns/app-store-badge-90pxh.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,9839,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.096,"Tue, 14 Jul 2020 22:31:28 GMT",,,,1.1,https://www.nebraskamed.com/sites/default/files/images/campaigns/app-store-badge-90pxh.png,2022-02-04 09:35:35
17,https://www.nebraskamed.com/doctors,text/html; charset=UTF-8,200,OK,Indexable,,"Doctors | Nebraska Medicine Omaha, NE",37,363,,0,0,,0,Doctors,7,Find a Doctor,13,Breadcrumb,10,Resources,9,,,,,,,,,,39804,236,4.173,1,,755,283,0,89.27,74,52,0,12,8,0,,,,,4daeeca94a4d2b448ee58f1b670c8819,0.482,,,,,1.1,https://www.nebraskamed.com/doctors,2022-02-04 09:35:35
20,https://www.nebraskamed.com/patients,text/html; charset=UTF-8,200,OK,Indexable,,"Patients and Visitors | Nebraska Medicine Omaha, NE",51,475,"This is the best page to start with, if you're looking for information related to being or bringing a patient to Nebraska Medicine.",131,774,,0,Patients and Visitors,21,,0,Breadcrumb,10,COVID-19 visitor restrictions,29,,,,https://www.nebraskamed.com/patients,,,,,,110460,765,4.995,1,,689,283,0,89.27,153,128,0,16,11,0,,,,,d2a847735b821551f453c5afe5474b73,0.133,"Fri, 04 Feb 2022 11:37:43 GMT",,,,1.1,https://www.nebraskamed.com/patients,2022-02-04 09:35:36
22,https://www.nebraskamed.com/sites/default/files/images/campaigns/world-leading-safety-protocols-badge.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,34029,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.114,"Tue, 14 Jul 2020 22:26:07 GMT",,,,1.1,https://www.nebraskamed.com/sites/default/files/images/campaigns/world-leading-safety-protocols-badge.png,2022-02-04 09:35:36
24,https://www.nebraskamed.com/patients/telehealth/app,text/html; charset=UTF-8,200,OK,Indexable,,"Download the Nebraska Medicine app | Nebraska Medicine Omaha, NE",64,629,Follow these instructions to install the Nebraska Medicine app on your mobile device. ,86,527,,0,Download the Nebraska Medicine app,34,,0,Breadcrumb,10,iOS: ,5,,,,https://www.nebraskamed.com/patients/telehealth/app,,,,,,107155,724,4.646,1,,132,117,0,36.91,143,117,0,14,10,0,,,,,db0cbc2c50fe2f8002fedf203d01d4dc,0.107,"Fri, 04 Feb 2022 11:45:00 GMT",,,,1.1,https://www.nebraskamed.com/patients/telehealth/app,2022-02-04 09:35:36
