,Source,Target
0,https://wvumedicine.org/ruby-memorial-hospital/,https://mywvuchart.com/MyChart/
1,https://wvumedicine.org/ruby-memorial-hospital/,https://give.wvu.edu/?n=6
2,https://wvumedicine.org/ruby-memorial-hospital/,https://www.youtube.com/user/WVUHealthcare
3,https://wvumedicine.org/ruby-memorial-hospital/,https://www.facebook.com/WVUMedicine
4,https://wvumedicine.org/ruby-memorial-hospital/,https://twitter.com/WVUMedicine
5,https://wvumedicine.org/ruby-memorial-hospital/,https://www.linkedin.com/company/wvumedicine
6,https://wvumedicine.org/ruby-memorial-hospital/,https://mywvuchart.com/MyChart/Authentication/Login?
7,https://wvumedicine.org/ruby-memorial-hospital/,https://wvuchart.com/EpicWeb/common/epic_login.asp
8,https://wvumedicine.org/ruby-memorial-hospital/,https://medicine.hsc.wvu.edu/
9,https://wvumedicine.org/ruby-memorial-hospital/,https://www.wvuf.org/creating-impact/wvu-medicine
10,https://wvumedicine.org/ruby-memorial-hospital/,https://www.facebook.com/WVUMedicine
11,https://wvumedicine.org/ruby-memorial-hospital/,https://twitter.com/WVUMedicine
12,https://wvumedicine.org/ruby-memorial-hospital/,https://www.youtube.com/c/WVUMedicine
13,https://wvumedicine.org/ruby-memorial-hospital/,https://www.linkedin.com/company/wvumedicine
14,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://mywvuchart.com/MyChart/
15,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://mywvuchart.com/MyChart/Authentication/Login?
16,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://wvuchart.com/EpicWeb/common/epic_login.asp
17,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://medicine.hsc.wvu.edu/
18,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.wvuf.org/creating-impact/wvu-medicine
19,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.facebook.com/WVUMedicine
20,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://twitter.com/WVUMedicine
21,https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.youtube.com/c/WVUMedicine
