,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Title 2,Title 2 Length,Title 2 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,Meta Robots 2,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://tulanehealthcare.com/,text/html;charset=UTF-8,200,,Indexable,,Tulane Medical Center - New Orleans Hospital & ER,49,461,,0,0,"The award-winning hospital and ER near the French Quarter in New Orleans offers advanced medical care in Jefferson and Orleans parishes, with fast avg ER wait times. Make an appointment with one of our medical experts.",218,1391,"hospital, New Orleans hospital, hospital in New Orleans, hospital near me, ER, emergency room, ER near me, ER in New Orleans, urgent care, New Orleans urgent care, urgent care near me, near me, nearest, closest, nearby, doctor, dr, doctor near me, specialist, medical treatment, er wait times, Canal, French quarter, university, la, nola, St. Bernard, St. Tammany, Plaquemines, Chalmette, CBD, Mid-City, Uptown, Treme-Lafitte, Gardens district, Audubon, fairgrounds, Big Easy, Mardi Gras, City Park, Algiers, Central, Marigny, Bywater, Saints",542,Tulane Medical Center,21,Tulane Medical Center,21,a New Orleans hospital & emergency room,39,a New Orleans hospital & emergency room,39,,,,,https://tulanehealthcare.com/,,,,,,189476,926,5.158,0,,638,481,0,92.15,242,88,0,29,9,0,,,,,fbc7eaf3dfea03a805d1b269c2057e41,3.123,,,,,1.1,https://tulanehealthcare.com/,2022-02-04 10:43:47
1,https://tulanehealthcare.com/locations/?directions=Lakeview%20Regional%20Medical%20Center,,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0.0,1,,1012,506,0,96.93,0,0,0,0,0,0,,,,,,,,,,,None,https://tulanehealthcare.com/locations/?directions=Lakeview%20Regional%20Medical%20Center,2022-02-04 10:43:53
2,https://tulanehealthcare.com/patients-and-visitors/hurricane-preparedness,,301,,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0.0,1,,1030,506,0,96.93,0,0,0,0,0,0,,,,,,0.189,,https://tulanehealthcare.com/patients-and-visitors/hurricane-preparedness/,HTTP Redirect,,1.1,https://tulanehealthcare.com/patients-and-visitors/hurricane-preparedness,2022-02-04 10:43:53
3,https://tulanehealthcare.com/services,,301,,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0.0,1,,3314,506,0,96.93,0,0,0,0,0,0,,,,,,0.189,,https://tulanehealthcare.com/services/,HTTP Redirect,,1.1,https://tulanehealthcare.com/services,2022-02-04 10:43:53
4,https://tulanehealthcare.com/contentAsset/raw-data/b96ed933-346f-4389-95b2-adfb9572504e/fullColorLogo,image/png,200,,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,16248,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.195,"Thu, 25 Sep 2014 21:36:54 +0000",,,,1.1,https://tulanehealthcare.com/contentAsset/raw-data/b96ed933-346f-4389-95b2-adfb9572504e/fullColorLogo,2022-02-04 10:43:53
5,https://tulanehealthcare.com/patients-and-visitors,,301,,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0.0,1,,2054,506,0,96.93,0,0,0,0,0,0,,,,,,0.196,,https://tulanehealthcare.com/patients-and-visitors/,HTTP Redirect,,1.1,https://tulanehealthcare.com/patients-and-visitors,2022-02-04 10:43:53
6,https://tulanehealthcare.com/patients-and-visitors/medical-records.dot,text/html;charset=UTF-8,200,,Indexable,,Medical Records,15,148,,0,0,Access your medical records—either electronic or paper copies—from hospital care or from your doctor's office.,110,696,"patient, medical, record, records, file, results, lab, access, copy, copies, release, hospital, health, healthcare, paper, electronic, portal",141,Medical Records,15,,0,Hospital Care,13,Doctor's office care,20,,,,,https://tulanehealthcare.com/patients-and-visitors/medical-records.dot,,,,,,106576,604,7.21,1,,1045,506,0,96.93,219,79,0,23,7,0,,,,,a4219b591474379df4c16006302c9dd6,2.459,,,,,1.1,https://tulanehealthcare.com/patients-and-visitors/medical-records.dot,2022-02-04 10:43:53
7,https://tulanehealthcare.com/legal/index.dot,text/html;charset=UTF-8,200,,Non-Indexable,Canonicalised,Legal standards for New Orleans hospital,40,363,Web Accessibility,17,156,"Tulane Medical Center's legal guidelines, including compliance, nondiscrimination, patient rights, privacy, quality and safety standards.",137,827,"compliance, nondiscrimination, patient rights, privacy, quality, safety, legal, standards, guidelines",101,Legal,5,,0,Accessibility,13,Thank You,9,,,,,https://tulanehealthcare.com/legal/,,,,,,246762,16872,45.393,1,,12174,506,0,96.93,219,79,0,49,34,0,,,,,1c8ba11a8ed4247f1194a2c858484215,3.052,,,,,1.1,https://tulanehealthcare.com/legal/index.dot,2022-02-04 10:43:53
8,https://tulanehealthcare.com/about/newsroom/tulane-medical-earns-healthgrades-5-star-designations,text/html;charset=UTF-8,200,,Indexable,,Tulane Medical earns Healthgrades 5-Star designations,53,490,,0,0,"Tulane Medical earns Healthgrades 5-Star designations - Tulane Medical Center is a Healthgrades Five-Star Recipient for Pacemakers Procedures, Abdominal Aorta Repair...",168,1078,"healthcare news, newsroom, news, press, media, medical, hospital, doctor, healthcare, health, care, treatments, tools, technology, local, nutrition, healthy",156,Tulane Medical earns Healthgrades 5-Star designations,53,,0,News Related Content,20,,0,"index, follow","index, follow",,,https://tulanehealthcare.com/about/newsroom/tulane-medical-earns-healthgrades-5-star-designations,,,,,https://tulanehealthcare.com/about/newsroom/tulane-medical-earns-healthgrades-5-star-designations?amp=true,121425,726,7.051,1,,23,3,0,0.57,215,82,0,22,7,0,,,,,e417d31ea5edab755bb00b3d94b75ce6,2.933,,,,,1.1,https://tulanehealthcare.com/about/newsroom/tulane-medical-earns-healthgrades-5-star-designations,2022-02-04 10:43:55
9,https://tulanehealthcare.com/legal/privacy-practices.dot,text/html;charset=UTF-8,301,,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0.0,1,,506,506,0,96.93,0,0,0,0,0,0,,,,,,2.698,,https://tulanehealthcare.com/legal/index.dot,HTTP Redirect,,1.1,https://tulanehealthcare.com/legal/privacy-practices.dot,2022-02-04 10:43:56
