,Source,Target,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter/,,,
1,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter/,,,
2,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
3,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
4,https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/legal/privacy/,,,
5,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
6,https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/nurse/daisy,,,
7,https://health.ucdavis.edu/medicalcenter/,"https://www.google.com/maps/place/4251+X+St,+Sacramento,+CA+95817/@38.554896,-121.4584849,17z/data=!3m1!4b1!4m5!3m4!1s0x809ad07cc6228885:0x74998774c85fe60d!8m2!3d38.554896!4d-121.4562962",,,
8,https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/publish/news/medicalcenter/,,,
9,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
10,https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
11,https://health.ucdavis.edu/medicalcenter/,https://www.facebook.com/UCDavisMedicalCenter,,,
12,https://health.ucdavis.edu/medicalcenter/,https://twitter.com/UCDavisMedCntr,,,
13,https://health.ucdavis.edu/medicalcenter/,http://www.youtube.com/ucdavishealth,,,
14,https://health.ucdavis.edu/medicalcenter/,https://youtu.be/J4iSSAOAEm4,,,
15,https://health.ucdavis.edu/medicalcenter/,https://www.ucdmc.ucdavis.edu/medicalcenter/aboutus/about.html,,,
16,https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
17,https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
18,https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
19,https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
20,https://health.ucdavis.edu/medicalcenter/,https://www.nursingworld.org/organizational-programs/magnet/,,,
21,https://health.ucdavis.edu/medicalcenter/,https://www.universityofcalifornia.edu/press-room/university-california-health-hospitals-recognized-lgbtq-health-care-equality,,,
22,https://health.ucdavis.edu/medicalcenter/,https://www.universityofcalifornia.edu/press-room/university-california-health-hospitals-recognized-lgbtq-health-care-equality,,,
23,https://health.ucdavis.edu/medicalcenter/,https://mychart.ucdavis.edu/mychart/,,,
24,https://health.ucdavis.edu/medicalcenter/,https://www.facebook.com/UCDavisMedicalCenter,,,
25,https://health.ucdavis.edu/medicalcenter/,https://twitter.com/UCDavisMedCntr,,,
26,https://health.ucdavis.edu/medicalcenter/,http://www.youtube.com/ucdavishealth,,,
27,https://health.ucdavis.edu/medicalcenter/,http://pinterest.com/ucdavishealth/,,,
28,https://health.ucdavis.edu/medicalcenter/,http://www.instagram.com/ucdavishealth,,,
29,https://health.ucdavis.edu/medicalcenter/,https://www.linkedin.com/company/uc-davis-health/,,,
30,https://health.ucdavis.edu/medicalcenter/aboutus/,http://physicians.ucdavis.edu/medicalcenter/,,,
31,https://health.ucdavis.edu/medicalcenter/aboutus/,http://physicians.ucdavis.edu/medicalcenter/,,,
32,https://health.ucdavis.edu/medicalcenter/aboutus/,http://physicians.ucdavis.edu/medicalcenter,,,
33,https://health.ucdavis.edu/medicalcenter/aboutus/,http://physicians.ucdavis.edu/medicalcenter,,,
34,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.ucdmc.ucdavis.edu/legal/privacy/,,,
35,https://health.ucdavis.edu/medicalcenter/aboutus/,http://physicians.ucdavis.edu/medicalcenter,,,
36,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.ucdmc.ucdavis.edu/nurse/daisy,,,
37,https://health.ucdavis.edu/medicalcenter/aboutus/,"https://www.google.com/maps/place/4251+X+St,+Sacramento,+CA+95817/@38.554896,-121.4584849,17z/data=!3m1!4b1!4m5!3m4!1s0x809ad07cc6228885:0x74998774c85fe60d!8m2!3d38.554896!4d-121.4562962",,,
38,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.ucdmc.ucdavis.edu/publish/news/medicalcenter/,,,
39,https://health.ucdavis.edu/medicalcenter/aboutus/,https://www.ucdmc.ucdavis.edu/medicalcenter/aboutus/bios/simmons.html,,,
40,https://health.ucdavis.edu/medicalcenter/aboutus/,https://www.nursingworld.org/organizational-programs/magnet/,,,
41,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.ucdmc.ucdavis.edu/health-magazine/,,,
42,https://health.ucdavis.edu/medicalcenter/aboutus/,https://mychart.ucdavis.edu/mychart/,,,
43,https://health.ucdavis.edu/medicalcenter/aboutus/,https://www.facebook.com/UCDavisMedicalCenter,,,
44,https://health.ucdavis.edu/medicalcenter/aboutus/,https://twitter.com/UCDavisMedCntr,,,
45,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.youtube.com/ucdavishealth,,,
46,https://health.ucdavis.edu/medicalcenter/aboutus/,http://pinterest.com/ucdavishealth/,,,
47,https://health.ucdavis.edu/medicalcenter/aboutus/,http://www.instagram.com/ucdavishealth,,,
48,https://health.ucdavis.edu/medicalcenter/aboutus/,https://www.linkedin.com/company/uc-davis-health/,,,
49,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://physicians.ucdavis.edu/medicalcenter/,,,
50,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://physicians.ucdavis.edu/medicalcenter/,,,
51,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://physicians.ucdavis.edu/medicalcenter,,,
52,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://physicians.ucdavis.edu/medicalcenter,,,
53,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.ucdmc.ucdavis.edu/legal/privacy/,,,
54,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://physicians.ucdavis.edu/medicalcenter,,,
55,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.ucdmc.ucdavis.edu/nurse/daisy,,,
56,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,"https://www.google.com/maps/place/4251+X+St,+Sacramento,+CA+95817/@38.554896,-121.4584849,17z/data=!3m1!4b1!4m5!3m4!1s0x809ad07cc6228885:0x74998774c85fe60d!8m2!3d38.554896!4d-121.4562962",,,
57,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.ucdmc.ucdavis.edu/publish/news/medicalcenter/,,,
58,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.ucdmc.ucdavis.edu/homecare/hospice/about_hospice.html,,,
59,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://mychart.ucdavis.edu/mychart/,,,
60,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://mychart.ucdavis.edu/mychart/,,,
61,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://mychart.ucdavis.edu/mychart/,,,
62,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://mychart.ucdavis.edu/mychart/,,,
63,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://www.facebook.com/UCDavisMedicalCenter,,,
64,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://twitter.com/UCDavisMedCntr,,,
65,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.youtube.com/ucdavishealth,,,
66,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://pinterest.com/ucdavishealth/,,,
67,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,http://www.instagram.com/ucdavishealth,,,
68,https://health.ucdavis.edu/medicalcenter/patients/home_care.html,https://www.linkedin.com/company/uc-davis-health/,,,
69,https://health.ucdavis.edu/discovering-healthy/,https://hr.ucdavis.edu/,,,
70,https://health.ucdavis.edu/discovering-healthy/,https://www.facebook.com/UCDavisHealth,,,
71,https://health.ucdavis.edu/discovering-healthy/,http://www.instagram.com/ucdavishealth,,,
72,https://health.ucdavis.edu/discovering-healthy/,https://www.linkedin.com/company/uc-davis-health,,,
73,https://health.ucdavis.edu/discovering-healthy/,https://twitter.com/UCDavisHealth,,,
74,https://health.ucdavis.edu/discovering-healthy/,http://www.youtube.com/ucdavishealth,,,
75,https://health.ucdavis.edu/discovering-healthy/,http://pinterest.com/ucdavishealth/,,,
76,https://health.ucdavis.edu/discovering-healthy/,https://hr.ucdavis.edu/,,,
77,https://health.ucdavis.edu/discovering-healthy/,https://physicians.ucdavis.edu/,,,
78,https://health.ucdavis.edu/discovering-healthy/,https://www.ucdavis.edu/,,,
79,https://health.ucdavis.edu/discovering-healthy/,https://www.universityofcalifornia.edu/,,,
80,https://health.ucdavis.edu/discovering-healthy/,https://health.universityofcalifornia.edu/,,,
81,https://health.ucdavis.edu/discovering-healthy/,"https://www.google.com/maps/dir//UC+DAVIS+HEALTH,+2315+Stockton+Blvd,+Sacramento,+CA+95817/@38.5547416,-121.456967,17.84z/data=!4m16!1m6!3m5!1s0x809ad07cc0d3cd61:0x7d6be96a48cea31a!2sUC+DAVIS+HEALTH!8m2!3d38.5547311!4d-121.4555678!4m8!1m0!1m5!1m1!1s0x809ad07cc0d3cd61:0x7d6be96a48cea31a!2m2!1d-121.4555678!2d38.5547311!3e2",,,
82,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://physicians.ucdavis.edu/medicalcenter/,,,
83,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://physicians.ucdavis.edu/medicalcenter/,,,
84,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://physicians.ucdavis.edu/medicalcenter,,,
85,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://physicians.ucdavis.edu/medicalcenter,,,
86,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://www.ucdmc.ucdavis.edu/legal/privacy/,,,
87,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://physicians.ucdavis.edu/medicalcenter,,,
88,https://health.ucdavis.edu/medicalcenter/patients/financial-assistance.html,http://www.ucdmc.ucdavis.edu/nurse/daisy,,,
