,Source,Target
0,https://uhnj.org/,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
1,https://uhnj.org/,https://twitter.com/UnivHospNewark
2,https://uhnj.org/,https://www.linkedin.com/company/university-hospital
3,https://uhnj.org/,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
4,https://uhnj.org/,https://www.instagram.com/university_hospital_newark/
5,https://uhnj.org/,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
6,https://uhnj.org/,http://cinj.org/universityhospital
7,https://uhnj.org/,https://www.youtube.com/watch?v=Tw-yRD1qtvs
8,https://uhnj.org/,https://www.uhnjfoundation.org/
9,https://uhnj.org/,https://uhnjcareers.com/
10,https://uhnj.org/,https://forms.office.com/r/79gSSt4Etc
11,https://uhnj.org/specialized_services/index.htm,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
12,https://uhnj.org/specialized_services/index.htm,https://twitter.com/UnivHospNewark
13,https://uhnj.org/specialized_services/index.htm,https://www.linkedin.com/company/university-hospital
14,https://uhnj.org/specialized_services/index.htm,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
15,https://uhnj.org/specialized_services/index.htm,https://www.instagram.com/university_hospital_newark/
16,https://uhnj.org/specialized_services/index.htm,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
17,https://uhnj.org/specialized_services/index.htm,http://cinj.org/universityhospital
18,https://uhnj.org/specialized_services/index.htm,https://www.youtube.com/watch?v=Tw-yRD1qtvs
19,https://uhnj.org/specialized_services/index.htm,https://www.uhnjfoundation.org/
20,https://uhnj.org/specialized_services/index.htm,https://uhnjcareers.com/
21,https://uhnj.org/specialized_services/index.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
22,https://uhnj.org/specialized_services/index.htm,https://www.cdc.gov/zika/
23,https://uhnj.org/specialized_services/index.htm,http://en.wikipedia.org/wiki/Aortic_dissection
24,https://uhnj.org/specialized_services/index.htm,http://njms.rutgers.edu/departments/surgery/divisions/vascular_surgery/ll_arterial_insufficiency.cfm
25,https://uhnj.org/specialized_services/index.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
