,Source,Target
0,https://uihealthcare.org/,https://uihc.org/
1,https://uihealthcare.org/,https://uichildrens.org/
2,https://uihealthcare.org/,https://medicine.uiowa.edu/
3,https://uihealthcare.org/,https://medicine.uiowa.edu/research
4,https://uihealthcare.org/,https://uihc.org/billpay
5,https://uihealthcare.org/,https://medicine.uiowa.edu/research
6,https://uihealthcare.org/,https://uihc.org/
7,https://uihealthcare.org/,https://uihc.org/2019-novel-coronavirus-covid-19
8,https://uihealthcare.org/,https://medicine.uiowa.edu/content/2019-novel-coronavirus-covid-19-updates
9,https://uihealthcare.org/,https://uihc.org/
10,https://uihealthcare.org/,https://uichildrens.org/
11,https://uihealthcare.org/,https://medicine.uiowa.edu/
12,https://uihealthcare.org/,https://medicine.uiowa.edu/uiphysicians/
13,https://uihealthcare.org/,http://www.medicine.uiowa.edu/research
14,https://uihealthcare.org/,https://uihc.org/primary-and-specialty-care
15,https://uihealthcare.org/,https://uihc.org/primary-and-specialty-care/nursing-iowa
16,https://uihealthcare.org/,https://uiowa.edu/
17,https://uihealthcare.org/,https://www.facebook.com/uihealthcare/
18,https://uihealthcare.org/,https://twitter.com/uihealthcare
19,https://uihealthcare.org/,https://www.youtube.com/uihealthcare
20,https://uihealthcare.org/,https://www.instagram.com/uihealthcare
21,https://uihealthcare.org/,https://uihc.org/node/107836
22,https://uihealthcare.org/,https://uihc.org/nondiscrimination-notice
23,https://uihealthcare.org/,https://uihc.org/node/116836
24,https://uihealthcare.org/,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
25,https://uihealthcare.org/,https://uiowa.edu/accessibility
26,https://uihealthcare.org/,https://nativeamericancouncil.org.uiowa.edu/
27,https://uihealthcare.org/,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
28,https://uihealthcare.org/education,https://uihc.org/
29,https://uihealthcare.org/education,https://uichildrens.org/
30,https://uihealthcare.org/education,https://medicine.uiowa.edu/
31,https://uihealthcare.org/education,https://medicine.uiowa.edu/research
32,https://uihealthcare.org/education,https://uihc.org/billpay
33,https://uihealthcare.org/education,https://medicine.uiowa.edu/md/
34,https://uihealthcare.org/education,http://www.healthcare.uiowa.edu/MSTP/
35,https://uihealthcare.org/education,https://medicine.uiowa.edu/education/doctor-philosophy-phd
36,https://uihealthcare.org/education,https://medicine.uiowa.edu/pt/
37,https://uihealthcare.org/education,https://medicine.uiowa.edu/pa/
38,https://uihealthcare.org/education,https://medicine.uiowa.edu/ocrme/
39,https://uihealthcare.org/education,https://medicine.uiowa.edu/education/bachelor-science-bs-programs
40,https://uihealthcare.org/education,https://gme.medicine.uiowa.edu/
41,https://uihealthcare.org/education,https://medicine.uiowa.edu/cme/
42,https://uihealthcare.org/education,http://www.medicine.uiowa.edu/NMT/
43,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/radiologic-technology
44,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/radiologic-technology
45,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/radiologic-technology
46,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/radiologic-technology
47,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/diagnostic-medical-sonography
48,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/diagnostic-medical-sonography
49,https://uihealthcare.org/education,https://medicine.uiowa.edu/radsci/programs/radiation-therapy
50,https://uihealthcare.org/education,https://medicine.uiowa.edu/perfusion/
51,https://uihealthcare.org/education,http://www.medicine.uiowa.edu/eye/orthoptic-training/
52,https://uihealthcare.org/education,http://pharmacy.uiowa.edu/residency-programs
53,https://uihealthcare.org/education,http://www.healthcare.uiowa.edu/fns/internship/internship.htm
54,https://uihealthcare.org/education,http://www.medicine.uiowa.edu/eye/orthoptic-training/
55,https://uihealthcare.org/education,http://www.nursing.uiowa.edu/academic-programs/dnp/plans
56,https://uihealthcare.org/education,https://pharmacy.uiowa.edu/pharmd
57,https://uihealthcare.org/education,http://clas.uiowa.edu/comsci/graduate-program
58,https://uihealthcare.org/education,http://clas.uiowa.edu/comsci/graduate-program
59,https://uihealthcare.org/education,http://grad.admissions.uiowa.edu/academics/audiology-aud
60,https://uihealthcare.org/education,http://www.dentistry.uiowa.edu/education
61,https://uihealthcare.org/education,http://www.public-health.uiowa.edu/hmp-phd/
62,https://uihealthcare.org/education,http://www.public-health.uiowa.edu/emha/
63,https://uihealthcare.org/education,http://www.medicine.uiowa.edu/pathology/education/mlsp/mlsp/
64,https://uihealthcare.org/education,https://medicine.uiowa.edu/orthopedics/education/master-science-athletic-training
65,https://uihealthcare.org/education,http://www.nursing.uiowa.edu/
66,https://uihealthcare.org/education,http://clas.uiowa.edu/socialwork/
67,https://uihealthcare.org/education,http://music.uiowa.edu/programs/therapy/therapy_equivalency.shtml
68,https://uihealthcare.org/education,https://uiowa.edu/
69,https://uihealthcare.org/education,https://www.facebook.com/uihealthcare/
70,https://uihealthcare.org/education,https://twitter.com/uihealthcare
71,https://uihealthcare.org/education,https://www.youtube.com/uihealthcare
72,https://uihealthcare.org/education,https://www.instagram.com/uihealthcare
73,https://uihealthcare.org/education,https://uihc.org/node/107836
74,https://uihealthcare.org/education,https://uihc.org/nondiscrimination-notice
75,https://uihealthcare.org/education,https://uihc.org/node/116836
76,https://uihealthcare.org/education,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
77,https://uihealthcare.org/education,https://uiowa.edu/accessibility
78,https://uihealthcare.org/education,https://nativeamericancouncil.org.uiowa.edu/
79,https://uihealthcare.org/education,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
80,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/
81,https://uihealthcare.org/education/ui-health-care-tours,https://uichildrens.org/
82,https://uihealthcare.org/education/ui-health-care-tours,https://medicine.uiowa.edu/
83,https://uihealthcare.org/education/ui-health-care-tours,https://medicine.uiowa.edu/research
84,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/billpay
85,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/kind-donations
86,https://uihealthcare.org/education/ui-health-care-tours,https://www.healthcare.uiowa.edu/marcom/uihc/in-kind-donation-form.pdf
87,https://uihealthcare.org/education/ui-health-care-tours,https://uiowa.qualtrics.com/jfe/form/SV_0kCwwNgvNNDm8Kh
88,https://uihealthcare.org/education/ui-health-care-tours,https://uiowa.edu/
89,https://uihealthcare.org/education/ui-health-care-tours,https://www.facebook.com/uihealthcare/
90,https://uihealthcare.org/education/ui-health-care-tours,https://twitter.com/uihealthcare
91,https://uihealthcare.org/education/ui-health-care-tours,https://www.youtube.com/uihealthcare
92,https://uihealthcare.org/education/ui-health-care-tours,https://www.instagram.com/uihealthcare
93,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/node/107836
94,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/nondiscrimination-notice
95,https://uihealthcare.org/education/ui-health-care-tours,https://uihc.org/node/116836
96,https://uihealthcare.org/education/ui-health-care-tours,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
97,https://uihealthcare.org/education/ui-health-care-tours,https://uiowa.edu/accessibility
98,https://uihealthcare.org/education/ui-health-care-tours,https://nativeamericancouncil.org.uiowa.edu/
99,https://uihealthcare.org/education/ui-health-care-tours,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
100,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uihc.org/
101,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uichildrens.org/
102,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://medicine.uiowa.edu/
103,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://medicine.uiowa.edu/research
104,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uihc.org/billpay
105,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uiowa.edu/
106,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://www.facebook.com/uihealthcare/
107,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://twitter.com/uihealthcare
108,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://www.youtube.com/uihealthcare
109,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://www.instagram.com/uihealthcare
110,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uihc.org/node/107836
111,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uihc.org/nondiscrimination-notice
112,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uihc.org/node/116836
113,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
114,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://uiowa.edu/accessibility
115,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,https://nativeamericancouncil.org.uiowa.edu/
116,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
117,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/
118,https://uihealthcare.org/ui-health-care-business-community-resources,https://uichildrens.org/
119,https://uihealthcare.org/ui-health-care-business-community-resources,https://medicine.uiowa.edu/
120,https://uihealthcare.org/ui-health-care-business-community-resources,https://medicine.uiowa.edu/research
121,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/billpay
122,https://uihealthcare.org/ui-health-care-business-community-resources,https://medicine.uiowa.edu/alumni/meet-us/collegiate-and-community-relations-staff
123,https://uihealthcare.org/ui-health-care-business-community-resources,https://hcis.healthcare.uiowa.edu/selfservice/
124,https://uihealthcare.org/ui-health-care-business-community-resources,http://foundation.uiowa.edu/about/
125,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/ui-hospitals-and-clinics-engineering-services
126,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/media
127,https://uihealthcare.org/ui-health-care-business-community-resources,https://hr.uiowa.edu/
128,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/pharmacies
129,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/specialty-pharmacy-services
130,https://uihealthcare.org/ui-health-care-business-community-resources,https://medicine.uiowa.edu/uiphysicians/
131,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/clinical-staff-office
132,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/procurement-services
133,https://uihealthcare.org/ui-health-care-business-community-resources,https://medicine.uiowa.edu/research/about-office-research
134,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/services-and-amenities
135,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/material-services
136,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/work-related-care-management
137,https://uihealthcare.org/ui-health-care-business-community-resources,https://uiowa.edu/
138,https://uihealthcare.org/ui-health-care-business-community-resources,https://www.facebook.com/uihealthcare/
139,https://uihealthcare.org/ui-health-care-business-community-resources,https://twitter.com/uihealthcare
140,https://uihealthcare.org/ui-health-care-business-community-resources,https://www.youtube.com/uihealthcare
141,https://uihealthcare.org/ui-health-care-business-community-resources,https://www.instagram.com/uihealthcare
142,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/node/107836
143,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/nondiscrimination-notice
144,https://uihealthcare.org/ui-health-care-business-community-resources,https://uihc.org/node/116836
145,https://uihealthcare.org/ui-health-care-business-community-resources,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
146,https://uihealthcare.org/ui-health-care-business-community-resources,https://uiowa.edu/accessibility
147,https://uihealthcare.org/ui-health-care-business-community-resources,https://nativeamericancouncil.org.uiowa.edu/
148,https://uihealthcare.org/ui-health-care-business-community-resources,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
149,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uihc.org/
150,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uichildrens.org/
151,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://medicine.uiowa.edu/
152,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://medicine.uiowa.edu/research
153,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uihc.org/billpay
154,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uiowa.edu/
155,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://www.facebook.com/uihealthcare/
156,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://twitter.com/uihealthcare
157,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://www.youtube.com/uihealthcare
158,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://www.instagram.com/uihealthcare
159,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uihc.org/node/107836
160,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uihc.org/nondiscrimination-notice
161,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uihc.org/node/116836
162,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
163,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://uiowa.edu/accessibility
164,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,https://nativeamericancouncil.org.uiowa.edu/
165,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
166,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uihc.org/
167,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uichildrens.org/
168,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://medicine.uiowa.edu/
169,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://medicine.uiowa.edu/research
170,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uihc.org/billpay
171,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uiowa.edu/
172,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://www.facebook.com/uihealthcare/
173,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://twitter.com/uihealthcare
174,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://www.youtube.com/uihealthcare
175,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://www.instagram.com/uihealthcare
176,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uihc.org/node/107836
177,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uihc.org/nondiscrimination-notice
178,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uihc.org/node/116836
179,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://wsi.healthcare.uiowa.edu/Marcom/ECOI/
180,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://uiowa.edu/accessibility
181,https://uihealthcare.org/find-your-career-university-iowa-health-care,https://nativeamericancouncil.org.uiowa.edu/
182,https://uihealthcare.org/find-your-career-university-iowa-health-care,http://hc-vbugtracker.healthcare.uiowa.edu/projects/ui-health-care/issues/new
183,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://uihc.org/
184,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://uichildrens.org/
185,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://medicine.uiowa.edu/
186,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://medicine.uiowa.edu/research
187,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://uihc.org/billpay
188,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,http://www.ed.gov/
189,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,http://www.aspa-usa.org/
190,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,http://www.eatright.org/acend
191,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://www.eatrightpro.org/acend
192,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://uiowa.edu/
193,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://www.facebook.com/uihealthcare/
194,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://twitter.com/uihealthcare
195,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://www.youtube.com/uihealthcare
196,https://uihealthcare.org/education/university-iowa-master-clinical-nutrition-program,https://www.instagram.com/uihealthcare
