,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://uihealthcare.org/,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,University of Iowa Health Care | UI Health Care,47,411,,0,0,,0,,0,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/university-iowa-health-care,,,,,,52311,368,6.187,0,,233,116,0,92.06,27,17,0,28,23,0,,,,,ac5c67777aadddf732e025bef08b010,0.039,"Fri, 28 Jan 2022 15:33:37 GMT",,,,1.1,https://uihealthcare.org/,2022-02-04 11:20:16
1,https://uihealthcare.org/node/136,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11069,0,0.0,1,,126,126,0,100.0,0,0,0,0,0,0,,,,,,0.07,,https://uihealthcare.org/privacy-policy,HTTP Redirect,,1.1,https://uihealthcare.org/node/136,2022-02-04 11:20:16
2,https://uihealthcare.org/education,text/html; charset=UTF-8,200,OK,Indexable,,Education | UI Health Care,26,235,,0,0,,0,Education,9,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/education,,,,,,56069,620,8.999,1,,351,116,0,92.06,30,19,0,52,46,0,,,,,ec1bb12b7806be34582be9d500315904,0.044,"Fri, 28 Jan 2022 15:40:29 GMT",,,,1.1,https://uihealthcare.org/education,2022-02-04 11:20:16
4,https://uihealthcare.org/education/ui-health-care-tours,text/html; charset=UTF-8,200,OK,Indexable,,UI Health Care Tours | UI Health Care,37,333,,0,0,,0,UI Health Care Tours,20,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/education/ui-health-care-tours,,,,,,54408,295,5.794,1,,180,116,0,92.06,39,21,0,20,20,0,,,,,9f9092bb98f1774e06e5e2e767fa6c70,0.089,"Fri, 28 Jan 2022 18:06:07 GMT",,,,1.1,https://uihealthcare.org/education/ui-health-care-tours,2022-02-04 11:20:16
5,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,text/html; charset=UTF-8,200,OK,Indexable,,Virtual STEM Education: Neurons–The Message Carriers | UI Health Care,69,651,,0,0,,0,Virtual STEM Education: Neurons–The Message Carriers,52,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,,,,,,51655,48,2.908,1,,118,116,0,92.06,33,17,0,17,17,0,,,,,24a23e3ad90c3e762fc13a46e646be0,0.021,"Fri, 28 Jan 2022 18:05:52 GMT",,,,1.1,https://uihealthcare.org/education/ui-health-care-stem-education/stem-resources/virtual-stem-education-neurons-message,2022-02-04 11:20:16
6,https://uihealthcare.org/ui-health-care-business-community-resources,text/html; charset=UTF-8,200,OK,Indexable,,UI Health Care Business & Community Resources | UI Health Care,62,588,,0,0,,0,UI Health Care Business & Community Resources,45,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/ui-health-care-business-community-resources,,,,,,52299,194,4.381,1,,233,116,0,92.06,33,23,0,32,32,0,,,,,67c01046ac8e94ea24a58da8ccbe945a,0.058,"Fri, 28 Jan 2022 16:06:39 GMT",,,,1.1,https://uihealthcare.org/ui-health-care-business-community-resources,2022-02-04 11:20:16
7,https://uihealthcare.org/sites/default/files/inline-images/Health%20Network-Rehab%20%282c%20HORIZ%29.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,42774,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.02,"Thu, 21 May 2020 13:32:29 GMT",,,,1.1,https://uihealthcare.org/sites/default/files/inline-images/Health%20Network-Rehab%20%282c%20HORIZ%29.png,2022-02-04 11:20:16
8,https://uihealthcare.org/themes/custom/uihealthcare/images/logo-bw.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,12978,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.054,"Sat, 23 Jan 2021 08:48:16 GMT",,,,1.1,https://uihealthcare.org/themes/custom/uihealthcare/images/logo-bw.svg,2022-02-04 11:20:16
9,https://uihealthcare.org/university-iowa-health-care,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11013,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.12,,https://uihealthcare.org/,HTTP Redirect,,1.1,https://uihealthcare.org/university-iowa-health-care,2022-02-04 11:20:16
11,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,text/html; charset=UTF-8,200,OK,Indexable,,Post-graduate Policy and Administrative Fellowships | UI Health Care,68,607,,0,0,,0,Post-graduate Policy and Administrative Fellowships,51,Primary Navigation,18,Main navigation,15,,,,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,,,,,,52557,107,3.95,1,,177,116,0,92.06,37,21,0,17,17,0,,,,,125913fbd4436fdabfbb311ab23a8ef4,0.115,"Fri, 28 Jan 2022 15:09:04 GMT",,,,1.1,https://uihealthcare.org/education/post-graduate-policy-and-administrative-fellowships,2022-02-04 11:20:16
