,Source,Target
0,https://unmhealth.org/,https://myhealthunm.iqhealth.com/home
1,https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
2,https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
3,https://unmhealth.org/,https://myhealthunm.iqhealth.com/home
4,https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
5,https://unmhealth.org/,https://cancer.unm.edu/
6,https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/interdisciplinary-substance-use-brain-injury-center-groundbreaking.html
7,https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/unm-partners-national-hispanic-institute-2022-youth-leadership-training.html
8,https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/new-hospital-tower-greater-access-health-care.html
9,https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/office-medical-investigator-does-not-charge-families-services.html
10,https://unmhealth.org/,https://hsc.unm.edu/covid-19/
11,https://unmhealth.org/,https://hsc.unm.edu/index.html
12,https://unmhealth.org/,https://www.unm.edu/
13,https://unmhealth.org/,https://www.unmfund.org/fund-category/unm-cancer-center/
14,https://unmhealth.org/,https://www.unmfund.org/
15,https://unmhealth.org/,https://cancer.unm.edu/
16,https://unmhealth.org/,https://www.facebook.com/unmhsc
17,https://unmhealth.org/,https://www.linkedin.com/company/5932
18,https://unmhealth.org/,https://twitter.com/unmhsc
19,https://unmhealth.org/,https://instagram.com/unmhsc/
20,https://unmhealth.org/,https://www.youtube.com/user/unmhsc
21,https://unmhealth.org/,https://www.unm.edu/accessibility.html
22,https://unmhealth.org/,https://www.unm.edu/legal.html
23,https://unmhealth.org/,http://www.unm.edu/
24,https://unmhealth.org/locations/cancer-center.html,https://myhealthunm.iqhealth.com/home
25,https://unmhealth.org/locations/cancer-center.html,https://findadoc.health.unm.edu/FADPF/
26,https://unmhealth.org/locations/cancer-center.html,https://findadoc.health.unm.edu/FADPF/
27,https://unmhealth.org/locations/cancer-center.html,https://myhealthunm.iqhealth.com/home
28,https://unmhealth.org/locations/cancer-center.html,https://cancer.unm.edu/
29,https://unmhealth.org/locations/cancer-center.html,https://cancer.unm.edu/
30,https://unmhealth.org/locations/cancer-center.html,https://www.cancer.gov/
31,https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/
32,https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/
33,https://unmhealth.org/locations/cancer-center.html,"https://www.google.com/maps/place/UNM+Comprehensive+Cancer+Center/@35.09564,-106.630468,17z/data=!4m12!1m6!3m5!1s0x87220b5628575ab7:0xf217bb88d9cebfb8!2sUNM+Comprehensive+Cancer+Center!8m2!3d35.09564!4d-106.628274!3m4!1s0x87220b5628575ab7:0xf217bb88d9cebfb8!8m2!3d35.09564!4d-106.628274?hl=en-US"
34,https://unmhealth.org/locations/cancer-center.html,"https://www.google.com/maps/place/2055+S+Pacheco+St,+Santa+Fe,+NM+87505/@35.655657,-105.9605067,17z/data=!3m1!4b1!4m5!3m4!1s0x8718508557c02c95:0x358ea724aeb1a885!8m2!3d35.6594349!4d-105.9593867?hl=en-US"
35,https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/menu-ct/clinical-trials-database/
36,https://unmhealth.org/locations/cancer-center.html,https://hsc.unm.edu/covid-19/
37,https://unmhealth.org/locations/cancer-center.html,https://hsc.unm.edu/index.html
38,https://unmhealth.org/locations/cancer-center.html,https://www.unm.edu/
39,https://unmhealth.org/locations/cancer-center.html,https://www.unmfund.org/fund-category/unm-cancer-center/
40,https://unmhealth.org/locations/cancer-center.html,https://www.unmfund.org/
41,https://unmhealth.org/locations/cancer-center.html,https://cancer.unm.edu/
42,https://unmhealth.org/locations/cancer-center.html,https://www.facebook.com/unmhsc
43,https://unmhealth.org/locations/cancer-center.html,https://www.linkedin.com/company/5932
44,https://unmhealth.org/locations/cancer-center.html,https://twitter.com/unmhsc
45,https://unmhealth.org/locations/cancer-center.html,https://instagram.com/unmhsc/
46,https://unmhealth.org/locations/cancer-center.html,https://www.youtube.com/user/unmhsc
47,https://unmhealth.org/locations/cancer-center.html,https://www.unm.edu/accessibility.html
48,https://unmhealth.org/locations/cancer-center.html,https://www.unm.edu/legal.html
49,https://unmhealth.org/locations/cancer-center.html,http://www.unm.edu/
50,https://unmhealth.org/providers/,https://findadoc.health.unm.edu/FADPF/
51,https://unmhealth.org/providers/,https://findadoc.health.unm.edu/FADPF/
52,https://unmhealth.org/providers/,https://hsc.unm.edu/news/2021/02/unm-comprehensive-stroke-center.html
53,https://unmhealth.org/providers/,https://hsc.unm.edu/news/2020/08/orthopaedics-center-of-excellence.html
54,https://unmhealth.org/providers/,https://hsc.unm.edu/news/2020/08/leslie-strickler-women-of-the-century.html
55,https://unmhealth.org/providers/,https://hsc.unm.edu/news/2021/04/quest-for-immunity.html
56,https://unmhealth.org/providers/,https://hsc.unm.edu/covid-19/index.html
57,https://unmhealth.org/providers/,https://hsc.unm.edu/index.html
58,https://unmhealth.org/providers/,https://www.unm.edu/
59,https://unmhealth.org/providers/,https://www.unmfund.org/fund-category/unm-cancer-center/
60,https://unmhealth.org/providers/,https://www.unmfund.org/
61,https://unmhealth.org/providers/,https://www.unm.edu/accessibility.html
62,https://unmhealth.org/providers/,https://www.unm.edu/legal.html
63,https://unmhealth.org/providers/,http://www.unm.edu/
64,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://myhealthunm.iqhealth.com/home
65,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://findadoc.health.unm.edu/FADPF/
66,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://findadoc.health.unm.edu/FADPF/
67,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://myhealthunm.iqhealth.com/home
68,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/health/assets/doc/unmh/patient-rights-reps-english.pdf
69,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/health/assets/doc/unmh/patients-rights-form.pdf
70,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/health/assets/doc/unmh/patient-clinic-visitors.pdf
71,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/health/patients-visitors/doc/visitor-guidelines.pdf
72,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.hrc.org/hei/leaders-in-lgbt-healthcare-equality
73,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.hrc.org/
74,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.hrc.org/hei
75,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,http://lgbtqrc.unm.edu/
76,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://tgrcnm.org/
77,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/covid-19/
78,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://hsc.unm.edu/index.html
79,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.unm.edu/
80,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.unmfund.org/fund-category/unm-cancer-center/
81,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.unmfund.org/
82,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://cancer.unm.edu/
83,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.facebook.com/unmhsc
84,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.linkedin.com/company/5932
85,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://twitter.com/unmhsc
86,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://instagram.com/unmhsc/
87,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.youtube.com/user/unmhsc
88,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.unm.edu/accessibility.html
89,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,https://www.unm.edu/legal.html
90,https://unmhealth.org/community/diversity-equity-inclusion/lgbtq-collaborative.html,http://www.unm.edu/
91,https://unmhealth.org/patients-visitors/native-american-patients.html,https://myhealthunm.iqhealth.com/home
92,https://unmhealth.org/patients-visitors/native-american-patients.html,https://findadoc.health.unm.edu/FADPF/
93,https://unmhealth.org/patients-visitors/native-american-patients.html,https://findadoc.health.unm.edu/FADPF/
94,https://unmhealth.org/patients-visitors/native-american-patients.html,https://myhealthunm.iqhealth.com/home
95,https://unmhealth.org/patients-visitors/native-american-patients.html,https://hsc.unm.edu/covid-19/
96,https://unmhealth.org/patients-visitors/native-american-patients.html,https://hsc.unm.edu/index.html
97,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.unm.edu/
98,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.unmfund.org/fund-category/unm-cancer-center/
99,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.unmfund.org/
100,https://unmhealth.org/patients-visitors/native-american-patients.html,https://cancer.unm.edu/
101,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.facebook.com/unmhsc
102,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.linkedin.com/company/5932
103,https://unmhealth.org/patients-visitors/native-american-patients.html,https://twitter.com/unmhsc
104,https://unmhealth.org/patients-visitors/native-american-patients.html,https://instagram.com/unmhsc/
105,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.youtube.com/user/unmhsc
106,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.unm.edu/accessibility.html
107,https://unmhealth.org/patients-visitors/native-american-patients.html,https://www.unm.edu/legal.html
108,https://unmhealth.org/patients-visitors/native-american-patients.html,http://www.unm.edu/
109,https://unmhealth.org/childrens-hospital/ways-to-give/childrens-miracle-network.html,https://cernerhealth.com/oauth/authenticate?client_id=62bd791fa5c44b1d9cc8f8b9e48b210d&redirect_uri=https://myhealthunm.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on
110,https://unmhealth.org/childrens-hospital/ways-to-give/childrens-miracle-network.html,https://findadoc.health.unm.edu/
111,https://unmhealth.org/childrens-hospital/ways-to-give/childrens-miracle-network.html,https://findadoc.health.unm.edu/
