,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://unmhealth.org/,text/html; charset=UTF-8,200,OK,Indexable,,"UNM Health System | Albuquerque, New Mexico",43,427,UNM Health System is New Mexico's health care leader and the state's only academic medical center. | 40+ adult & child specialty services | Top 5% in the U.S. for clinical care.,177,1095,,0,UNM Health,10,,0,Welcome to UNM Health System,28,World-Class Specialty Care,26,,,,,,,,,,75127,465,5.66,0,,21,15,0,3.04,66,36,0,24,20,0,,,,,e2ae1897558daeadd8178cde9394b642,0.021,"Fri, 28 Jan 2022 19:39:57 GMT",,,,1.1,https://unmhealth.org/,2022-02-04 11:14:06
2,https://unmhealth.org/careers/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,238,0,0.0,1,,301,274,0,55.47,0,0,0,0,0,0,,,,,,0.107,,https://unmhealth.org/careers/,HTTP Redirect,,1.1,https://unmhealth.org/careers/index.html,2022-02-04 11:14:06
4,https://unmhealth.org/community/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,240,0,0.0,1,,467,230,0,46.56,0,0,0,0,0,0,,,,,,0.163,,https://unmhealth.org/community/,HTTP Redirect,,1.1,https://unmhealth.org/community/index.html,2022-02-04 11:14:06
5,https://unmhealth.org/global-health/_files/images/logos/UNM_Health_Horizontal_White-250x78.svg,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,38091,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.229,"Thu, 11 Nov 2021 18:28:38 GMT",,,,1.1,https://unmhealth.org/global-health/_files/images/logos/UNM_Health_Horizontal_White-250x78.svg,2022-02-04 11:14:06
7,https://unmhealth.org/global-health/_files/images/Icons/icon-arrow-black.png,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,38091,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.22,"Thu, 11 Nov 2021 18:28:38 GMT",,,,1.1,https://unmhealth.org/global-health/_files/images/Icons/icon-arrow-black.png,2022-02-04 11:14:06
8,https://unmhealth.org/patients-visitors/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,248,0,0.0,1,,554,275,0,55.67,0,0,0,0,0,0,,,,,,0.074,,https://unmhealth.org/patients-visitors/,HTTP Redirect,,1.1,https://unmhealth.org/patients-visitors/index.html,2022-02-04 11:14:06
9,https://unmhealth.org/services/pain-management/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,255,0,0.0,1,,17,9,0,1.82,0,0,0,0,0,0,,,,,,0.073,,https://unmhealth.org/services/pain-management/,HTTP Redirect,,1.1,https://unmhealth.org/services/pain-management/index.html,2022-02-04 11:14:06
11,https://unmhealth.org/_media/_icons/mobile-icons/embrace-mobile.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,23247,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.068,"Fri, 28 Jan 2022 19:39:57 GMT",,,,1.1,https://unmhealth.org/_media/_icons/mobile-icons/embrace-mobile.png,2022-02-04 11:14:06
12,https://unmhealth.org/locations/cancer-center.html,text/html; charset=UTF-8,200,OK,Indexable,,"UNM Comprehensive Cancer Center | Albuquerque, New Mexico",57,571,"UNM Comprehensive Cancer Center is the only NCI-designated center in New Mexico. Clinical trials, specialized care, and research right here in NM.",146,923,,0,UNM Comprehensive Cancer Center,31,,0,Albuquerque Location,20,Santa Fe Location,17,,,,,,,,,,93990,641,5.709,1,,21,14,0,2.83,78,35,0,26,21,0,,,,,4d7a75ece580d88ea307d1206a262c97,0.239,"Tue, 23 Nov 2021 20:27:34 GMT",,,,1.1,https://unmhealth.org/locations/cancer-center.html,2022-02-04 11:14:06
14,https://unmhealth.org/providers/,text/html; charset=UTF-8,200,OK,Indexable,,Provider to Provider | Providers | UNM Health System,52,471,,0,0,,0,Provider to Provider,20,,0,Partners in Your Patient's Care,31,Top Referral Service Lines,26,,,,,,,,,,58179,374,5.293,1,,566,285,0,57.69,43,32,0,14,13,0,,,,,a9996571176074f0be350884cd9ec706,0.08,"Fri, 18 Jun 2021 20:23:48 GMT",,,,1.1,https://unmhealth.org/providers/,2022-02-04 11:14:06
15,https://unmhealth.org/locations/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,240,0,0.0,1,,765,275,0,55.67,0,0,0,0,0,0,,,,,,0.022,,https://unmhealth.org/locations/,HTTP Redirect,,1.1,https://unmhealth.org/locations/index.html,2022-02-04 11:14:06
16,https://unmhealth.org/services/behavioral-health/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,257,0,0.0,1,,37,14,0,2.83,0,0,0,0,0,0,,,,,,0.079,,https://unmhealth.org/services/behavioral-health/,HTTP Redirect,,1.1,https://unmhealth.org/services/behavioral-health/index.html,2022-02-04 11:14:06
19,https://unmhealth.org/services/bariatric/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,249,0,0.0,1,,29,11,0,2.23,0,0,0,0,0,0,,,,,,0.076,,https://unmhealth.org/services/bariatric/,HTTP Redirect,,1.1,https://unmhealth.org/services/bariatric/index.html,2022-02-04 11:14:06
20,https://unmhealth.org/services/orthopaedics/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,252,0,0.0,1,,41,18,0,3.64,0,0,0,0,0,0,,,,,,0.329,,https://unmhealth.org/services/orthopaedics/,HTTP Redirect,,1.1,https://unmhealth.org/services/orthopaedics/index.html,2022-02-04 11:14:06
