,Source,Target
0,https://www.uwhealth.org/,https://coronavirus.uwhealth.org/
1,https://www.uwhealth.org/,https://www.med.wisc.edu/
2,https://www.uwhealth.org/,https://careers.uwhealth.org/
3,https://www.uwhealth.org/,https://patient.uwhealth.org/
4,https://www.uwhealth.org/,https://mychart.uwhealth.org/
5,https://www.uwhealth.org/,https://mychart.uwhealth.org/
6,https://www.uwhealth.org/,https://patient.uwhealth.org/
7,https://www.uwhealth.org/,https://careers.uwhealth.org/
8,https://www.uwhealth.org/,https://secure.uwhealth.org/giftshop/
9,https://www.uwhealth.org/,https://mychart.uwhealth.org/
10,https://www.uwhealth.org/,https://mychart.uwhealth.org/
11,https://www.uwhealth.org/,https://coronavirus.uwhealth.org/
12,https://www.uwhealth.org/,https://coronavirus.uwhealth.org/covid-19-vaccine/
13,https://www.uwhealth.org/,https://coronavirus.uwhealth.org/staying-healthy/
14,https://www.uwhealth.org/,https://coronavirus.uwhealth.org/patient-and-visitor-guidelines/
15,https://www.uwhealth.org/,https://www.facebook.com/uwhealth
16,https://www.uwhealth.org/,https://twitter.com/uwhealth
17,https://www.uwhealth.org/,https://www.instagram.com/uw_health/
18,https://www.uwhealth.org/,https://www.linkedin.com/company/uw-health
19,https://www.uwhealth.org/,https://mychart.uwhealth.org/
20,https://www.uwhealth.org/,https://www.med.wisc.edu/
21,https://www.uwhealth.org/,https://mychart.uwhealth.org/
22,https://www.uwhealth.org/,https://patient.uwhealth.org/
23,https://www.uwhealth.org/,https://careers.uwhealth.org/
24,https://www.uwhealth.org/,https://secure.uwhealth.org/giftshop/
25,https://www.uwhealth.org/,https://media.uwhealth.org/
26,https://www.uwhealth.org/,https://homeaccess.uwhealth.org/
27,https://www.uwhealth.org/medical-records,https://coronavirus.uwhealth.org/
28,https://www.uwhealth.org/medical-records,https://www.med.wisc.edu/
29,https://www.uwhealth.org/medical-records,https://careers.uwhealth.org/
30,https://www.uwhealth.org/medical-records,https://patient.uwhealth.org/
31,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
32,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
33,https://www.uwhealth.org/medical-records,https://patient.uwhealth.org/
34,https://www.uwhealth.org/medical-records,https://careers.uwhealth.org/
35,https://www.uwhealth.org/medical-records,https://secure.uwhealth.org/giftshop/
36,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
37,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/mychart/Authentication/Login?
38,https://www.uwhealth.org/medical-records,https://payportal.iodincorporated.com/
39,https://www.uwhealth.org/medical-records,https://www.usps.com/ship/first-class-mail.htm
40,https://www.uwhealth.org/medical-records,https://www.fedex.com/en-us/create-account.html
41,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
42,https://www.uwhealth.org/medical-records,https://www.facebook.com/uwhealth
43,https://www.uwhealth.org/medical-records,https://twitter.com/uwhealth
44,https://www.uwhealth.org/medical-records,https://www.instagram.com/uw_health/
45,https://www.uwhealth.org/medical-records,https://www.linkedin.com/company/uw-health
46,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
47,https://www.uwhealth.org/medical-records,https://www.med.wisc.edu/
48,https://www.uwhealth.org/medical-records,https://mychart.uwhealth.org/
49,https://www.uwhealth.org/medical-records,https://patient.uwhealth.org/
50,https://www.uwhealth.org/medical-records,https://careers.uwhealth.org/
