,Source,Target
0,https://health.universityofcalifornia.edu/,https://clinicaltrials.ucbraid.org/
1,https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/
2,https://health.universityofcalifornia.edu/,https://twitter.com/UofCahealth
3,https://health.universityofcalifornia.edu/,https://twitter.com/UofCahealth
4,https://health.universityofcalifornia.edu/,https://www.universityofcalifornia.edu/
5,https://health.universityofcalifornia.edu/,https://www.ucop.edu/
6,https://health.universityofcalifornia.edu/,https://regents.universityofcalifornia.edu/
7,https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/
8,https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/centers-of-expertise/planetary-health
9,https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/centers-of-expertise/womens-health-gender-and-empowerment
10,https://health.universityofcalifornia.edu/,https://ucnet.universityofcalifornia.edu/
11,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://clinicaltrials.ucbraid.org/
12,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/
13,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
14,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
15,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
16,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
17,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
18,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
19,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/refer-a-patient/
20,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/make-an-appointment/
21,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://twitter.com/UofCahealth
22,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.universityofcalifornia.edu/
23,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucop.edu/
24,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://regents.universityofcalifornia.edu/
25,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/
26,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/centers-of-expertise/planetary-health
27,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/centers-of-expertise/womens-health-gender-and-empowerment
28,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucnet.universityofcalifornia.edu/
29,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://clinicaltrials.ucbraid.org/
30,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://ucghi.universityofcalifornia.edu/
31,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
32,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
33,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
34,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
35,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
36,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
37,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
38,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
39,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
40,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/aboutus/quality/quality_safety.html
41,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/childrens-health/
42,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/referrals/
43,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/contactus/
44,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://www.facebook.com/UCDavisHealth
45,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://twitter.com/UCDavisHealth
46,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://www.instagram.com/ucdavishealth
47,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://www.youtube.com/ucdavishealth
48,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://twitter.com/UofCahealth
49,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://www.universityofcalifornia.edu/
50,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://www.ucop.edu/
51,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://regents.universityofcalifornia.edu/
52,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://ucghi.universityofcalifornia.edu/
53,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://ucghi.universityofcalifornia.edu/centers-of-expertise/planetary-health
