,Source,Target
0,https://health.universityofcalifornia.edu/,https://health.universityofcalifornia.edu/
1,https://health.universityofcalifornia.edu/,https://health.universityofcalifornia.edu/
2,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://health.universityofcalifornia.edu/
3,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.universityofcalifornia.edu/
4,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health,https://health.universityofcalifornia.edu/
5,https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium,https://health.universityofcalifornia.edu/
6,https://health.universityofcalifornia.edu/patient-care/milk-bank,https://health.universityofcalifornia.edu/
7,https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children,https://health.universityofcalifornia.edu/
8,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health,https://health.universityofcalifornia.edu/
9,https://health.universityofcalifornia.edu/contact-us,https://health.universityofcalifornia.edu/
10,https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits,https://health.universityofcalifornia.edu/
11,https://health.universityofcalifornia.edu/research,https://health.universityofcalifornia.edu/
12,https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities,https://health.universityofcalifornia.edu/
13,https://health.universityofcalifornia.edu/patient-care,https://health.universityofcalifornia.edu/
14,https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0,https://health.universityofcalifornia.edu/
15,https://health.universityofcalifornia.edu/news,https://health.universityofcalifornia.edu/
16,https://health.universityofcalifornia.edu/education/dentistry,https://health.universityofcalifornia.edu/
17,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health,https://health.universityofcalifornia.edu/
18,https://health.universityofcalifornia.edu/education/public-health,https://health.universityofcalifornia.edu/
19,https://health.universityofcalifornia.edu/about-us/administration-leadership,https://health.universityofcalifornia.edu/
20,https://health.universityofcalifornia.edu/education/medicine,https://health.universityofcalifornia.edu/
21,https://health.universityofcalifornia.edu/about-us,https://health.universityofcalifornia.edu/
22,https://health.universityofcalifornia.edu/research/clinical-trials,https://health.universityofcalifornia.edu/
23,https://health.universityofcalifornia.edu/news/system,https://health.universityofcalifornia.edu/
24,https://health.universityofcalifornia.edu/education,https://health.universityofcalifornia.edu/
25,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences,https://health.universityofcalifornia.edu/
26,https://health.universityofcalifornia.edu/news/covid-vaccine-came-out-super-quickly-heres-why-its-safe,https://health.universityofcalifornia.edu/
27,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences/building-equity-medical-school-curriculum,https://health.universityofcalifornia.edu/
28,https://health.universityofcalifornia.edu/education/pharmacy,https://health.universityofcalifornia.edu/
29,https://health.universityofcalifornia.edu/accessibility,https://health.universityofcalifornia.edu/
30,https://health.universityofcalifornia.edu/careers,https://health.universityofcalifornia.edu/
31,https://health.universityofcalifornia.edu/patient-care/academic-health-centers,https://health.universityofcalifornia.edu/
32,https://health.universityofcalifornia.edu/news/uc-braid-grants-support-work-toward-better-health-equity-covid-19-translational-research,https://health.universityofcalifornia.edu/
33,https://health.universityofcalifornia.edu/dashboards,https://health.universityofcalifornia.edu/
34,https://health.universityofcalifornia.edu/about-us/mission-vision-values,https://health.universityofcalifornia.edu/
35,https://health.universityofcalifornia.edu/education/optometry,https://health.universityofcalifornia.edu/
36,https://health.universityofcalifornia.edu/education/nursing,https://health.universityofcalifornia.edu/
37,https://health.universityofcalifornia.edu/reports,https://health.universityofcalifornia.edu/
38,https://health.universityofcalifornia.edu/behind-fight-against-covid-19,https://health.universityofcalifornia.edu/
39,https://health.universityofcalifornia.edu/terms-and-conditions-use,https://health.universityofcalifornia.edu/
40,https://health.universityofcalifornia.edu/research/areas-research-collaboration,https://health.universityofcalifornia.edu/
41,https://health.universityofcalifornia.edu/nondiscrimination-policy,https://health.universityofcalifornia.edu/
42,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucla-health,https://health.universityofcalifornia.edu/
43,https://health.universityofcalifornia.edu/refer-patient,https://health.universityofcalifornia.edu/
44,https://health.universityofcalifornia.edu/patient-care/cancer-consortium,https://health.universityofcalifornia.edu/
45,https://health.universityofcalifornia.edu/patient-care/childrens-hospitals,https://health.universityofcalifornia.edu/
46,https://health.universityofcalifornia.edu/about-us/fighting-covid-19,https://health.universityofcalifornia.edu/
47,https://health.universityofcalifornia.edu/about-us/social-media,https://health.universityofcalifornia.edu/
48,https://health.universityofcalifornia.edu/education/veterinary-medicine,https://health.universityofcalifornia.edu/
49,https://health.universityofcalifornia.edu/research/clinical-trials/what-are-clinical-trials-and-how-do-they-work,https://health.universityofcalifornia.edu/
50,https://health.universityofcalifornia.edu/dashboards/university-california-health-community-benefits-fy-2019-2020,https://health.universityofcalifornia.edu/
51,https://health.universityofcalifornia.edu/about-us/our-commitment-medi-cal,https://health.universityofcalifornia.edu/
52,https://health.universityofcalifornia.edu/news/push-inoculate-against-vaccine-disparities,https://health.universityofcalifornia.edu/
