,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://health.universityofcalifornia.edu/,text/html; charset=UTF-8,200,OK,Indexable,,University of California Health,31,261,"As an institution devoted to public service, University of California Health fosters compassion, inclusion, innovation and excellence—always keeping health access and equity in mind.",182,1127,,0,University of California Health,31,We are California.,18,Improving Lives,15,,,,https://health.universityofcalifornia.edu/,,,,,,58812,731,10.534,0,,154,151,0,98.69,95,50,0,11,9,0,,,,,d7b7336feb00c7c78ec460193fee1941,0.153,,,,,1.1,https://health.universityofcalifornia.edu/,2022-02-04 10:27:51
2,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,text/html; charset=UTF-8,200,OK,Indexable,,UCR Health | University of California Health,44,384,"UCR Health physicians and researchers exchange research, data and best practices across University of California Health.",120,765,,0,UCR Health,10,About UCR Health,16,,0,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,,,,,,39601,434,9.876,1,,309,151,0,98.69,70,42,0,18,13,0,,,,,bc5c52bf3e5022d7692ccc4cc2ff98b3,0.129,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,2022-02-04 10:27:51
3,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,text/html; charset=UTF-8,200,OK,Indexable,,UC Davis Health | University of California Health,49,425,"As an academic medical center, UC Davis Health physicians and researchers exchange research, data and best practices across University of California Health.",156,997,,0,UC Davis Health,15,About UC Davis Health,21,Among the Top U.S. Hospitals,28,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,,,,,,47840,702,11.843,1,,312,151,0,98.69,75,42,0,27,20,0,,,,,c0d1d0529af92502fa75ec60218fbf96,0.185,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,2022-02-04 10:27:51
4,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health,text/html; charset=UTF-8,200,OK,Indexable,,UC San Diego Health | University of California Health,53,467,"As an academic medical center, UC San Diego Health physicians and researchers exchange research, data and best practices across University of California Health.",160,1027,,0,UC San Diego Health,19,About UC San Diego Health,25,Among the Top U.S. Hospitals,28,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health,,,,,,45124,718,12.451,1,,311,151,0,98.69,75,42,0,26,19,0,,,,,7cf293395737c4d245a298c29268000c,0.208,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health,2022-02-04 10:27:51
5,https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium,text/html; charset=UTF-8,200,OK,Indexable,,Cardiac Surgery Consortium | University of California Health,60,529,"At University of California Health, cardiac surgeons at five highly ranked hospitals share data and expertise to improve patient outcomes for heart surgery.",156,954,,0,University of California Cardiac Surgery Consortium,51,Our Cardiothoracic Surgery Expertise,36,Our Cardiac Surgery Centers,27,,,,https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium,,,,,,46202,1066,17.63,1,,311,151,0,98.69,71,43,0,40,33,0,,,,,6f5810a4f44c6c56245aaf7d3e40d27e,0.191,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium,2022-02-04 10:27:51
6,https://health.universityofcalifornia.edu/patient-care/milk-bank,text/html; charset=UTF-8,200,OK,Indexable,,Milk Bank | University of California Health,43,364,"The University of California Health Milk Bank supports NICUs and families by providing safe, pasteurized, donated human milk to help newborns thrive.",149,926,,0,University of California Health Milk Bank,41,Collaborating to Improve Patient Outcomes,41,,0,,,,https://health.universityofcalifornia.edu/patient-care/milk-bank,,,,,,38519,534,11.572,1,,155,151,0,98.69,69,42,0,12,11,0,,,,,7288de25d23120bbcacda55f6fc4851a,0.151,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/milk-bank,2022-02-04 10:27:52
8,https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children,text/html; charset=UTF-8,200,OK,Indexable,,University of California Health supports CDC recommendation on COVID-19 vaccine for children | University of California Health,126,1123,,0,0,,0,University of California Health supports CDC recommendation on COVID-19 vaccine for children,92,,0,,0,,,,https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children,,,,,,38901,599,13.964,1,,5,5,0,3.27,70,43,0,15,14,0,,,,,21480f41e43f3efa9d5ede1a51e227be,0.134,,,,,1.1,https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children,2022-02-04 10:27:52
9,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health,text/html; charset=UTF-8,200,OK,Indexable,,UCI Health | University of California Health,44,374,"As an academic medical center, UCI Health physicians and researchers exchange research, data and best practices across the University of California Health.",155,985,,0,UCI Health,10,About UCI Health,16,Among the Top U.S. Hospitals,28,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health,,,,,,43604,608,11.591,1,,311,151,0,98.69,72,42,0,22,15,0,,,,,5593c5d0b91d2aeb5f5a9982653d30d1,0.137,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health,2022-02-04 10:27:52
10,https://health.universityofcalifornia.edu/contact-us,text/html; charset=UTF-8,200,OK,Indexable,,Contact Us | University of California Health,44,375,,0,0,,0,Contact Us,10,Interior Menu,13,Interior Menu,13,,,,https://health.universityofcalifornia.edu/contact-us,,,,,,37133,228,7.294,1,,156,151,0,98.69,74,44,0,27,26,0,,,,,7d8dae7d0df6374cb73e0baf58284092,0.167,,,,,1.1,https://health.universityofcalifornia.edu/contact-us,2022-02-04 10:27:52
11,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-06/ucsd_surge_tent_750.jpg?h=9e499333&itok=t-oZ21rk,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,99983,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.298,"Wed, 03 Nov 2021 15:39:08 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-06/ucsd_surge_tent_750.jpg?h=9e499333&itok=t-oZ21rk,2022-02-04 10:27:52
