,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://uoflhospital.org/,text/html; charset=UTF-8,200,OK,Indexable,,Home | University of Louisville Hospital,40,343,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,42343,568,11.202,0,,531,201,0,100.0,77,47,0,7,7,0,,,,,75b01847521fa801c65562a316d1d778,0.047,"Tue, 01 Feb 2022 16:09:25 GMT",,,,1.1,https://uoflhospital.org/,2022-02-04 10:03:45
1,https://uoflhospital.org/phone-numbers,text/html; charset=UTF-8,200,OK,Indexable,,Phone Numbers | University of Louisville Hospital,49,435,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,40497,224,9.24,1,,299,194,0,96.52,102,41,0,8,7,0,,,,,e7d08c100c8fcb2ae0e846c701c15533,0.05,"Fri, 14 Jan 2022 18:21:59 GMT",,,,1.1,https://uoflhospital.org/phone-numbers,2022-02-04 10:03:45
2,https://uoflhospital.org/information-patients-and-visitors,text/html; charset=UTF-8,200,OK,Indexable,,Information for Patients and Visitors | University of Louisville Hospital,73,602,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,57381,1108,15.373,1,,297,194,0,96.52,113,74,0,10,9,0,,,,,542cc57dbfe9d1d5a0dfbcb1198b3daf,0.144,"Fri, 14 Jan 2022 18:55:26 GMT",,,,1.1,https://uoflhospital.org/information-patients-and-visitors,2022-02-04 10:03:45
3,https://uoflhospital.org/careers,text/html; charset=UTF-8,200,OK,Indexable,,Careers | University of Louisville Hospital,43,361,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,41820,386,10.534,1,,500,201,0,100.0,103,42,0,10,8,0,,,,,8c7ad5f6e22eccd1274f451b64771fd1,0.047,"Fri, 14 Jan 2022 18:22:16 GMT",,,,1.1,https://uoflhospital.org/careers,2022-02-04 10:03:45
4,https://uoflhospital.org/area-lodging,text/html; charset=UTF-8,200,OK,Indexable,,Area Lodging | University of Louisville Hospital,48,409,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,49932,538,9.482,1,,290,195,0,97.01,67,37,0,7,7,0,,,,,8cd4f7ebbe401cab4ec4a6da45fdf4c4,0.046,"Tue, 01 Feb 2022 16:51:24 GMT",,,,1.1,https://uoflhospital.org/area-lodging,2022-02-04 10:03:45
5,https://uoflhospital.org/news/uofl-physicians-lead-participation-pact-clinical-trial,text/html; charset=UTF-8,200,OK,Indexable,,University of Louisville Hospital,33,275,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,https://uoflhospital.org/news/uofl-physicians-lead-participation-pact-clinical-trial,,,,,,38961,227,8.859,1,,19,7,0,3.48,103,42,0,9,8,0,,,,,1f301160ec89436cab47363fff24b2b5,0.136,"Fri, 14 Jan 2022 19:58:19 GMT",,,,1.1,https://uoflhospital.org/news/uofl-physicians-lead-participation-pact-clinical-trial,2022-02-04 10:03:45
6,https://uoflhospital.org/notice-nondiscrimination-policy,text/html; charset=UTF-8,200,OK,Indexable,,Notice of the Nondiscrimination Policy | University of Louisville Hospital,74,624,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,43526,572,14.275,1,,210,200,0,99.5,101,42,0,10,9,0,,,,,6b82b25506731a0428bbdb6ebb7c9d9e,0.048,"Fri, 14 Jan 2022 22:27:41 GMT",,,,1.1,https://uoflhospital.org/notice-nondiscrimination-policy,2022-02-04 10:03:45
7,https://uoflhospital.org/directions,text/html; charset=UTF-8,200,OK,Indexable,,Directions | University of Louisville Hospital,46,379,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,53786,1390,18.177,1,,856,194,0,96.52,109,42,0,8,7,0,,,,,e7c646f733daf9250ad06f0f25003604,0.047,"Fri, 14 Jan 2022 18:32:53 GMT",,,,1.1,https://uoflhospital.org/directions,2022-02-04 10:03:45
8,https://uoflhospital.org/myhealthnow,text/html; charset=UTF-8,200,OK,Indexable,,MyHealthNow | University of Louisville Hospital,47,414,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,,,,,,,44452,659,13.718,1,,331,201,0,100.0,102,41,0,12,11,0,,,,,2161a35f97c280935b61e18c8d5b0606,0.046,"Fri, 14 Jan 2022 18:48:18 GMT",,,,1.1,https://uoflhospital.org/myhealthnow,2022-02-04 10:03:46
9,https://uoflhospital.org/sites/default/files/styles/medium/public/2019-11/UofL%20Health%20Social%20Media.jpg?itok=vUscljmN,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,4046,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.038,"Fri, 01 Nov 2019 16:45:13 GMT",,,,1.1,https://uoflhospital.org/sites/default/files/styles/medium/public/2019-11/UofL%20Health%20Social%20Media.jpg?itok=vUscljmN,2022-02-04 10:03:46
10,https://uoflhospital.org/sites/default/files/styles/medium/public/2021-05/Schlater%20family-c350.jpg?itok=iLvfzVF3,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,12509,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.04,"Fri, 07 May 2021 18:17:20 GMT",,,,1.1,https://uoflhospital.org/sites/default/files/styles/medium/public/2021-05/Schlater%20family-c350.jpg?itok=iLvfzVF3,2022-02-04 10:03:46
11,https://uoflhospital.org/news/story-hope-one-mans-journey-overcoming-addiction,text/html; charset=UTF-8,200,OK,Indexable,,University of Louisville Hospital,33,275,,0,0,,0,,0,,0,Header Top,10,Search,6,,,,https://uoflhospital.org/news/story-hope-one-mans-journey-overcoming-addiction,,,,,,45070,1177,18.188,1,,19,7,0,3.48,103,42,0,8,7,0,,,,,adc804b910f38b54fa0ae8dfc1453d5b,0.046,"Fri, 14 Jan 2022 19:58:01 GMT",,,,1.1,https://uoflhospital.org/news/story-hope-one-mans-journey-overcoming-addiction,2022-02-04 10:03:46
12,https://uoflhospital.org/sites/default/files/styles/medium/public/2020-02/pact-clincial-trial.jpg?itok=rQgTv7ns,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,13678,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.038,"Mon, 03 Feb 2020 15:27:33 GMT",,,,1.1,https://uoflhospital.org/sites/default/files/styles/medium/public/2020-02/pact-clincial-trial.jpg?itok=rQgTv7ns,2022-02-04 10:03:46
