,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Description 2,Meta Description 2 Length,Meta Description 2 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://healthcare.utah.edu/,text/html; charset=UTF-8,200,OK,Indexable,,University of Utah Health | University of Utah Health,53,455,"University of Utah Health is the Mountain West's only academic health care system, combining  patient care, the latest medical research, and teaching future providers. We have 5 hospitals, 12 community clinics, and several specialty centers, which provide care for Utahns and residents of five surrounding states.",313,1938,,0,0,,0,,0,,0,Let’s catch up soon.,20,World-Class Health Care in Your Neighborhood,44,"index,follow",,,,,,,,,33194,427,12.249,0,,1065,890,0,23.05,68,37,0,15,12,0,,,,,c67e0a9fc9a30fa2f1f0337d1280de67,0.084,,,,,1.1,https://healthcare.utah.edu/,2022-01-31 15:39:22
1,https://healthcare.utah.edu/find-a-location/,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,331,0,0.0,1,,8,6,0,0.16,0,0,0,0,0,0,,,,,,0.077,,https://healthcare.utah.edu/locations/,HTTP Redirect,,1.1,https://healthcare.utah.edu/find-a-location/,2022-01-31 15:39:22
2,https://healthcare.utah.edu/primarycare/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,332,0,0.0,1,,24,18,0,0.47,0,0,0,0,0,0,,,,,,0.356,,http://healthcare.utah.edu/primarycare/,HTTP Redirect,,1.1,https://healthcare.utah.edu/primarycare/index.php,2022-01-31 15:39:22
3,https://healthcare.utah.edu/hospital/customer-service/parking.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,340,0,0.0,1,,3802,3705,0,95.93,0,0,0,0,0,0,,,,,,0.356,,https://healthcare.utah.edu/locations/hospital/,HTTP Redirect,,1.1,https://healthcare.utah.edu/hospital/customer-service/parking.php,2022-01-31 15:39:22
4,https://healthcare.utah.edu/medical-services/,text/html; charset=UTF-8,200,OK,Indexable,,"Medical Services, University of Utah Hospitals & Clinics | University of Utah Health",84,724,"U of U Health provides a wide variety of medical services. Our specialties include cancer, eye care, orthopedics, primary care, dermatology, urgent care, women’s health, and more. If you require medical services be sure to use our useful keyword tool to find a convenient, nearby location.",289,1786,,0,0,,0,,0,,0,,0,,0,"index,follow",,,,,,,,,155011,1510,6.492,1,,3844,3707,0,95.99,482,338,0,14,12,0,,,,,9050bd582ef7337d185ddf49a5f8e241,0.438,,,,,1.1,https://healthcare.utah.edu/medical-services/,2022-01-31 15:39:22
5,https://healthcare.utah.edu/brand/,text/html; charset=UTF-8,200,OK,Indexable,,Get the Care You Need | University of Utah Health,49,440,"The University of Utah provides accessible, top quality healthcare to every corner of Utah.",91,559,,0,0,,0,,0,,0,Let’s catch up soon.,20,World-Class Health Care in Your Neighborhood,44,"index,follow",,,,,,,,,46117,706,12.614,1,,3951,3841,0,99.46,94,55,0,14,12,0,,,,,6290717c6b33d297e004b6dbde13e4f6,0.505,,,,,1.1,https://healthcare.utah.edu/brand/,2022-01-31 15:39:23
6,https://healthcare.utah.edu/hospital/,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,340,0,0.0,1,,3804,3707,0,95.99,0,0,0,0,0,0,,,,,,0.128,,https://healthcare.utah.edu/locations/hospital/,HTTP Redirect,,1.1,https://healthcare.utah.edu/hospital/,2022-01-31 15:39:23
7,https://healthcare.utah.edu/pediatrics/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,331,0,0.0,1,,3,3,0,0.08,0,0,0,0,0,0,,,,,,0.474,,http://healthcare.utah.edu/pediatrics/,HTTP Redirect,,1.1,https://healthcare.utah.edu/pediatrics/index.php,2022-01-31 15:39:23
9,https://healthcare.utah.edu/newsroom/,text/html; charset=UTF-8,200,OK,Indexable,,News Coverage | University of Utah Health,41,375,"The U of U Health is the Mountain West’s only academic health care system, combining patient care, research, and teaching. Our News Room highlights breakthroughs in research, conferences, and also useful information for patients and people interested in general health topics.",276,1730,,0,0,,0,News Coverage,13,,0,Press Releases,14,In The News,11,"index,follow",,,,,,,,,1068952,299,0.28,1,,3770,3723,0,96.4,51,35,0,20,19,0,,,,,9289d7159ea95f331f2aec916f087b77,0.493,,,,,1.1,https://healthcare.utah.edu/newsroom/,2022-01-31 15:39:22
10,https://healthcare.utah.edu/policies/,text/html; charset=UTF-8,200,OK,Indexable,,Policies | University of Utah Health,36,304,,0,0,,0,0,,0,Policies,8,,0,DNV GL Health Care INC. Public Information Policy Statement,59,,0,"index,follow",,,,,,,,,27498,142,8.778,1,,3733,3725,0,96.45,55,26,0,12,11,0,,,,,432554d848f21a3e7b646ce5eb6c6cc0,0.116,,,,,1.1,https://healthcare.utah.edu/policies/,2022-01-31 15:39:23
