,Source,Target
0,https://www.vcuhealth.org/,https://www.vcuhealth.org/
1,https://www.vcuhealth.org/,https://www.vcuhealth.org/
2,https://www.vcuhealth.org/,https://www.vcuhealth.org/
3,https://www.vcuhealth.org/,https://www.vcuhealth.org/
4,https://www.vcuhealth.org/,https://www.vcuhealth.org/
5,https://www.vcuhealth.org/,https://www.vcuhealth.org/
6,https://www.vcuhealth.org/,https://www.vcuhealth.org/
7,https://www.vcuhealth.org/,https://www.vcuhealth.org/
8,https://www.vcuhealth.org/,https://www.vcuhealth.org/
9,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/logo.png
15,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
16,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
17,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
18,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
19,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
20,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg
23,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/Instagram.svg
24,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/ic_dollar.svg
25,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/ic_business_center.svg
27,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/Facebook.svg
29,https://www.vcuhealth.org/,https://tags.w55c.net/rs?id=b19d68953f094cea802b19d4ffbf5481&t=homepage
31,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/times-icon.png
36,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/ic_person.svg
37,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/footer_logo2.png
38,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/footer_logo2.png
42,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/right-arrow.svg
43,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/right-arrow.svg
44,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/ic_date_range.svg
46,https://www.vcuhealth.org/,https://www.vcuhealth.org/-/media/media/featurednewsimages/coronavirus7_resized.ashx
47,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/Twitter.svg
51,https://www.vcuhealth.org/,https://www.vcuhealth.org/assets/_img/ic_contacts.svg
57,https://www.vcuhealth.org/,https://www.vcuhealth.org/-/media/media/featurednewsimages/school-of--nursing_resized.ashx
58,https://www.vcuhealth.org/,https://www.vcuhealth.org/-/media/media/featurednewsimages/keira-damatoresized.ashx
