,Source,Target
0,https://www.westernuhealth.com/,https://mychart.ochin.org/
1,https://www.westernuhealth.com/,https://mychart.ochin.org/mychart/
2,https://www.westernuhealth.com/,https://www.westernu.edu/
3,https://www.westernuhealth.com/,https://goo.gl/maps/zoBt9LmtXxs
4,https://www.westernuhealth.com/,https://goo.gl/maps/r9Xhsx1yz9J2
5,https://www.westernuhealth.com/,https://goo.gl/maps/m6UwT5sjUMo
6,https://www.westernuhealth.com/,https://goo.gl/maps/zkrXP3p26GN2
7,https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
8,https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
9,https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
10,https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
11,https://www.westernuhealth.com/patients/,https://mychart.ochin.org/
12,https://www.westernuhealth.com/patients/,https://goo.gl/maps/zoBt9LmtXxs
13,https://www.westernuhealth.com/patients/,https://goo.gl/maps/r9Xhsx1yz9J2
14,https://www.westernuhealth.com/patients/,https://goo.gl/maps/m6UwT5sjUMo
15,https://www.westernuhealth.com/patients/,https://goo.gl/maps/zkrXP3p26GN2
16,https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
17,https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
18,https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
19,https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
20,https://www.westernuhealth.com/locations/,https://mychart.ochin.org/
21,https://www.westernuhealth.com/locations/,"https://www.google.com/maps/place/309+E+2nd+St,+Pomona,+CA+91766/@34.0581487,-117.7496967,17z/data=!4m13!1m7!3m6!1s0x80c32dfabfe72e0f:0x9f1b6ccc192d3dba!2s309+E+2nd+St,+Pomona,+CA+91766!3b1!8m2!3d34.0581487!4d-117.747508!3m4!1s0x80c32dfabfe72e0f:0x9f1b6ccc192d3dba!8m2!3d34.0581487!4d-117.747508"
22,https://www.westernuhealth.com/locations/,https://goo.gl/maps/sqZrNNJXSSL2
23,https://www.westernuhealth.com/locations/,https://goo.gl/maps/zkrXP3p26GN2
24,https://www.westernuhealth.com/locations/,https://goo.gl/maps/M2TJ1X6gYS12
25,https://www.westernuhealth.com/locations/,https://goo.gl/maps/zoBt9LmtXxs
26,https://www.westernuhealth.com/locations/,https://goo.gl/maps/r9Xhsx1yz9J2
27,https://www.westernuhealth.com/locations/,https://goo.gl/maps/m6UwT5sjUMo
28,https://www.westernuhealth.com/locations/,https://goo.gl/maps/zkrXP3p26GN2
29,https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
30,https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
31,https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
32,https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
33,https://www.westernuhealth.com/wecaredental/,https://mychart.ochin.org/
34,https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/KX7XjnQsRQB2Cep8A
35,https://www.westernuhealth.com/wecaredental/,https://www.patientconnect365.com/Dentists/California/RanchoMirage/92270/We_Care_Dental_Western_U
36,https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/zoBt9LmtXxs
37,https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/r9Xhsx1yz9J2
38,https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/m6UwT5sjUMo
39,https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/zkrXP3p26GN2
40,https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
41,https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
42,https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
43,https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
44,https://www.westernuhealth.com/los-angeles/,https://mychart.ochin.org/
45,https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/r9Xhsx1yz9J2
46,https://www.westernuhealth.com/los-angeles/,https://mychart.ochin.org/mychart/
47,https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/zoBt9LmtXxs
48,https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/r9Xhsx1yz9J2
49,https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/m6UwT5sjUMo
50,https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/zkrXP3p26GN2
51,https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
52,https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
53,https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
54,https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
55,https://www.westernuhealth.com/providers/,https://mychart.ochin.org/
56,https://www.westernuhealth.com/providers/,https://goo.gl/maps/zoBt9LmtXxs
57,https://www.westernuhealth.com/providers/,https://goo.gl/maps/r9Xhsx1yz9J2
58,https://www.westernuhealth.com/providers/,https://goo.gl/maps/m6UwT5sjUMo
59,https://www.westernuhealth.com/providers/,https://goo.gl/maps/zkrXP3p26GN2
60,https://www.westernuhealth.com/providers/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
61,https://www.westernuhealth.com/providers/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
62,https://www.westernuhealth.com/providers/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
63,https://www.westernuhealth.com/providers/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
64,https://www.westernuhealth.com/services/,https://mychart.ochin.org/
65,https://www.westernuhealth.com/services/,https://goo.gl/maps/zoBt9LmtXxs
66,https://www.westernuhealth.com/services/,https://goo.gl/maps/r9Xhsx1yz9J2
67,https://www.westernuhealth.com/services/,https://goo.gl/maps/m6UwT5sjUMo
68,https://www.westernuhealth.com/services/,https://goo.gl/maps/zkrXP3p26GN2
69,https://www.westernuhealth.com/services/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
70,https://www.westernuhealth.com/services/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
71,https://www.westernuhealth.com/services/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
72,https://www.westernuhealth.com/services/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
73,https://www.westernuhealth.com/pomona/,https://mychart.ochin.org/
74,https://www.westernuhealth.com/pomona/,https://goo.gl/maps/zoBt9LmtXxs
75,https://www.westernuhealth.com/pomona/,https://mychart.ochin.org/mychart/
76,https://www.westernuhealth.com/pomona/,https://www.westernu.edu/
77,https://www.westernuhealth.com/pomona/,https://goo.gl/maps/zoBt9LmtXxs
78,https://www.westernuhealth.com/pomona/,https://goo.gl/maps/r9Xhsx1yz9J2
79,https://www.westernuhealth.com/pomona/,https://goo.gl/maps/m6UwT5sjUMo
80,https://www.westernuhealth.com/pomona/,https://goo.gl/maps/zkrXP3p26GN2
81,https://www.westernuhealth.com/pomona/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
82,https://www.westernuhealth.com/pomona/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
83,https://www.westernuhealth.com/pomona/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
84,https://www.westernuhealth.com/pomona/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
85,https://www.westernuhealth.com/about-us/,https://mychart.ochin.org/
86,https://www.westernuhealth.com/about-us/,https://goo.gl/maps/zoBt9LmtXxs
87,https://www.westernuhealth.com/about-us/,https://goo.gl/maps/r9Xhsx1yz9J2
88,https://www.westernuhealth.com/about-us/,https://goo.gl/maps/m6UwT5sjUMo
89,https://www.westernuhealth.com/about-us/,https://goo.gl/maps/zkrXP3p26GN2
90,https://www.westernuhealth.com/about-us/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
91,https://www.westernuhealth.com/about-us/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
92,https://www.westernuhealth.com/about-us/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
93,https://www.westernuhealth.com/about-us/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
94,https://www.westernuhealth.com/contact/,https://mychart.ochin.org/
95,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zoBt9LmtXxs
96,https://www.westernuhealth.com/contact/,https://goo.gl/maps/r9Xhsx1yz9J2
97,https://www.westernuhealth.com/contact/,https://goo.gl/maps/m6UwT5sjUMo
98,https://www.westernuhealth.com/contact/,https://www.westernu.edu/wecaredental/
99,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zkrXP3p26GN2
100,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zoBt9LmtXxs
101,https://www.westernuhealth.com/contact/,https://goo.gl/maps/r9Xhsx1yz9J2
102,https://www.westernuhealth.com/contact/,https://goo.gl/maps/m6UwT5sjUMo
103,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zkrXP3p26GN2
104,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zoBt9LmtXxs
105,https://www.westernuhealth.com/contact/,https://goo.gl/maps/r9Xhsx1yz9J2
106,https://www.westernuhealth.com/contact/,https://goo.gl/maps/m6UwT5sjUMo
107,https://www.westernuhealth.com/contact/,https://goo.gl/maps/zkrXP3p26GN2
108,https://www.westernuhealth.com/contact/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
109,https://www.westernuhealth.com/contact/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
110,https://www.westernuhealth.com/contact/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
111,https://www.westernuhealth.com/contact/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
112,https://www.westernuhealth.com/services/pharmacy/,https://mychart.ochin.org/
113,https://www.westernuhealth.com/services/pharmacy/,https://goo.gl/maps/zoBt9LmtXxs
114,https://www.westernuhealth.com/services/pharmacy/,https://goo.gl/maps/zoBt9LmtXxs
115,https://www.westernuhealth.com/services/pharmacy/,https://goo.gl/maps/r9Xhsx1yz9J2
116,https://www.westernuhealth.com/services/pharmacy/,https://goo.gl/maps/m6UwT5sjUMo
117,https://www.westernuhealth.com/services/pharmacy/,https://goo.gl/maps/zkrXP3p26GN2
118,https://www.westernuhealth.com/services/pharmacy/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
119,https://www.westernuhealth.com/services/pharmacy/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
120,https://www.westernuhealth.com/services/pharmacy/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
121,https://www.westernuhealth.com/services/pharmacy/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
122,https://www.westernuhealth.com/services/dental/,https://mychart.ochin.org/
123,https://www.westernuhealth.com/services/dental/,http://ws.westernu.edu/WesternU-News/pcc-forms/pcc-dental-forms-071717/English/Adult-English.pdf
124,https://www.westernuhealth.com/services/dental/,http://ws.westernu.edu/WesternU-News/pcc-forms/pcc-dental-forms-071717/English/Child-English.pdf
125,https://www.westernuhealth.com/services/dental/,https://goo.gl/maps/zoBt9LmtXxs
126,https://www.westernuhealth.com/services/dental/,https://goo.gl/maps/r9Xhsx1yz9J2
127,https://www.westernuhealth.com/services/dental/,https://goo.gl/maps/m6UwT5sjUMo
128,https://www.westernuhealth.com/services/dental/,https://goo.gl/maps/zkrXP3p26GN2
129,https://www.westernuhealth.com/services/dental/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
130,https://www.westernuhealth.com/services/dental/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
131,https://www.westernuhealth.com/services/dental/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
132,https://www.westernuhealth.com/services/dental/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
133,https://www.westernuhealth.com/covid-19-vaccination/,https://mychart.ochin.org/
