,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,Search 1: bridge clinic,URL Encoded Address,Crawl Timestamp
0,https://www.westernuhealth.com/,text/html; charset=UTF-8,200,OK,Indexable,,WesternU Health,15,152,,0,0,,0,WesternU Health Vaccine Clinic,30,WesternU Specialized Services,29,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/,,,,,,114317,374,2.615,0,,125,48,0,100.0,64,21,0,11,11,0,,,,,f6f61b07843ae7e5d35bb4d16a7ff527,0.539,,,,,1.1,0,https://www.westernuhealth.com/,2021-11-29 14:31:53
6,https://www.westernuhealth.com/wp-content/uploads/images/come-as-u-are.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,78860,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.47,"Tue, 23 Feb 2021 23:52:03 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/come-as-u-are.jpg,2021-11-29 14:31:54
9,https://www.westernuhealth.com/patients/,text/html; charset=UTF-8,200,OK,Indexable,,Patients | WesternU Health,26,239,,0,0,,0,Patients,8,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/patients/,,,,,,109000,920,5.555,1,,63,17,0,35.42,103,43,0,9,9,0,,,,,48c10c319c41f3f310d09dcb7ebabf79,0.871,,,,,1.1,0,https://www.westernuhealth.com/patients/,2021-11-29 14:31:55
10,https://www.westernuhealth.com/locations/,text/html; charset=UTF-8,200,OK,Indexable,,Locations | WesternU Health,27,253,,0,0,,0,Locations,9,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/locations/,,,,,,94727,172,1.818,1,,61,17,0,35.42,49,17,0,13,12,0,,,,,976cbc98faddfd6caad5cb86f1506d86,1.082,,,,,1.1,0,https://www.westernuhealth.com/locations/,2021-11-29 14:31:55
16,https://www.westernuhealth.com/wecaredental/,text/html; charset=UTF-8,200,OK,Indexable,,We Care Dental,14,141,,0,0,,0,We Care Dental,14,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/wecaredental/,,,,,,76224,352,3.535,1,,60,21,0,43.75,20,5,0,11,11,0,,,,,12785c0f338b877936f4d3932d11f335,1.036,,,,,1.1,0,https://www.westernuhealth.com/wecaredental/,2021-11-29 14:31:56
18,https://www.westernuhealth.com/los-angeles/,text/html; charset=UTF-8,200,OK,Indexable,,WesternU Health Los Angeles,27,266,,0,0,,0,Eye Care Institute,18,Together for your health,24,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/los-angeles/,,,,,,78549,183,2.194,1,,39,9,0,18.75,32,8,0,11,10,0,,,,,cfcd56525ee2378adcc3b4a569f171b5,0.771,,,,,1.1,0,https://www.westernuhealth.com/los-angeles/,2021-11-29 14:31:57
21,https://www.westernuhealth.com/providers/,text/html; charset=UTF-8,200,OK,Indexable,,Providers | WesternU Health,27,252,,0,0,,0,Providers,9,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/providers/,,,,,,79656,712,6.255,1,,45,17,0,35.42,57,25,0,9,9,0,,,,,6f88b09854a96d09d6e14ec56788162a,1.007,,,,,1.1,0,https://www.westernuhealth.com/providers/,2021-11-29 14:31:57
22,https://www.westernuhealth.com/services/,text/html; charset=UTF-8,200,OK,Indexable,,Services | WesternU Health,26,244,,0,0,,0,Services,8,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/,,,,,,91504,377,3.451,1,,52,17,0,35.42,57,20,0,9,9,0,,,,,3740ad168b85f42b0a2a01ff8d6e14b8,0.551,,,,,1.1,0,https://www.westernuhealth.com/services/,2021-11-29 14:31:57
28,https://www.westernuhealth.com/pomona,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,35,17,0,35.42,0,0,0,0,0,0,,,,,,0.508,,https://www.westernuhealth.com/pomona/,HTTP Redirect,,1.1,0,https://www.westernuhealth.com/pomona,2021-11-29 14:31:58
30,https://www.westernuhealth.com/wp-content/plugins/revslider/public/assets/assets/dummy.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,68,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.529,"Tue, 19 Oct 2021 20:04:14 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/plugins/revslider/public/assets/assets/dummy.png,2021-11-29 14:31:58
