,Source,Target
0,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/Vaccine/get-your-covid-vaccine
1,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/testing/testing-locations
2,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/Visiting
3,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/patient-care/Patient-Information
4,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19
5,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/Outpatient-Pharmacy-Services
6,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/urgent-care
7,https://www.ynhh.org/,https://www.ynhhs.org/policies
8,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
9,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/billing-insurance/Resources
10,https://www.ynhh.org/,https://www.ynhhs.org/about/diversity-and-inclusion
11,https://www.ynhh.org/,https://www.givetoynhh.org/
12,https://www.ynhh.org/,https://www.ynhhs.org/news-media/voice-apps
13,https://www.ynhh.org/,https://mychart.ynhhs.org/
14,https://www.ynhh.org/,https://mychart.ynhhs.org/
15,https://www.ynhh.org/,https://mychart.ynhhs.org/
16,https://www.ynhh.org/,https://mychart.ynhhs.org/
17,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/en-US/MyChartApp.html
18,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
19,https://www.ynhh.org/,https://www.ynhhs.org/online-tools/Request-Medical-Records
20,https://www.ynhh.org/,http://portal.ynhh.org/
21,https://www.ynhh.org/,https://www.ynhhs.org/
22,https://www.ynhh.org/,https://www.bridgeporthospital.org/
23,https://www.ynhh.org/,https://www.greenwichhospital.org/
24,https://www.ynhh.org/,https://www.lmhospital.org/
25,https://www.ynhh.org/,https://www.westerlyhospital.org/
26,https://www.ynhh.org/,https://www.northeastmedicalgroup.org/
27,https://www.ynhh.org/,https://www.ynhhs.org/get-care-now
28,https://www.ynhh.org/,https://www.givetoynhh.org/
29,https://www.ynhh.org/,https://mychart.ynhhs.org/
30,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
31,https://www.ynhh.org/,https://www.ynhhs.org/
32,https://www.ynhh.org/,https://www.bridgeporthospital.org/
33,https://www.ynhh.org/,https://www.greenwichhospital.org/
34,https://www.ynhh.org/,https://www.lmhospital.org/
35,https://www.ynhh.org/,https://www.westerlyhospital.org/
36,https://www.ynhh.org/,https://www.northeastmedicalgroup.org/
37,https://www.ynhh.org/,https://www.ynhhs.org/get-care-now
38,https://www.ynhh.org/,https://www.givetoynhh.org/
39,https://www.ynhh.org/,https://mychart.ynhhs.org/
40,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
41,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/Outpatient-Pharmacy-Services
42,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/urgent-care
43,https://www.ynhh.org/,https://www.ynhhs.org/policies
44,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
45,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/billing-insurance/Resources
46,https://www.ynhh.org/,https://www.ynhhs.org/about/diversity-and-inclusion
47,https://www.ynhh.org/,https://www.givetoynhh.org/
48,https://www.ynhh.org/,https://www.ynhhs.org/news-media/voice-apps
49,https://www.ynhh.org/,https://mychart.ynhhs.org/
50,https://www.ynhh.org/,https://mychart.ynhhs.org/
51,https://www.ynhh.org/,https://mychart.ynhhs.org/
52,https://www.ynhh.org/,https://mychart.ynhhs.org/
53,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/en-US/MyChartApp.html
54,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/
55,https://www.ynhh.org/,https://www.ynhhs.org/online-tools/Request-Medical-Records
56,https://www.ynhh.org/,http://portal.ynhh.org/
57,https://www.ynhh.org/,https://www.givetoynhh.org/
58,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/Authentication/Login?
59,https://www.ynhh.org/,https://www.givetoynhh.org/
60,https://www.ynhh.org/,https://mychart.ynhhs.org/MyChart-PRD/Authentication/Login?
61,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/Vaccine/get-your-covid-vaccine
62,https://www.ynhh.org/,https://www.ynhhs.org/patient-care/covid-19/Vaccine/vaccine-faq
63,https://www.ynhh.org/,https://www.ynhhs.org/
64,https://www.ynhh.org/,https://www.bridgeporthospital.org/
65,https://www.ynhh.org/,https://www.greenwichhospital.org/
66,https://www.ynhh.org/,https://www.lmhospital.org/
