,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,Search 1: bridge clinic,URL Encoded Address,Crawl Timestamp
0,https://www.ynhh.org/,text/html; charset=utf-8,200,OK,Indexable,,Yale New Haven Hospital - A Connecticut Hospital,48,441,"Nationally recognized for our commitment to teaching and clinical research, we provide comprehensive care in more than 100 specialty areas.",139,878,,0,Welcome to Yale New Haven Hospital,34,,0,COVID-19 Vaccine: Ages 5-11,27,Nationally Recognized,21,,,,https://www.ynhh.org/,,,,,,105285,963,8.544,0,,1676,319,0,99.69,186,67,0,84,33,0,,,,,8179da493a898283d59861e5e3644f7f,0.325,,,,,1.1,0,https://www.ynhh.org/,2021-11-29 14:57:00
1,https://www.ynhh.org/-/media/Images/Heros/ynhh/ynhch/YNHCH_Badge_hero_bgd.ashx?mh=450&mw=1440&hash=C9967CA770F2DE09C0E8147EF81DB3D3,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,487820,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.282,"Tue, 15 Jun 2021 11:52:09 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/ynhh/ynhch/YNHCH_Badge_hero_bgd.ashx?mh=450&mw=1440&hash=C9967CA770F2DE09C0E8147EF81DB3D3,2021-11-29 14:57:01
2,https://www.ynhh.org/-/media/Images/Heros/ynhh/YNHH_Badge_hero_bgd.ashx?mh=450&mw=1440&hash=9876C4D127B6AE86C0B22360FC837F6D,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,626957,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.289,"Mon, 26 Jul 2021 18:48:12 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/ynhh/YNHH_Badge_hero_bgd.ashx?mh=450&mw=1440&hash=9876C4D127B6AE86C0B22360FC837F6D,2021-11-29 14:57:01
3,https://www.ynhh.org/patients-visitors/parking,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Hospital | Parking,33,307,Where to find parking near Yale New Haven Hospital,50,326,"parking, ynhh, saint raphael campus, york street campus",55,Parking,7,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,84076,685,7.544,1,,546,268,0,83.75,191,68,0,83,34,0,,,,,485f1e56ab967d876acfc67c8c54f046,0.347,,,,,1.1,0,https://www.ynhh.org/patients-visitors/parking,2021-11-29 14:57:01
4,https://www.ynhh.org/patients-visitors/amenities,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Hospital Amenities - Yale New Haven Hospital,44,405,"Learn about all of the amenities offered by Yale New Haven Hospital, including dining, gift shops, and lodging",110,671,"hospital amenities, dining, lodging, patients, visitors",55,Hospital Amenities,18,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,86149,737,7.625,1,,598,285,0,89.06,197,71,0,80,32,0,,,,,7c9146bc2a05d487ced8a8f2084b6c26,0.486,,,,,1.1,0,https://www.ynhh.org/patients-visitors/amenities,2021-11-29 14:57:01
5,https://www.ynhh.org/news-media,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,News & Media - Yale New Haven Hospital,38,368,"Learn about News and Media at Yale New Haven Hospital, including upcoming events, recent news, and press releases",113,741,"news, media, events, videos, publications, patient stories",58,News & Media,12,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,87779,951,9.117,1,,674,319,0,99.69,187,72,0,90,37,0,,,,,431c7dcb6af23272e961ac417dcfd145,0.529,,,,,1.1,0,https://www.ynhh.org/news-media,2021-11-29 14:57:01
6,https://www.ynhh.org/services/heart-and-vascular,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,The Heart and Cardiovascular Center,35,329,Yale-New Haven Hospital offers nationally ranked expertise in heart and vascular specialties  — from noninvasive imaging to heart transplantation.,146,903,"heart, cardiology, cardiovascular, cardiac, heart conditions, best heart center, best heart surgery, top ranked",111,Heart & Vascular,16,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,91744,867,8.377,1,,512,235,0,73.44,209,91,0,81,33,0,,,,,567d72ed9b5a07cdd135e618429d6fd6,0.486,,,,,1.1,0,https://www.ynhh.org/services/heart-and-vascular,2021-11-29 14:57:01
8,https://www.ynhh.org/about,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,About Yale New Haven Hospital,29,280,"Yale New Haven Hospital provides comprehensive, multidisciplinary, family-focused care in more than 100 medical specialty areas",127,808,"about, overview, community, research",36,About Yale New Haven Hospital,29,,0,We Are Leading the Way,22,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,87731,937,9.342,1,,511,235,0,73.44,201,72,0,80,32,0,,,,,448ac37984e3691f751fdfa85c02c3b7,0.373,,,,,1.1,0,https://www.ynhh.org/about,2021-11-29 14:57:02
9,https://www.ynhh.org/Dist/img/donate-icon.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.287,"Mon, 15 Nov 2021 23:48:36 GMT",,,,1.1,0,https://www.ynhh.org/Dist/img/donate-icon.svg,2021-11-29 14:57:02
10,https://www.ynhh.org/patients-visitors/billing-insurance,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Billing & Insurance - Yale New Haven Hospital,45,406,"Understand your bill, learn about financial assistance, pricing estimates, and other frequently asked questions.",112,681,"billing, insurance, payment, bill, Pay Your Bill, bill pay, online bill pay, billing department, bills",102,Billing & Insurance,19,Billing & Insurance,19,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,86130,717,7.677,1,,651,312,0,97.5,180,68,0,85,34,0,,,,,7e8e0e121d384079b763a1f8c70dcf5e,0.394,,,,,1.1,0,https://www.ynhh.org/patients-visitors/billing-insurance,2021-11-29 14:57:02
11,https://www.ynhh.org/news-media/For-The-Media,text/html; charset=utf-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,624,312,0,97.5,0,0,0,0,0,0,,,,,,0.189,,https://www.ynhhs.org/news-media/for-the-media,HTTP Redirect,,1.1,0,https://www.ynhh.org/news-media/For-The-Media,2021-11-29 14:57:02
12,https://www.ynhh.org/-/media/Images/Heros/YNHHS/iStock1150170445_1200x628.ashx?mh=450&mw=1440&hash=0AA2800B7C17E1DD32B7A7E9AECEE856,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,253559,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.342,"Wed, 28 Oct 2020 13:41:40 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/YNHHS/iStock1150170445_1200x628.ashx?mh=450&mw=1440&hash=0AA2800B7C17E1DD32B7A7E9AECEE856,2021-11-29 14:57:02
13,https://www.ynhh.org/news-media/publications,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Publications at Yale New Haven Hospital,39,358,Read all publications and online newsletters at Yale New Haven Hospital,71,448,publications,12,Publications,12,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,91524,774,7.545,1,,494,237,0,74.06,185,71,0,90,37,0,,,,,947e5316ebdd8bcb49a4e69afd93a2fc,0.568,,,,,1.1,0,https://www.ynhh.org/news-media/publications,2021-11-29 14:57:02
14,https://www.ynhh.org/about/research-education,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Research & Education - Yale New Haven Hospital,46,438,"Learn about the ongoing research and clinical trials done at Yale New Haven Hospital, as well as education options offered",122,761,"research, education",19,Research and Education,22,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,93017,1104,10.059,1,,629,306,0,95.63,183,73,0,85,37,0,,,,,35c24e2c2671d2da3f78668518a8798e,0.429,,,,,1.1,0,https://www.ynhh.org/about/research-education,2021-11-29 14:57:03
15,https://www.ynhh.org/about/community/volunteers,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Volunteer Services - Yale New Haven Hospital,44,406,"Established in 1933, Yale New Haven Hospital has one of the oldest organized hospital volunteer programs in the country",119,750,"volunteer, volunteer services",29,Volunteer Services,18,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,87316,1062,10.011,1,,1263,315,0,98.44,184,69,0,82,33,0,,,,,80fcf1bce116b5e24003c31d2af7d2f8,0.44,,,,,1.1,0,https://www.ynhh.org/about/community/volunteers,2021-11-29 14:57:03
16,https://www.ynhh.org/about/hospital-overview/board-and-administration,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,"Board of Trustees, Officers and Administration - Yale New Haven Hospital",72,646,"A current leadership list for Yale New Haven Hospital, with Board of Trustees, senior management and vice presidents.",117,735,"board, administrative board, board of trustees, vice presidents",63,"Board of Trustees, Officers and Administration",46,,0,Board of Trustees and Officers,30,Senior Management,17,,,,https://www.ynhh.org/,,,,,,101401,1446,11.521,1,,635,312,0,97.5,183,68,0,80,32,0,,,,,2edd62a7583df9925ceeb8f04b6d4dfd,0.481,,,,,1.1,0,https://www.ynhh.org/about/hospital-overview/board-and-administration,2021-11-29 14:57:03
17,https://www.ynhh.org/find-a-location,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Hospital - Find a Location,41,376,,0,0,,0,Find a Location,15,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,96492,533,5.701,1,,4514,319,0,99.69,171,65,0,80,32,0,,,,,e12ef327cd885c212118c20d2434c8ab,0.664,,,,,1.1,0,https://www.ynhh.org/find-a-location,2021-11-29 14:57:03
18,https://www.ynhh.org/patients-visitors,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Patients and Visitors - Yale New Haven Hospital,47,421,Thank you for choosing Yale New Haven Hospital for your healthcare needs. We work hard every day to meet—and exceed—your needs and expectations,143,960,"patients and visitors, patient, visitors, hospital amenities, billing, admission, discharge",91,Patients and Visitors,21,,0,Why YNHH,8,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,89956,935,8.85,1,,999,235,0,73.44,211,67,0,84,33,0,,,,,6257478c1ec2bca30690937b70268cce,0.369,,,,,1.1,0,https://www.ynhh.org/patients-visitors,2021-11-29 14:57:04
19,https://www.ynhh.org/about/community/auxiliary,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Auxiliary - Yale New Haven Hospital,35,315,The Yale New Haven Hospital Auxiliary is a diverse and dynamic group of women and men who devote their precious free time to making a meaningful contribution,157,1003,"auxiliary, volunteers",21,Auxiliary,9,,0,Why Join?,9,Why Donate?,11,,,,https://www.ynhh.org/,,,,,,87096,985,9.495,1,,637,312,0,97.5,193,70,0,81,33,0,,,,,560a80552a9690d2b804180848e2764,0.407,,,,,1.1,0,https://www.ynhh.org/about/community/auxiliary,2021-11-29 14:57:04
20,https://www.ynhh.org/sitecore/content/Locations/ynhh-walking-maps,,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,525,262,0,81.88,0,0,0,0,0,0,,,,,,,,,,,None,0,https://www.ynhh.org/sitecore/content/Locations/ynhh-walking-maps,2021-11-29 14:57:04
21,https://www.ynhh.org/patients-visitors/billing-insurance/Understanding-Your-Bill,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | Understanding Your Bill,47,435,,0,0,,0,Understanding your bill,23,,0,How to read your bill,21,View sample monthly statement summary,37,,,,https://www.ynhh.org/,,,,,,85714,733,7.815,1,,638,312,0,97.5,188,71,0,87,35,0,,,,,263a35f7615b1acc110edc1ab1005659,0.55,,,,,1.1,0,https://www.ynhh.org/patients-visitors/billing-insurance/Understanding-Your-Bill,2021-11-29 14:57:04
22,https://www.ynhh.org/medical-professionals/gme,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Graduate Medical Education,26,250,Learn about Yale New Haven's world-renowned residency and fellowship programs,77,512,,0,Graduate Medical Education,26,,0,We Train Tomorrow’s Leaders in Medicine,39,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,85675,782,8.383,1,,672,312,0,97.5,192,73,0,81,33,0,,,,,79b5f9a4dd9df5a9652996c0f701e313,0.439,,,,,1.1,0,https://www.ynhh.org/medical-professionals/gme,2021-11-29 14:57:04
23,https://www.ynhh.org/-/media/Images/Heros/ynhh/2781_Brand_Campaign_Heroes_YNHHv3.ashx?mh=590&mw=1440&hash=8F4CEF73B821D9595F21EACE403D402B,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,649779,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.203,"Mon, 24 May 2021 20:27:56 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/ynhh/2781_Brand_Campaign_Heroes_YNHHv3.ashx?mh=590&mw=1440&hash=8F4CEF73B821D9595F21EACE403D402B,2021-11-29 14:57:05
24,https://www.ynhh.org/medical-professionals,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Medical Professionals - Yale New Haven Hospital,47,433,Learn more about our medical professionals and get information about education options at Yale New Haven Hospital,113,725,"medical professionals, graduate medical education, education, medical education",79,Medical Professionals,21,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,88720,920,9.293,1,,995,319,0,99.69,202,87,0,97,47,0,,,,,7a9eca5a6243561e97bda54d3ec876a9,0.527,,,,,1.1,0,https://www.ynhh.org/medical-professionals,2021-11-29 14:57:04
25,https://www.ynhh.org/tools,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Online Tools - Yale New Haven Hospital,38,353,,0,0,"MyChart, My Chart",17,Online Tools,12,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,85441,831,8.48,1,,947,235,0,73.44,176,67,0,88,34,0,,,,,1ba334c983c3e4c8e44d2c90164485f,0.35,,,,,1.1,0,https://www.ynhh.org/tools,2021-11-29 14:57:04
27,https://www.ynhh.org/news-media/patient-stories,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Patient Stories at Yale New Haven Hospital,42,378,Learn more about patients we have treated and why they believe Yale New Haven Hospital is one of the best,105,676,"patient stories, testamonials",29,Patient Stories,15,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,83281,608,7.124,1,,510,235,0,73.44,187,70,0,80,32,0,,,,,30fc310d9681120f3ef3be00f59c2f0d,0.503,,,,,1.1,0,https://www.ynhh.org/news-media/patient-stories,2021-11-29 14:57:05
29,https://www.ynhh.org/psychiatric,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Psychiatric Hospital - Ranked #9 in the Nation,61,556,"The wide range of psychiatric services provided by Yale New Haven Psychiatric Hospital and Yale New Haven Hospital, in affiliation with Yale School of Medicine's Department of Psychiatry, distinguish us as a world leader in clinical care, research and education.",262,1627,"yale new haven psychiatric hospital, best psychiatry hospital, top psychiatry hospital, top ranked, best psychiatrists, nationally ranked",137,Welcome to Yale New Haven Psychiatric Hospital,46,,0,Among the Best,14,A Continuum of Care,19,,,,https://www.ynhh.org/,,,,,,104240,832,7.561,1,,509,241,0,75.31,158,57,0,66,28,0,,,,,f0ca8342d51fef36739c3f5735ed4aff,0.48,,,,,1.1,0,https://www.ynhh.org/psychiatric,2021-11-29 14:57:05
31,https://www.ynhh.org/Dist/img/share-icon.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.177,"Mon, 15 Nov 2021 23:48:36 GMT",,,,1.1,0,https://www.ynhh.org/Dist/img/share-icon.svg,2021-11-29 14:57:06
33,https://www.ynhh.org/news/us-news-and-world-report-ranks-ynhh-among-the-top,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,U.S. News & World Report ranks Yale New Haven Hospital among the top on eight national specialties for 2021 “America’s Best Hospitals”,134,1214,"NEW HAVEN, CT (July 27, 2021) – Yale New Haven Hospital (YNHH) continues to rank among the top U.S. hospitals according to U.S. News & World Report’s annual “Best Hospitals” listing. Of the nearly 5,000 hospitals surveyed, YNHH ranks nationally in 8 of 16 specialties.",268,1703,"us news and world report, americas best hospitals, ynhh",55,U.S. News & World Report ranks Yale New Haven Hospital among the top on eight national specialties for 2021 “America’s Best Hospitals”,134,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,88115,1061,10.184,1,,261,248,0,77.5,188,75,0,81,33,0,,,,,fa8391fdfee62edfbc918cf1599a3780,0.35,,,,,1.1,0,https://www.ynhh.org/news/us-news-and-world-report-ranks-ynhh-among-the-top,2021-11-29 14:57:06
34,https://www.ynhh.org/services/transplantation,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,The Transplantation Center - Yale New Haven Hospital,52,483,"Yale New Haven Transplantation Center provides organ transplants for liver, kidney, and heart transplant candidates from all over the world. We are one of the nation's top transplant centers and have a thriving living organ donor program.",238,1467,"transplantation, transplant center, organ transplant, yale-new haven transplantation center",91,Transplantation,15,,0,Our Transplantation Services,28,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,88621,872,8.763,1,,496,236,0,73.75,193,75,0,81,33,0,,,,,5c1eba6712ae7805b08897ac7ee66213,0.354,,,,,1.1,0,https://www.ynhh.org/services/transplantation,2021-11-29 14:57:06
36,https://www.ynhh.org/news-media/news,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,News at Yale New Haven Hospital,31,299,Learn about recent news at Yale New Haven Hospital,50,332,"news, articles",14,In the News,11,In the News,11,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,93434,525,5.745,1,,479,235,0,73.44,169,65,0,80,32,0,,,,,21a107c834fcef433f9dd75953412e32,0.5,,,,,1.1,0,https://www.ynhh.org/news-media/news,2021-11-29 14:57:06
37,https://www.ynhh.org/careers,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Careers - Yale New Haven Hospital,33,311,"Learn about working at Yale New Haven Hospital, including benefits, career areas, other perks, and what job openings we have right now",134,847,"careers, jobs, medical professionals",36,Yale New Haven Hospital Careers,31,,0,Call us at 203-688-5083,23,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,43452,460,8.662,1,,1913,319,0,99.69,44,19,0,49,26,0,,,,,467568ab55e2780bf225cc73e14eccc5,0.272,,,,,1.1,0,https://www.ynhh.org/careers,2021-11-29 14:57:06
39,https://www.ynhh.org/services/support-services/spiritual-care,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Spiritual Care - Yale New Haven Hospital,40,361,"Spiritual Care staff work closely with other members of the healthcare team, offering spiritual care and support while you or your loved one are in Yale New Haven Hospital",171,1056,"spiritual care, support services",32,Spiritual Care,14,,0,When to call a chaplain,23,"Places for prayer, reflection or meditation",43,,,,https://www.ynhh.org/,,,,,,87230,1219,11.125,1,,477,235,0,73.44,175,66,0,80,32,0,,,,,34f4be83af7991a6466c6952e2bfb377,0.563,,,,,1.1,0,https://www.ynhh.org/services/support-services/spiritual-care,2021-11-29 14:57:06
40,https://www.ynhh.org/about/innovation-initiatives,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Innovation & Initiatives - Yale New Haven Hospital,50,437,Learn more about the innovations and initiatives at Yale New Haven Hospital,75,476,"innovation, initiatives",23,Innovation & Initiatives,24,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,82847,613,7.288,1,,637,312,0,97.5,178,67,0,80,32,0,,,,,c3712c740050cea89a9c4f49dc62d8c6,0.47,,,,,1.1,0,https://www.ynhh.org/about/innovation-initiatives,2021-11-29 14:57:07
41,https://www.ynhh.org/services/womens-health,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Women’s Health at Yale New Haven Hospital,41,397,"Our team of world-renowned experts uses the most advanced methods to prevent, diagnose and treat medical issues unique to women.",128,837,"women’s health, gynecology, gynecological services, women’s heart program, breast cancer, fetal care",100,Women's Health,14,,0,Urogynecology Conditions We Treat,33,Maternity Services,18,,,,https://www.ynhh.org/,,,,,,88937,993,9.478,1,,479,235,0,73.44,185,74,0,82,33,0,,,,,bc80f35f978900cb2a730e12bb808552,0.351,,,,,1.1,0,https://www.ynhh.org/services/womens-health,2021-11-29 14:57:07
42,https://www.ynhh.org/patients-visitors/billing-insurance/Financial-assistance,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Financial Assistance Programs - Yale New Haven Hospital,55,513,Yale New Haven Health understands that it can be difficult for some patients to afford paying their hospital bills. That is why we have a variety of financial assistance programs designed to help.,196,1191,"financial assistance, billing, insurance",40,Financial Assistance,20,Financial Assistance,20,Financial counseling,20,Financial Assistance for Physicians Providing Care Notice,57,,,,https://www.ynhh.org/,,,,,,100002,1291,10.984,1,,639,312,0,97.5,243,124,0,90,38,0,,,,,497ae6d148fe5e6052115d011700b7b0,0.465,,,,,1.1,0,https://www.ynhh.org/patients-visitors/billing-insurance/Financial-assistance,2021-11-29 14:57:07
43,https://www.ynhh.org/Dist/img/thumb.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.158,"Mon, 15 Nov 2021 23:48:36 GMT",,,,1.1,0,https://www.ynhh.org/Dist/img/thumb.svg,2021-11-29 14:57:07
44,https://www.ynhh.org/Dist/img/contrast-icon.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.244,"Mon, 15 Nov 2021 23:48:36 GMT",,,,1.1,0,https://www.ynhh.org/Dist/img/contrast-icon.svg,2021-11-29 14:57:08
45,https://www.ynhh.org/services/neurology-neurosurgery,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Neurology & Neurosurgery - Yale New Haven Hospital - Nationally Ranked,70,655,"The neurosciences program at Yale New Haven Hospital's brings state-of the-art resources and national expertise to treat brain and spine disorders. Our neurologists, neurosurgeons and vascular neurologists are nationally ranked for our Yale neurology and neurosurgery services.",277,1737,"neuroscience, neurology, neurosurgery, neurological conditions, stroke, brain disorders, spine disorders, best neurologists, top neurologists, best neurosurgeons, top ranked, nationally ranked",192,Neurology & Neurosurgery,24,,0,Leadership and Innovation ,26,Neurological Conditions,23,,,,https://www.ynhh.org/,,,,,,91023,892,8.628,1,,505,235,0,73.44,196,79,0,81,32,0,,,,,4dc2c3e83f10e4067d54334863b2cfbd,0.505,,,,,1.1,0,https://www.ynhh.org/services/neurology-neurosurgery,2021-11-29 14:57:07
46,https://www.ynhh.org/-/media/Images/US-News-Badges/21-22/YNHH/2795_YNHH_footer_21-22.ashx?mh=100&mw=100&hash=1274469AF354440331896FB5933BA865,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,14167,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.171,"Tue, 27 Jul 2021 10:53:46 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/US-News-Badges/21-22/YNHH/2795_YNHH_footer_21-22.ashx?mh=100&mw=100&hash=1274469AF354440331896FB5933BA865,2021-11-29 14:57:08
