Source,Target
https://www.cumedicine.us/,https://www.personapay.com/cumedicine/login
https://www.cumedicine.us/,https://www.datapay3.com/c/upi01/login.asp
https://www.cumedicine.us/,https://www.facebook.com/cumedicine.us
https://www.cumedicine.us/,https://twitter.com/cu_medicine
https://www.cumedicine.us/,https://instagram.com/cu.medicine
https://www.cumedicine.us/,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
https://www.cumedicine.us/,https://www.pinterest.com/CUMedicine/_created/
https://www.cumedicine.us/,https://www.linkedin.com/company/university-of-colorado-medicine/
https://www.cumedicine.us/,https://www.datapay3.com/c/upi01/login.asp
https://www.cumedicine.us/,https://cumedicine.marketingautomation.services/forms-proxy/MzawMLE0MTWyBAA/SzG1MEs2MTXTTbQwTdQ1MTVO1bW0SEkGskzMjNMSzczMDQwA
https://www.cumedicine.us/,https://portal.mypropago.com/login/CUMedicine
https://www.cumedicine.us/,https://som.ucdenver.edu/?ReturnUrl=%2FFIMS%2F
https://www.cumedicine.us/,https://www.datapay3.com/c/upi01
https://www.cumedicine.us/,https://www.facebook.com/cumedicine.us
https://www.cumedicine.us/,https://twitter.com/cu_medicine
https://www.cumedicine.us/,https://instagram.com/cu.medicine
https://www.cumedicine.us/,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
https://www.cumedicine.us/,https://www.pinterest.com/CUMedicine/_created/
https://www.cumedicine.us/,https://www.linkedin.com/company/university-of-colorado-medicine/
https://www.cumedicine.us/faqs,https://www.personapay.com/cumedicine/login
https://www.cumedicine.us/faqs,https://www.datapay3.com/c/upi01/login.asp
https://www.cumedicine.us/faqs,https://www.facebook.com/cumedicine.us
https://www.cumedicine.us/faqs,https://twitter.com/cu_medicine
https://www.cumedicine.us/faqs,https://instagram.com/cu.medicine
https://www.cumedicine.us/faqs,https://www.youtube.com/channel/UCcFmi-WPVBlr8nJ2Rx7V34A
https://www.cumedicine.us/faqs,https://www.pinterest.com/CUMedicine/_created/
