Source,Target
https://www.downstate.edu/patient-care/index.html,https://outlook.office.com/
https://www.downstate.edu/patient-care/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/patient-care/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/patient-care/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/patient-care/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/patient-care/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/patient-care/index.pcf
https://www.downstate.edu/research/medical-research-library/index.html,https://outlook.office.com/
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/interlibraryloan
https://www.downstate.edu/research/medical-research-library/index.html,https://suny-brh.primo.exlibrisgroup.com/discovery/search?vid=01SUNY_BRH:01SUNY_BRH&lang=en&sortby=rank&mode=advanced
https://www.downstate.edu/research/medical-research-library/index.html,https://tinyurl.com/y3xm3xak
https://www.downstate.edu/research/medical-research-library/index.html,https://newproxy.downstate.edu/login?url=https://library.downstate.edu/library-registration-form.html
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/libraryorientation
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/covid19
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/predatorypublishing
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/OpenAccess
https://www.downstate.edu/research/medical-research-library/index.html,https://guides.downstate.edu/scholarlypublishing/OpenAccessPolicy
https://www.downstate.edu/research/medical-research-library/index.html,https://www.facebook.com/DMCLibraryBKLYN
https://www.downstate.edu/research/medical-research-library/index.html,https://twitter.com/DMCLibraryBKLYN
https://www.downstate.edu/research/medical-research-library/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/research/medical-research-library/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/research/medical-research-library/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/research/medical-research-library/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/research/medical-research-library/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/research/medical-research-library/index.pcf
https://www.downstate.edu/education-training/downstate-experience/index.html,https://outlook.office.com/
https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/education-training/downstate-experience/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/education-training/downstate-experience/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/education-training/downstate-experience/index.pcf
https://www.downstate.edu/news-events/communications-marketing/index.html,https://outlook.office.com/
https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.youtube.com/user/downstatebiomed
https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/news-events/communications-marketing/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/news-events/communications-marketing/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/news-events/communications-marketing/index.pcf
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://outlook.office.com/
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://twitter.com/sunydownstate
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/news-events/news/2021/07-22-2021.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/news-events/news/2021/07-22-2021.pcf
https://www.downstate.edu/about/societies-funds/index.html,https://outlook.office.com/
https://www.downstate.edu/about/societies-funds/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/about/societies-funds/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/about/societies-funds/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/about/societies-funds/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/about/societies-funds/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/about/societies-funds/index.pcf
https://www.downstate.edu/policies/index.html,https://outlook.office.com/
https://www.downstate.edu/policies/index.html,https://www.suny.edu/hr/handbook/
https://www.downstate.edu/policies/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/policies/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/policies/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/policies/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/policies/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/policies/index.pcf
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://outlook.office.com/
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/education-training/college-of-nursing/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/education-training/college-of-nursing/index.pcf
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://outlook.office.com/
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/education-training/center-for-healthcare-simulation/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/education-training/center-for-healthcare-simulation/index.pcf
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://outlook.office.com/
https://www.downstate.edu/research/trainee-research-opportunities/index.html,http://www1.downstate.edu/publichealth/programs/master-of-public-health.html
https://www.downstate.edu/research/trainee-research-opportunities/index.html,http://www1.downstate.edu/publichealth/programs/md-mph.html
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/research/trainee-research-opportunities/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/research/trainee-research-opportunities/index.pcf
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://outlook.office.com/
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,http://www.starprogram.nyc/
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/patient-care/centers-of-excellence/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/patient-care/centers-of-excellence/index.pcf
https://www.downstate.edu/about/search-directories/index.html,https://outlook.office.com/
https://www.downstate.edu/about/search-directories/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/about/search-directories/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/about/search-directories/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/about/search-directories/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/about/search-directories/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/about/search-directories/index.pcf
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://outlook.office.com/
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/patient-care/find-treatment/areas-of-care/medicine.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/patient-care/find-treatment/areas-of-care/medicine.pcf
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://outlook.office.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.1199nbf.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.aetna.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.affinityplan.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.alphacare.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.americhoice.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.amidacareny.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.cigna.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.elderplan.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.emblemhealth.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.emblemhealth.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.empireblue.com/wps/portal/ehpprovider?content_path=member/noapplication/f3/s0/t0/pw_ad069612.htm&rootLevel=2&label=Plans%20^%20Benefits
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.fideliscare.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.hcpipa.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.healthfirst.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.magnacare.com/members/members.aspx
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.metroplus.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.multiplan.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.emedny.org/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://mymedicare.gov/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://secure.healthx.com/publicservice/loginv1/login.aspx?bc=ad736d64-dff4-4ea7-8f98-ee611be30ab7&serviceid=9456900e-a6a2-439e-a887-68c069ac87f7
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.medicare.gov/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.seniorwholehealth.com/home/providers-new-york
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.touchstoneh.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.tricare.mil/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.myuhc.com/member/prewelcome.do?currentLanguageFromPreCheck=en
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.empireplanproviders.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.oxhp.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,http://www.vnsny.org/our-services/vnsny-choice-health-plans/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.wellcare.com/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.compliance-helpline.com/downstate.jsp
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.twitter.com/sunydownstate
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.facebook.com/DownstateHealthSciencesUniversity
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://www.linkedin.com/school/suny-downstate-health-sciences-university/
https://www.downstate.edu/patient-care/patient-family-support/insurance-billing/index.html,https://a.cms.omniupdate.com/11/?skin=oucampus&account=suny-downstate&site=downstate&action=de&path=/patient-care/patient-family-support/insurance-billing/index.pcf
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,https://outlook.office.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.accelbio.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.accelbio.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.appliedbioinc.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.azurrx.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.bio-mo.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.cmpscientific.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.concarlo.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://drinksavvy.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://epibone.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://fesariustherapeutics.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.hemogenyx.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.histowiz.com/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.iavi.org/
https://www.downstate.edu/research/biotech-incubators/company-profiles.html,http://www.kinnos.us/
