Source,Target
https://www.dukehealth.org/,https://www.dukemychart.org/home/
https://www.dukehealth.org/,https://physicians.dukehealth.org/
https://www.dukehealth.org/,https://corporate.dukehealth.org/
https://www.dukehealth.org/,https://medschool.duke.edu/
https://www.dukehealth.org/,https://giving.dukehealth.org/ways-to-give/covid-19-response-funds
https://www.dukehealth.org/,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/,http://twitter.com/DukeHealth
https://www.dukehealth.org/,http://youtube.com/user/Dukemedicine
https://www.dukehealth.org/,https://www.instagram.com/dukehealth
https://www.dukehealth.org/,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/,http://medschool.duke.edu/
https://www.dukehealth.org/,http://nursing.duke.edu/
https://www.dukehealth.org/,http://www.duke.edu/
https://www.dukehealth.org/,https://careers.duke.edu/
https://www.dukehealth.org/,https://giving.dukehealth.org/
https://www.dukehealth.org/,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/,https://physicians.dukehealth.org/
https://www.dukehealth.org/adult-treatments,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/adult-treatments,http://twitter.com/DukeHealth
https://www.dukehealth.org/adult-treatments,http://youtube.com/user/Dukemedicine
https://www.dukehealth.org/adult-treatments,https://www.instagram.com/dukehealth
https://www.dukehealth.org/adult-treatments,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/adult-treatments,http://medschool.duke.edu/
https://www.dukehealth.org/adult-treatments,http://nursing.duke.edu/
https://www.dukehealth.org/adult-treatments,http://www.duke.edu/
https://www.dukehealth.org/adult-treatments,https://careers.duke.edu/
https://www.dukehealth.org/adult-treatments,https://giving.dukehealth.org/
https://www.dukehealth.org/adult-treatments,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/adult-treatments,https://physicians.dukehealth.org/
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/booster-shot.html
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.dukemychart.org/home/scheduling
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/children-teens.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fvaccines%2Frecommendations%2Fadolescents.html
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://gotriangle.org/
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://godurhamtransit.org/
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,https://www.wakegov.com/departments-government/human-services/programs-assistance/gowake-access-transportation
