"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.etsuhealth.org/","https://www.facebook.com/etsuhealth","0","","ETSU Health","302","Found","true","","","Absolute","//body/div/section/article[@class='content-grid']/main/div[3]/div[2]/div/blockquote/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fdefault.php&text=ETSU%20Health%20Spotlights","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fdefault.php&title=ETSU%20Health%20Spotlights&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/health-insurance/","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fhealth-insurance%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/health-insurance/","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fhealth-insurance%2Fdefault.php&text=Health%20Insurance","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/health-insurance/","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fhealth-insurance%2Fdefault.php&title=Health%20Insurance&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/health-insurance/","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/health-insurance/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php&text=Contact%20Us","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php&title=Contact%20Us&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/contact/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/default.php","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/default.php","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php&text=Contact%20Us","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/default.php","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fcontact%2Fdefault.php&title=Contact%20Us&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/contact/default.php","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/contact/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/about/","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fabout%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/about/","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fabout%2Fdefault.php&text=About%20ETSU%20Health","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/about/","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fabout%2Fdefault.php&title=About%20ETSU%20Health&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/about/","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/about/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/find-a-doctor/default.php","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Ffind-a-doctor%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/find-a-doctor/default.php","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Ffind-a-doctor%2Fdefault.php&text=ETSU%20Health%20Providers","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/find-a-doctor/default.php","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Ffind-a-doctor%2Fdefault.php&title=ETSU%20Health%20Providers&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/find-a-doctor/default.php","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/find-a-doctor/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://etsuhealth.followmyhealth.com/","131","","Login","302","Found","true","_blank","","Absolute","//body/div/section/article[2]/main/p[3]/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://etsuhealth.followmyhealth.com/","131","","Sign up","302","Found","true","_blank","","Absolute","//body/div/section/article[2]/main/p[4]/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.etsuhealth.org%2Fmy-etsu-health%2Fdefault.php","0","","facebook","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[1]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://twitter.com/share?url=https%3A%2F%2Fwww.etsuhealth.org%2Fmy-etsu-health%2Fdefault.php&text=My%20ETSUHealth","0","","twitter","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[2]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.etsuhealth.org%2Fmy-etsu-health%2Fdefault.php&title=My%20ETSUHealth&summary=","0","","linkedin","0","Blocked by robots.txt","true","","","Protocol-Relative","//body/div/div[@class='social-nav']/nav/a[3]","Navigation","HTML"
"Hyperlink","https://www.etsuhealth.org/my-etsu-health/default.php","https://a.cms.omniupdate.com/11/?skin=etsu&account=east-tennessee-state&site=ETSUHealth&action=de&path=/my-etsu-health/default.pcf","0","","©","0","Blocked by robots.txt","true","","","Absolute","//body/div/div[@id='ou-hidden']/a","Content","HTML"
"Hyperlink","https://www.etsuhealth.org/default.php","https://www.facebook.com/etsuhealth","0","","ETSU Health","302","Found","true","","","Absolute","//body/div/section/article[@class='content-grid']/main/div[3]/div[2]/div/blockquote/a","Content","HTML"
