Source,Target
http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/
http://huhealthcare.com/healthcare/hospital,http://healthsciences.howard.edu/
http://huhealthcare.com/healthcare/hospital,https://expressopay.billeriq.com/ebpp/howard/
http://huhealthcare.com/healthcare/hospital,https://150.howard.edu/
http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/studenthealth/
http://huhealthcare.com/healthcare/hospital,https://medicine.howard.edu/
http://huhealthcare.com/healthcare/hospital,https://cnahs.howard.edu/
http://huhealthcare.com/healthcare/hospital,http://hsl.howard.edu/
http://huhealthcare.com/healthcare/hospital,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
http://huhealthcare.com/healthcare/hospital,https://huhealthcare.followmyhealth.com/Login/App/Dashboard?authproviders=0
http://huhealthcare.com/healthcare/hospital,http://cancer.howard.edu/
http://huhealthcare.com/healthcare/hospital,https://expressopay.billeriq.com/ebpp/howard/
http://huhealthcare.com/huhealthcare/contact-us,http://healthsciences.howard.edu/?logotrack=hs_logo
http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,http://healthsciences.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,https://expressopay.billeriq.com/ebpp/howard/
http://huhealthcare.com/huhealthcare/contact-us,https://150.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/studenthealth/
http://huhealthcare.com/huhealthcare/contact-us,https://medicine.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,https://cnahs.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,http://hsl.howard.edu/
http://huhealthcare.com/huhealthcare/contact-us,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
http://huhealthcare.com/huhealthcare/contact-us,http://www.healthsciences.howard.edu/about-huhs/Stay%20Connected
http://huhealthcare.com/contact-us,http://healthsciences.howard.edu/?logotrack=hs_logo
http://huhealthcare.com/contact-us,http://www.howard.edu/
http://huhealthcare.com/contact-us,http://healthsciences.howard.edu/
http://huhealthcare.com/contact-us,https://expressopay.billeriq.com/ebpp/howard/
http://huhealthcare.com/contact-us,https://150.howard.edu/
http://huhealthcare.com/contact-us,http://www.howard.edu/studenthealth/
http://huhealthcare.com/contact-us,https://medicine.howard.edu/
http://huhealthcare.com/contact-us,https://cnahs.howard.edu/
http://huhealthcare.com/contact-us,http://hsl.howard.edu/
http://huhealthcare.com/contact-us,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
http://huhealthcare.com/contact-us,http://www.healthsciences.howard.edu/about-huhs/Stay%20Connected
http://huhealthcare.com/healthcare/hospital/directions,http://www.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,http://healthsciences.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,https://expressopay.billeriq.com/ebpp/howard/
http://huhealthcare.com/healthcare/hospital/directions,https://150.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,http://www.howard.edu/studenthealth/
http://huhealthcare.com/healthcare/hospital/directions,https://medicine.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,https://cnahs.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,http://hsl.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,http://www.howard.edu/library/scholarship@howard/hs-pub.htm
http://huhealthcare.com/healthcare/hospital/directions,https://huhealthcare.followmyhealth.com/Login/App/Dashboard?authproviders=0
http://huhealthcare.com/healthcare/hospital/directions,http://cancer.howard.edu/
http://huhealthcare.com/healthcare/hospital/directions,"http://maps.google.com/maps?f=q&source=embed&hl=en&geocode=&q=2041+Georgia+Avenue,+Washington,+D.C.+20060&aq=&sll=37.0625,-95.677068&sspn=48.240201,113.730469&ie=UTF8&hq=&hnear=2041+Georgia+Ave+NW,+Washington+D.C.,+District+of+Columbia+20001&ll=38.926431,-77.019567&spn=0.02337,0.036478&z=14&iwloc=A"
