"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.kaleidahealth.org/bgmc/","text/html","200","OK","Non-Indexable","Canonicalised","Buffalo General Medical Center - A Kaleida Health Facility – Buffalo, NY","72","628","Buffalo General Medical Center is proud to be part of the Kaleida Health system and a major teaching affiliate of the University at Buffalo School of Medicine and Biomedical Sciences. As a 501-bed acute care medical center located on the Buffalo Niagara Medical Campus in downtown Buffalo, NY, we provide access to the latest treatment, technology and expert physicians.","370","2322","","0","Buffalo General Medical Center/Gates Vascular Institute","55","","0","Services","8","Locations","9","","","","http://www.kaleidahealth.org/bgmc/","","","","","","56762","230","9.727","0","","271","264","0","66.170","146","105","0","36","28","0","","","","","af14988a00a9784a825a962b72cabca4","0.100","","","","","1.1","https://www.kaleidahealth.org/bgmc/","2022-02-04 10:35:29"
"https://www.kaleidahealth.org/services/display.asp?s=705","text/html","200","OK","Indexable","","Stroke Program: - Kaleida Health – Buffalo, NY","46","411","Stroke Program - The Gates Vascular Institute treats more strokes than any other hospital in New York State.","108","677","","0","Services","8","","0","Services","8","Locations","9","","","","","","","","","","49910","228","10.850","1","","383","375","0","93.980","129","86","0","31","23","0","","","","","25eba00e34d400ff9b33ad34bcf0b626","0.102","","","","","1.1","https://www.kaleidahealth.org/services/display.asp?s=705","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/general-information/compliance.asp","text/html","200","OK","Indexable","","Ethics & Compliance - Kaleida Health – Buffalo, NY","50","451","Kaleida Health","14","90","","0","Ethics & Compliance","19","","0","Services","8","Locations","9","","","","","","","","","","49476","710","17.441","1","","382","375","0","93.980","132","91","0","33","25","0","","","","","88d99e3353865afac0596b7b03cbc4f6","0.194","","","","","1.1","https://www.kaleidahealth.org/general-information/compliance.asp","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/providers/application/","text/html","200","OK","Indexable","","Credentialing & Privileging | Kaleida Health | Buffalo, New York","64","553","For new applicants looking to apply for privileges at Kaleida Health or for current members going through the two year reappointment process.","141","875","","0","Medical/Dental Staff","20","","0","Application","11","Before you begin instructions!","30","","","","","","","","","","35172","1234","23.651","1","","376","376","0","94.240","21","21","0","2","2","0","","","","","b06ced94c943a82ea4d84d70ec3698e9","0.045","Fri, 10 Sep 2021 12:53:40 GMT","","","","1.1","https://www.kaleidahealth.org/providers/application/","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/careers/national-health-service-corps.asp","text/html","200","OK","Indexable","","National Health Service Corps / NURSE Corps - Kaleida Health – Buffalo, NY","74","678","Kaleida Health","14","90","","0","Careers at Kaleida Health","25","","0","Services","8","Locations","9","","","","","","","","","","47832","281","12.147","1","","385","375","0","93.980","132","88","0","35","27","0","","","","","3b8b3b2ed397ed737d115236a47639bb","0.195","","","","","1.1","https://www.kaleidahealth.org/careers/national-health-service-corps.asp","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/bgmc/images/awards/NYS_Designation_Stroke.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","10084","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.046","Fri, 10 Jul 2020 18:28:43 GMT","","","","1.1","https://www.kaleidahealth.org/bgmc/images/awards/NYS_Designation_Stroke.png","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/services/vr-tours/GVI/GVI_ER_Room_2/_flash_html5/index.asp","text/html","200","OK","Indexable","","Panoweaver Panorama Viewer","26","269","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","372","0","0.000","1","","2","2","0","0.500","0","0","0","0","0","0","","","","","6f75a885de86b5b87e91afbfe1c2534d","0.045","","","","","1.1","https://www.kaleidahealth.org/services/vr-tours/GVI/GVI_ER_Room_2/_flash_html5/index.asp","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/BGMC/services/","text/html","200","OK","Indexable","","All Services A-Z - Buffalo General Medical Center - Buffalo, NY","63","549","All Services A-Z at Buffalo General Medical Center","50","314","","0","Buffalo General Medical Center/Gates Vascular Institute","55","","0","Services","8","Locations","9","","","","","","","","","","53528","369","11.852","1","","272","265","0","66.420","192","150","0","36","27","0","","","","","68b6cfdc94a858f920a17938580abd3b","0.212","","","","","1.1","https://www.kaleidahealth.org/BGMC/services/","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/general-information/about.asp","text/html","200","OK","Indexable","","About - Kaleida Health – Buffalo, NY","36","319","Kaleida Health","14","90","","0","General Information","19","","0","Services","8","Locations","9","","","","","","","","","","63016","1775","24.984","1","","757","375","0","93.980","132","92","0","40","27","0","","","","","2c7b024890d98d5b04d85f3502ae5eb2","0.050","","","","","1.1","https://www.kaleidahealth.org/general-information/about.asp","2022-02-04 10:35:30"
"https://www.kaleidahealth.org/img/btnDefault.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1418","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.050","Fri, 19 Feb 2021 16:05:29 GMT","","","","1.1","https://www.kaleidahealth.org/img/btnDefault.jpg","2022-02-04 10:35:30"
