Source,Target,,,,
https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/masks-in-the-time-of-omicron--an-infectious-disease-expert-gives-insider-tips-on-mask-selection/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/testing-and-getting-a-booster-shot-remain-top-priorities-in-2022/,,,,
https://www.keckmedicine.org/,https://clinicaltrials.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://https//www.keckmedicine.org/giving/,,,,
https://www.keckmedicine.org/,https://providers.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/,https://facebook.com/pages/Keck-Medical-Center-of-USC/276536222387052,,,,
https://www.keckmedicine.org/,https://twitter.com/KeckMedUSC,,,,
https://www.keckmedicine.org/,https://youtube.com/user/KeckMedUSC,,,,
https://www.keckmedicine.org/,https://linkedin.com/company/keck-medicine-of-usc,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://providers.keckmedicine.org/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/1500+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0619675,-118.2036143,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5debe2c0109:0x1600bf9b4d398595!8m2!3d34.0619631!4d-118.2014203",,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/1538+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0627425,-118.2052205,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5d8d5799d15:0xe28de63a3600c65a!8m2!3d34.0627381!4d-118.2030265",,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,"https://www.google.com/maps/place/USC+Healthcare+Center+II,+1520+San+Pablo+St,+Los+Angeles,+CA+90033/@34.0625872,-118.2046694,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c5ded411f12f:0x94316c68b5440916!8m2!3d34.0625828!4d-118.2024754",,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://live-keck-medicine.pantheonsite.io/wp-content/uploads/2021/10/hsc-parking-map.jpg,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://live-keck-medicine.pantheonsite.io/wp-content/uploads/2022/01/HSC-Patient-Map-2.pdf,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://live-keck-medicine.pantheonsite.io/parking/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/masks-in-the-time-of-omicron--an-infectious-disease-expert-gives-insider-tips-on-mask-selection/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/testing-and-getting-a-booster-shot-remain-top-priorities-in-2022/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://facebook.com/pages/Keck-Medical-Center-of-USC/276536222387052,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://twitter.com/KeckMedUSC,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://youtube.com/user/KeckMedUSC,,,,
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/,https://linkedin.com/company/keck-medicine-of-usc,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://providers.keckmedicine.org/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://news.keckmedicine.org/everything-you-need-to-know-about-covid-19-testing-from-a-chief-pharmacy-officer/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/keck-hospital-of-usc-nationally-recognized-with-an-a-hospital-safety-grade-for-fifth-consecutive-time,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/usc-norris-cancer-hospital-earns-national-2021-leapfrog-top-teaching-hospital-award,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/keck-hospital-of-usc-receives-rising-star-recognition-from-vizient,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/keck-hospitals-nursing-excellence-lauded-with-magnet-recognition,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://employees.usc.edu/benefits-perks/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://usccareers.usc.edu/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://usccareers.usc.edu/search-jobs?orgIds=1728-1209&ac=11728,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://usccareers.usc.edu/search-jobs?orgIds=1728-1209&ac=40022,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://usccareers.usc.edu/search-jobs?orgIds=1728-1209&ac=11858,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://usccareers.usc.edu/search-jobs?orgIds=1728-1209&ac=11655,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://hscnews.usc.edu/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://news.keckmedicine.org/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://keck.usc.edu/,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://facebook.com/pages/Keck-Medical-Center-of-USC/276536222387052,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://twitter.com/KeckMedUSC,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://youtube.com/user/KeckMedUSC,,,,
https://www.keckmedicine.org/career-opportunities-at-usc/,https://linkedin.com/company/keck-medicine-of-usc,,,,
https://www.keckmedicine.org/blog/,https://providers.keckmedicine.org/,,,,
