"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.mwuclinics.com/illinois","text/html; charset=UTF-8","200","OK","Indexable","","Midwestern University Clinics Illinois - Dental, Medical And Specialty Care","75","649","The Midwestern University Clinics in Downers Grove, Illinois offer high quality affordable healthcare including Dental, Medical and Specialty care services.","156","953","","0","Your Family's Illinois Home for Healthcare","42","","0","Your Family's Illinois","22","Your Family's Illinois Home for Healthcare","42","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois","","","","","","94189","1029","8.768","0","","750","497","0","100.000","98","55","0","16","13","0","","","","","7e38d4f71d45094a58f08ac19c702286","2.618","","","","","1.1","https://www.mwuclinics.com/illinois","2022-02-04 12:03:17"
"https://www.mwuclinics.com/wp-content/themes/mwu-clinics/style.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","11946","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.340","Fri, 29 May 2020 16:49:32 GMT","","","","1.1","https://www.mwuclinics.com/wp-content/themes/mwu-clinics/style.css","2022-02-04 12:03:20"
"https://www.mwuclinics.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","80574","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.352","Mon, 01 Nov 2021 13:43:19 GMT","","","","1.1","https://www.mwuclinics.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1","2022-02-04 12:03:20"
"https://www.mwuclinics.com/illinois/services/specialty/physical-therapy/vestibular-dizziness-issues","text/html; charset=UTF-8","200","OK","Indexable","","Vestibular/Dizziness Issues - Midwestern University Clinics","59","519","","0","0","","0","Vestibular/Dizziness Issues","27","","0","Physical Therapy","16","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois/services/specialty/physical-therapy/vestibular-dizziness-issues","","","","","","83734","836","8.260","1","","192","181","0","36.420","85","51","0","17","14","0","","","","","aaaf40e7ef3f371b87b2a4b91eef3c35","1.527","","","","","1.1","https://www.mwuclinics.com/illinois/services/specialty/physical-therapy/vestibular-dizziness-issues","2022-02-04 12:03:20"
"https://www.mwuclinics.com/illinois/services/specialty/speech-language/bilingualism","text/html; charset=UTF-8","200","OK","Indexable","","Bilingualism - Midwestern University Clinics","44","385","","0","0","","0","Bilingualism","12","","0","Take A Closer Look","18","Speech Language News","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois/services/specialty/speech-language/bilingualism","","","","","","98665","1400","11.087","1","","195","181","0","36.420","107","68","0","17","14","0","","","","","9b738b0bb2871100f5d48cf8b13f1801","2.713","","","","","1.1","https://www.mwuclinics.com/illinois/services/specialty/speech-language/bilingualism","2022-02-04 12:03:21"
"https://www.mwuclinics.com/illinois/news","text/html; charset=UTF-8","200","OK","Indexable","","Illinois News Archive - Midwestern University Clinics","53","459","","0","0","","0","Illinois Dental, Medical & Specialty News","41","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois/news","https://www.mwuclinics.com/illinois/news/page/2","","","","","92717","907","8.028","1","","690","497","0","100.000","108","79","0","16","13","0","","","","","6dd67f884f3944e8be1209c5fcf7368a","3.695","","","","","1.1","https://www.mwuclinics.com/illinois/news","2022-02-04 12:03:20"
"https://www.mwuclinics.com/illinois/services/specialty/speech-language/voice-disorders","text/html; charset=UTF-8","200","OK","Indexable","","Voice Disorders - Midwestern University Clinics","47","417","","0","0","","0","Voice Disorders","15","","0","Take A Closer Look","18","Speech Language News","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois/services/specialty/speech-language/voice-disorders","","","","","","96639","1141","9.248","1","","195","181","0","36.420","107","68","0","17","14","0","","","","","9e82104ae6d9e24f2385a313f2b3ef14","3.765","","","","","1.1","https://www.mwuclinics.com/illinois/services/specialty/speech-language/voice-disorders","2022-02-04 12:03:20"
"https://www.mwuclinics.com/wp-content/plugins/formidable-pro/js/frm.min.js?ver=5.0.12","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","213687","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.085","Wed, 17 Nov 2021 00:33:30 GMT","","","","1.1","https://www.mwuclinics.com/wp-content/plugins/formidable-pro/js/frm.min.js?ver=5.0.12","2022-02-04 12:03:24"
"https://www.mwuclinics.com/illinois/news/clinics/holiday-hours-fall-winter","text/html; charset=UTF-8","200","OK","Indexable","","Midwestern University Clinics | Fall & Winter Holiday Hours","59","521","Midwestern University Clinics will have special hours for the Fall & Winter holiday periods. Click to view site for more details.","129","771","","0","Holiday Hours — Fall/Winter","27","","0","MWU Clinics Upcoming Hours","26","If you experience any life-threatening emergency… Call 911.","59","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/illinois/news/clinics/holiday-hours-fall-winter","","","","","","83714","826","8.218","1","","39","37","0","7.440","80","52","0","16","13","0","","","","","9c6eeb7d7f81e02c4cce97ee43f9b56d","2.552","","","","","1.1","https://www.mwuclinics.com/illinois/news/clinics/holiday-hours-fall-winter","2022-02-04 12:03:22"
"https://www.mwuclinics.com/arizona/services/dental","text/html; charset=UTF-8","200","OK","Indexable","","Affordable Dental Services | High Quality Dental Care | AZ Dentist","66","577","The Midwestern University Clinics Arizona Dental Institute offers high quality affordable dental services. Arizona dental clinic call 623.537.6000.","147","887","","0","Dental Institute","16","","0","Dental","6","Take A Closer Look","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.mwuclinics.com/arizona/services/dental","","","","","","118726","1233","8.103","1","","782","497","0","100.000","153","124","0","17","14","0","","","","","2b68eda78fb21e7856ef88a9a4925800","0.700","","","","","1.1","https://www.mwuclinics.com/arizona/services/dental","2022-02-04 12:03:24"
