"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://nashvillegeneral.org/","https://www.nashgenfoundation.org/","125749","","Donate","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/div[@class='l-menu-mobile']/nav[@id='block-menu-block-patient-tool-menu']/ul/li[@class='menu-item'][6]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.nashgenfoundation.org/","125749","","Donate","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/div[4]/div/nav/ul/li[@class='menu-item'][6]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.facebook.com/NashvilleGeneral/?fref=ts","566761","","Learn More","200","OK","true","","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/section/div/div/div/div/div/div/div[@class='story-block-item'][1]/div/div/div/div/div/div/div[3]/div/div[@class='group-right']/div[3]/a","Content","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.instagram.com/nashvillegeneral","0","","","301","Moved Permanently","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.linkedin.com/company/nashville-general-hospital/","1529","","","999","Request denied","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.twitter.com/NashGenHospital","0","","","0","Blocked by robots.txt","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.youtube.com/channel/UCeaJAk6UCap0kTVRcHeH5CA","474983","","","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.facebook.com/NashvilleGeneral/?fref=ts","566761","","","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://goo.gl/maps/YkgRDYKbYjLCTGrB8","0","","Map/Directions","302","Found","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-block-content-0e6af44b-e100-4d80-a9e9-c728b8a61c7c']/div/div/div/a","Footer","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.nashgenfoundation.org/","125749","","NGH Foundation","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer2']/nav/ul/li[4]/ul/li[@class='menu-item'][3]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/","https://www.nghschoolofhealthsciences.com/","129585","","School of Health Sciences","200","","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer2']/nav/ul/li[4]/ul/li[@class='menu-item'][6]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/doctors/physician-credentialing","https://www.nashgenfoundation.org/","125749","","Donate","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/div[@class='l-menu-mobile']/nav[@id='block-menu-block-patient-tool-menu']/ul/li[@class='menu-item'][6]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/doctors/physician-credentialing","https://www.nashgenfoundation.org/","125749","","Donate","200","OK","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/div[4]/div/nav/ul/li[@class='menu-item'][6]/a","Navigation","HTML"
"Hyperlink","https://nashvillegeneral.org/doctors/physician-credentialing","https://www.instagram.com/nashvillegeneral","0","","","301","Moved Permanently","true","_blank","","Absolute","//body/div[@class='dialog-off-canvas-main-canvas']/div/div/div/footer/div/div[@class='footer1']/div[@id='block-social-media-links-block']/ul/li[1]/a","Footer","HTML"
