Source,Target
https://www.navicenthealth.org/,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/,https://www.cdc.gov/coronavirus/2019-ncov/index.html
https://www.navicenthealth.org/,https://dph.georgia.gov/
https://www.navicenthealth.org/,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/,https://georgiaheart.org/
https://www.navicenthealth.org/sitemap-friendly,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/sitemap-friendly,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/sitemap-friendly,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/sitemap-friendly,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/sitemap-friendly,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/facility/central-georgia-diagnostics-laboratory
https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/facility/the-medical-center-of-peach-county
https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
https://www.navicenthealth.org/sitemap-friendly,http://cactus.mccg.org/idirectory//applicationspecific/entityselect.asp
https://www.navicenthealth.org/sitemap-friendly,https://navicenthealth.inquicker.com/schedule/calendar/1316
https://www.navicenthealth.org/sitemap-friendly,https://www.facebook.com/AtriumHealthNavicent
https://www.navicenthealth.org/sitemap-friendly,https://plus.google.com/b/115536590643820310208/115536590643820310208
https://www.navicenthealth.org/sitemap-friendly,http://www.instagram.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,https://www.linkedin.com/company/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://www.pinterest.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://twitter.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://oconeeregional.com/
https://www.navicenthealth.org/sitemap-friendly,http://www.putnamgeneral.com/getpage.php?name=index
https://www.navicenthealth.org/sitemap-friendly,http://www.trumba.com/
https://www.navicenthealth.org/sitemap-friendly,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/sitemap-friendly,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/sitemap-friendly,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/sitemap-friendly,https://georgiaheart.org/
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/searches/documents?search=Bill_Pay,https://georgiaheart.org/
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://my.atriumhealth.org/MyAtriumHealth/Authentication/Login?
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/community/single_news/atrium-health-navicent-updates-covid-safe-visitor-restrictions,https://georgiaheart.org/
https://www.navicenthealth.org/searches/documents?search=Medical_Records,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/searches/documents?search=Medical_Records,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/searches/documents?search=Medical_Records,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Records,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Records,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/searches/documents?search=Medical_Records,https://georgiaheart.org/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://gainiii.mercer.edu/search~S14
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.dynamed.com/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,"http://www.ncbi.nlm.nih.gov/pubmed?holding=mccglib,gagainlib"
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.nlm.nih.gov/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://medlineplus.gov/
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/service-center/health-resource-center-library-at-navicent-health,https://georgiaheart.org/
https://www.navicenthealth.org/searches/documents?search=Covid-19,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/searches/documents?search=Covid-19,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/searches/documents?search=Covid-19,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Covid-19,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Covid-19,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/searches/documents?search=Covid-19,https://georgiaheart.org/
https://www.navicenthealth.org/searches/documents?search=Medical_Center,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/searches/documents?search=Medical_Center,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/searches/documents?search=Medical_Center,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://www.youtube.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://www.linkedin.com/company/35077
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://www.facebook.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Center,http://www.twitter.com/navicenthealth
https://www.navicenthealth.org/searches/documents?search=Medical_Center,https://atriumhealth.org/for-patients-visitors/financial-assistance
https://www.navicenthealth.org/searches/documents?search=Medical_Center,https://georgiaheart.org/
https://www.navicenthealth.org/ourHospital,https://navicent.orcarestra.com/directory/
https://www.navicenthealth.org/ourHospital,https://w3.mccg.org/register/prereg_form.asp
https://www.navicenthealth.org/ourHospital,http://navicent2.com/patientguide2018/mobile/index.html
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/Z26167%20Authorization%20to%20Release%20Medical%20Information.pdf
https://www.navicenthealth.org/ourHospital,http://w3.mccg.org/EHR_CBT/
https://www.navicenthealth.org/ourHospital,https://my.atriumhealth.org/MyAtriumHealth/Authentication/Login?
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/1A.TheCharlotteMecklenburgHospitalAuthority%20Audit%20Report%2012.31.20%20(secured).pdf
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/1B.Medical%20Center-2019%20Form%20990-without%20Sch%20B.pdf
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/1B-Medical%20Center%20-CY%202020%20Form%20990%20(no%20Sch%20B).PDF
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/2A.2020%20AHQ%20MCCG.pdf
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/2B.%20Navicent_Health_-_Report_To_Our_Community_2020.pdf
https://www.navicenthealth.org/ourHospital,https://6e4e5253c366be07fb27-05a8d4e28b318db45e55745aeda40acc.ssl.cf5.rackcdn.com/2C.2019%20HFS%20MCCG%20FIN%20RECON.pdf
