Source,Target
https://wvumedicine.org/ruby-memorial-hospital/,https://mywvuchart.com/MyChart/
https://wvumedicine.org/ruby-memorial-hospital/,https://give.wvu.edu/?n=6
https://wvumedicine.org/ruby-memorial-hospital/,https://www.youtube.com/user/WVUHealthcare
https://wvumedicine.org/ruby-memorial-hospital/,https://www.facebook.com/WVUMedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://twitter.com/WVUMedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://www.linkedin.com/company/wvumedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://mywvuchart.com/MyChart/Authentication/Login?
https://wvumedicine.org/ruby-memorial-hospital/,https://wvuchart.com/EpicWeb/common/epic_login.asp
https://wvumedicine.org/ruby-memorial-hospital/,https://medicine.hsc.wvu.edu/
https://wvumedicine.org/ruby-memorial-hospital/,https://www.wvuf.org/creating-impact/wvu-medicine
https://wvumedicine.org/ruby-memorial-hospital/,https://www.facebook.com/WVUMedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://twitter.com/WVUMedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://www.youtube.com/c/WVUMedicine
https://wvumedicine.org/ruby-memorial-hospital/,https://www.linkedin.com/company/wvumedicine
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://mywvuchart.com/MyChart/
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://mywvuchart.com/MyChart/Authentication/Login?
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://wvuchart.com/EpicWeb/common/epic_login.asp
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://medicine.hsc.wvu.edu/
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.wvuf.org/creating-impact/wvu-medicine
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.facebook.com/WVUMedicine
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://twitter.com/WVUMedicine
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.youtube.com/c/WVUMedicine
https://wvumedicine.org/outpatient-clinics/west-fairmont/,https://www.linkedin.com/company/wvumedicine
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://mywvuchart.com/MyChart/
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://mywvuchart.com/MyChart/Authentication/Login?
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://wvuchart.com/EpicWeb/common/epic_login.asp
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://medicine.hsc.wvu.edu/
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://www.wvuf.org/creating-impact/wvu-medicine
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://www.facebook.com/WVUMedicine
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://twitter.com/WVUMedicine
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://www.youtube.com/c/WVUMedicine
https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/,https://www.linkedin.com/company/wvumedicine
https://wvumedicine.org/p2p/accounts-payable/,https://mywvuchart.com/MyChart/
https://wvumedicine.org/p2p/accounts-payable/,https://mywvuchart.com/MyChart/Authentication/Login?
