Source,Target,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter/,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter/,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/legal/privacy/,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/nurse/daisy,,,
https://health.ucdavis.edu/medicalcenter/,"https://www.google.com/maps/place/4251+X+St,+Sacramento,+CA+95817/@38.554896,-121.4584849,17z/data=!3m1!4b1!4m5!3m4!1s0x809ad07cc6228885:0x74998774c85fe60d!8m2!3d38.554896!4d-121.4562962",,,
https://health.ucdavis.edu/medicalcenter/,http://www.ucdmc.ucdavis.edu/publish/news/medicalcenter/,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
https://health.ucdavis.edu/medicalcenter/,http://physicians.ucdavis.edu/medicalcenter,,,
https://health.ucdavis.edu/medicalcenter/,https://www.facebook.com/UCDavisMedicalCenter,,,
https://health.ucdavis.edu/medicalcenter/,https://twitter.com/UCDavisMedCntr,,,
https://health.ucdavis.edu/medicalcenter/,http://www.youtube.com/ucdavishealth,,,
https://health.ucdavis.edu/medicalcenter/,https://youtu.be/J4iSSAOAEm4,,,
https://health.ucdavis.edu/medicalcenter/,https://www.ucdmc.ucdavis.edu/medicalcenter/aboutus/about.html,,,
https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
https://health.ucdavis.edu/medicalcenter/,http://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,,,
https://health.ucdavis.edu/medicalcenter/,https://www.nursingworld.org/organizational-programs/magnet/,,,
https://health.ucdavis.edu/medicalcenter/,https://www.universityofcalifornia.edu/press-room/university-california-health-hospitals-recognized-lgbtq-health-care-equality,,,
https://health.ucdavis.edu/medicalcenter/,https://www.universityofcalifornia.edu/press-room/university-california-health-hospitals-recognized-lgbtq-health-care-equality,,,
https://health.ucdavis.edu/medicalcenter/,https://mychart.ucdavis.edu/mychart/,,,
https://health.ucdavis.edu/medicalcenter/,https://www.facebook.com/UCDavisMedicalCenter,,,
https://health.ucdavis.edu/medicalcenter/,https://twitter.com/UCDavisMedCntr,,,
https://health.ucdavis.edu/medicalcenter/,http://www.youtube.com/ucdavishealth,,,
https://health.ucdavis.edu/medicalcenter/,http://pinterest.com/ucdavishealth/,,,
