Source,Target
https://unmhealth.org/,https://myhealthunm.iqhealth.com/home
https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
https://unmhealth.org/,https://myhealthunm.iqhealth.com/home
https://unmhealth.org/,https://findadoc.health.unm.edu/FADPF/
https://unmhealth.org/,https://cancer.unm.edu/
https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/interdisciplinary-substance-use-brain-injury-center-groundbreaking.html
https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/unm-partners-national-hispanic-institute-2022-youth-leadership-training.html
https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/new-hospital-tower-greater-access-health-care.html
https://unmhealth.org/,https://hsc.unm.edu/news/2022/01/office-medical-investigator-does-not-charge-families-services.html
https://unmhealth.org/,https://hsc.unm.edu/covid-19/
https://unmhealth.org/,https://hsc.unm.edu/index.html
https://unmhealth.org/,https://www.unm.edu/
https://unmhealth.org/,https://www.unmfund.org/fund-category/unm-cancer-center/
https://unmhealth.org/,https://www.unmfund.org/
https://unmhealth.org/,https://cancer.unm.edu/
https://unmhealth.org/,https://www.facebook.com/unmhsc
https://unmhealth.org/,https://www.linkedin.com/company/5932
https://unmhealth.org/,https://twitter.com/unmhsc
https://unmhealth.org/,https://instagram.com/unmhsc/
https://unmhealth.org/,https://www.youtube.com/user/unmhsc
https://unmhealth.org/,https://www.unm.edu/accessibility.html
https://unmhealth.org/,https://www.unm.edu/legal.html
https://unmhealth.org/,http://www.unm.edu/
https://unmhealth.org/locations/cancer-center.html,https://myhealthunm.iqhealth.com/home
https://unmhealth.org/locations/cancer-center.html,https://findadoc.health.unm.edu/FADPF/
https://unmhealth.org/locations/cancer-center.html,https://findadoc.health.unm.edu/FADPF/
https://unmhealth.org/locations/cancer-center.html,https://myhealthunm.iqhealth.com/home
https://unmhealth.org/locations/cancer-center.html,https://cancer.unm.edu/
https://unmhealth.org/locations/cancer-center.html,https://cancer.unm.edu/
https://unmhealth.org/locations/cancer-center.html,https://www.cancer.gov/
https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/
https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/
https://unmhealth.org/locations/cancer-center.html,"https://www.google.com/maps/place/UNM+Comprehensive+Cancer+Center/@35.09564,-106.630468,17z/data=!4m12!1m6!3m5!1s0x87220b5628575ab7:0xf217bb88d9cebfb8!2sUNM+Comprehensive+Cancer+Center!8m2!3d35.09564!4d-106.628274!3m4!1s0x87220b5628575ab7:0xf217bb88d9cebfb8!8m2!3d35.09564!4d-106.628274?hl=en-US"
https://unmhealth.org/locations/cancer-center.html,"https://www.google.com/maps/place/2055+S+Pacheco+St,+Santa+Fe,+NM+87505/@35.655657,-105.9605067,17z/data=!3m1!4b1!4m5!3m4!1s0x8718508557c02c95:0x358ea724aeb1a885!8m2!3d35.6594349!4d-105.9593867?hl=en-US"
https://unmhealth.org/locations/cancer-center.html,http://cancer.unm.edu/menu-ct/clinical-trials-database/
https://unmhealth.org/locations/cancer-center.html,https://hsc.unm.edu/covid-19/
https://unmhealth.org/locations/cancer-center.html,https://hsc.unm.edu/index.html
https://unmhealth.org/locations/cancer-center.html,https://www.unm.edu/
