"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.uwhealth.org/","text/html; charset=UTF-8","200","OK","Indexable","","University of Wisconsin Hospitals and Clinics | UW Health","57","512","The academic medical center and health system for the University of Wisconsin based out of Madison, WI. Remarkable medicine. Remarkable care.","141","917","Hospitals Healthcare Health Care Madison Wisconsin WI Hospital University of Wisconsin Medical Foundation UWHC UWMF UW Health UWHealth UW-Health","144","Care Anywhere video visits: Urgent care 24/7","44","","0","Notice","6","This is where great things happen","33","","","","","https://www.uwhealth.org/","","","","","","263367","891","2.640","0","","1032","513","0","96.070","94","34","0","27","15","0","","","","","32c35aa7472547b05659cbfdc63a9088","0.344","","","","","1.1","https://www.uwhealth.org/","2022-01-31 15:14:09"
"https://www.uwhealth.org/_next/static/build/_buildManifest.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.335","","","","","1.1","https://www.uwhealth.org/_next/static/build/_buildManifest.js","2022-01-31 15:14:10"
"https://www.uwhealth.org/_next/static/image/_/_/common/uwhealth-design-assets/svg/icon_social-facebook.c9b53bddd69c75e57fdf54ccbf05ee09.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","515","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.388","","","","","1.1","https://www.uwhealth.org/_next/static/image/_/_/common/uwhealth-design-assets/svg/icon_social-facebook.c9b53bddd69c75e57fdf54ccbf05ee09.svg","2022-01-31 15:14:10"
"https://www.uwhealth.org/_next/static/image/_/_/common/uwhealth-design-assets/svg/icon_social-twitter.bc4907a1ffe215c5071677937ec84f90.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","872","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.449","","","","","1.1","https://www.uwhealth.org/_next/static/image/_/_/common/uwhealth-design-assets/svg/icon_social-twitter.bc4907a1ffe215c5071677937ec84f90.svg","2022-01-31 15:14:10"
"https://www.uwhealth.org/_next/static/build/_ssgManifest.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","745","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.374","","","","","1.1","https://www.uwhealth.org/_next/static/build/_ssgManifest.js","2022-01-31 15:14:10"
"https://www.uwhealth.org/_next/static/chunks/pages/%5B%5B...slug%5D%5D-9d8bc204e611f44d76e2.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","1212","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.342","","","","","1.1","https://www.uwhealth.org/_next/static/chunks/pages/%5B%5B...slug%5D%5D-9d8bc204e611f44d76e2.js","2022-01-31 15:14:10"
"https://www.uwhealth.org/medical-records","text/html; charset=UTF-8","200","OK","Indexable","","Medical Records | UW Health","27","261","Your UW Health medical record is available through your MyChart account. Please visit this page to learn more about your medical records.","137","865","uw health medical records","25","Medical records: Access to the information you need","51","","0","Notice","6","Finding your medical records","28","","","","","https://www.uwhealth.org/medical-records","","","","","","234204","2904","8.287","1","","1040","518","0","97.000","102","32","0","27","16","0","","","","","acb181cf6a194606cf7e5e1b9a743716","0.445","","","","","1.1","https://www.uwhealth.org/medical-records","2022-01-31 15:14:10"
"https://www.uwhealth.org/conditions-and-services","text/html; charset=UTF-8","200","OK","Indexable","","Conditions, Treatments and Services | UW Health","47","439","UW Health is the academic medical center and health system for the University of Wisconsin.","91","579","","0","Conditions & Services","21","","0","Notice","6","","0","","","","","https://www.uwhealth.org/conditions-and-services","","","","","","212855","251","1.306","1","","1512","518","0","97.000","88","42","0","22","12","0","","","","","244e1b46d97c6f93c38cec1ccf339f77","0.451","","","","","1.1","https://www.uwhealth.org/conditions-and-services","2022-01-31 15:14:11"
"https://www.uwhealth.org/services/cancer","text/html; charset=UTF-8","200","OK","Indexable","","Cancer Treatment Services | Conditions, Treatments and Services | UW Health","75","695","At the UW Carbone Cancer Center, we offer cancer care specialists and treatments only available at select centers across the country. Learn more here..","151","956","cancer treatment services,cancer care specialists","49","Cancer: With you for every step of your cancer journey","54","","0","Notice","6","A holistic approach to cancer prevention and care","49","index,follow","","","","https://www.uwhealth.org/services/cancer","","","","","","483494","2372","3.343","1","","136","43","0","8.050","132","53","0","30","19","0","","","","","98e2716309728d2588151a0025ff4f1a","0.394","","","","","1.1","https://www.uwhealth.org/services/cancer","2022-01-31 15:14:11"
"https://www.uwhealth.org/news/the-spirit-of-innovation-pushing-the-boundaries-of-cell-therapy-to-help-cancer-patients/53702","","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","2","2","0","0.370","0","0","0","0","0","0","","","","","","0.593","","https://www.uwhealth.org/news/the-spirit-of-innovation-pushing-the-boundaries-of-cell-therapy-to-help-cancer-patients","HTTP Redirect","","1.1","https://www.uwhealth.org/news/the-spirit-of-innovation-pushing-the-boundaries-of-cell-therapy-to-help-cancer-patients/53702","2022-01-31 15:14:11"
