Source,Target
https://health.universityofcalifornia.edu/,https://clinicaltrials.ucbraid.org/
https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/,https://twitter.com/UofCahealth
https://health.universityofcalifornia.edu/,https://twitter.com/UofCahealth
https://health.universityofcalifornia.edu/,https://www.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/,https://www.ucop.edu/
https://health.universityofcalifornia.edu/,https://regents.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/centers-of-expertise/planetary-health
https://health.universityofcalifornia.edu/,https://ucghi.universityofcalifornia.edu/centers-of-expertise/womens-health-gender-and-empowerment
https://health.universityofcalifornia.edu/,https://ucnet.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://clinicaltrials.ucbraid.org/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/find-a-doctor/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/clinics/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/refer-a-patient/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucrhealth.org/make-an-appointment/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://twitter.com/UofCahealth
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://www.ucop.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://regents.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/centers-of-expertise/planetary-health
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucghi.universityofcalifornia.edu/centers-of-expertise/womens-health-gender-and-empowerment
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://ucnet.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://clinicaltrials.ucbraid.org/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://ucghi.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://physicians.ucdavis.edu/medicalcenter
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/discovering-healthy/cliniclocations/primarycare/index.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/medicalcenter/clinicaltrials/search.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/aboutus/quality/quality_safety.html
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/childrens-health/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/referrals/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.ucdavis.edu/contactus/
