Source,Target
https://health.universityofcalifornia.edu/,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/milk-bank,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/contact-us,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/research,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/dentistry,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/public-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/administration-leadership,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/medicine,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/research/clinical-trials,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/covid-vaccine-came-out-super-quickly-heres-why-its-safe,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences/building-equity-medical-school-curriculum,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/pharmacy,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/accessibility,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/careers,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/uc-braid-grants-support-work-toward-better-health-equity-covid-19-translational-research,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/mission-vision-values,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/optometry,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/nursing,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/behind-fight-against-covid-19,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/terms-and-conditions-use,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/research/areas-research-collaboration,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/nondiscrimination-policy,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucla-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/refer-patient,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/cancer-consortium,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/patient-care/childrens-hospitals,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/fighting-covid-19,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/social-media,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/education/veterinary-medicine,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/research/clinical-trials/what-are-clinical-trials-and-how-do-they-work,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/university-california-health-community-benefits-fy-2019-2020,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/our-commitment-medi-cal,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/push-inoculate-against-vaccine-disparities,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-health-sciences-professionals-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/refer-patient/refer-patient-cancer-centers,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/helping-humans-heal,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports?page=0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports?page=1,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/david-julius-wins-nobel-prize-work-pain-sensation,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-hospitals-recognized-among-best-california-and-nation,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/uc-global-health-institute-annual-report-2020-2021,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/economic-impact-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-nurses-california-map,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-cancer-types-treated,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/ucla-alumnus-ardem-patapoutian-shares-2021-nobel-prize-physiology-or-medicine,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/refer-patient/refer-patient-cardiac-surgery,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-optometrists-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=2,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=1,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/using-analytics-drive-decisions,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/uc-accountability-report-2020,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/medical-centers-report-fy-2019-2020,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/improving-access-care,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/systemwide-economic-fiscal-and-social-impact-analysis,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/node/586,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/node/588,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/node/587,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/population-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/population-health,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/blood-donations-needed-ease-nationwide-shortage,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/making-health-care-more-sustainable,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/diversity-health-sciences,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-veterinarians-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/elam-uc-alumnae-directory,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/2020-annual-report-sustainable-practices,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/navigating-year-heartbreak-and-hope-qa-dr-carrie-l-byington-executive-vice-president-uch,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-administers-its-one-millionth-covid-19-vaccine-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-healths-schools-achieve-high-marks-latest-national-rankings-including-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards?page=0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards?page=1,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/contact-us/media-contacts,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/cdi2-2019-2020-annual-report,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/community-benefit-across-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-summary-slide-state-map,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/cdi2-annual-report-2020-2021,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/awards-and-achievements,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/about-us/collaborating-improve-care,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=3,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=4,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/system?page=5,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/health-location,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-dentists-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/uch-community-benefits-report-fy-2019-2020,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-delivered-39-billion-community-benefits-fy-19-20,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/allocation-scarce-critical-resources-under-crisis-standards-care,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/dashboards/uch-trained-doctors-remain-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/childrens-hospitals-university-california-health-ranked-nations-top-50-multiple-specialties,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/childrens-hospitals-university-california-health-ranked-nations-top-50-multiple-specialties,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/community-ties-uch-report-affiliation-impacts,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/university-california-health-creates-centralized-data-set-accelerate-covid-19-research-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/uc-health-urges-california-congressional-delegation-oppose-graham-cassidy-health-bill-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/era-change-closer-look-veterinary-education-and-practice,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/all-university-california-academic-health-centers-receive-environmental-sustainability-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/hospitals-university-california-health-among-best-nation-and-california-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/all-university-california-health-childrens-hospitals-ranked-among-nations-best-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/news/uc-statement-passing-kaiser-ceo-bernard-j-tyson-0,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/pharmacist-workforce-and-education-california,https://health.universityofcalifornia.edu/
https://health.universityofcalifornia.edu/reports/physician-workforce-and-medical-education-california,https://health.universityofcalifornia.edu/
