Source,Target
https://www.westernuhealth.com/,https://mychart.ochin.org/
https://www.westernuhealth.com/,https://mychart.ochin.org/mychart/
https://www.westernuhealth.com/,https://www.westernu.edu/
https://www.westernuhealth.com/,https://goo.gl/maps/zoBt9LmtXxs
https://www.westernuhealth.com/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/,https://goo.gl/maps/m6UwT5sjUMo
https://www.westernuhealth.com/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
https://www.westernuhealth.com/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
https://www.westernuhealth.com/patients/,https://mychart.ochin.org/
https://www.westernuhealth.com/patients/,https://goo.gl/maps/zoBt9LmtXxs
https://www.westernuhealth.com/patients/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/patients/,https://goo.gl/maps/m6UwT5sjUMo
https://www.westernuhealth.com/patients/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
https://www.westernuhealth.com/patients/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
https://www.westernuhealth.com/locations/,https://mychart.ochin.org/
https://www.westernuhealth.com/locations/,"https://www.google.com/maps/place/309+E+2nd+St,+Pomona,+CA+91766/@34.0581487,-117.7496967,17z/data=!4m13!1m7!3m6!1s0x80c32dfabfe72e0f:0x9f1b6ccc192d3dba!2s309+E+2nd+St,+Pomona,+CA+91766!3b1!8m2!3d34.0581487!4d-117.747508!3m4!1s0x80c32dfabfe72e0f:0x9f1b6ccc192d3dba!8m2!3d34.0581487!4d-117.747508"
https://www.westernuhealth.com/locations/,https://goo.gl/maps/sqZrNNJXSSL2
https://www.westernuhealth.com/locations/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/locations/,https://goo.gl/maps/M2TJ1X6gYS12
https://www.westernuhealth.com/locations/,https://goo.gl/maps/zoBt9LmtXxs
https://www.westernuhealth.com/locations/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/locations/,https://goo.gl/maps/m6UwT5sjUMo
https://www.westernuhealth.com/locations/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
https://www.westernuhealth.com/locations/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
https://www.westernuhealth.com/wecaredental/,https://mychart.ochin.org/
https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/KX7XjnQsRQB2Cep8A
https://www.westernuhealth.com/wecaredental/,https://www.patientconnect365.com/Dentists/California/RanchoMirage/92270/We_Care_Dental_Western_U
https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/zoBt9LmtXxs
https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/m6UwT5sjUMo
https://www.westernuhealth.com/wecaredental/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
https://www.westernuhealth.com/wecaredental/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
https://www.westernuhealth.com/los-angeles/,https://mychart.ochin.org/
https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/los-angeles/,https://mychart.ochin.org/mychart/
https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/zoBt9LmtXxs
https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/r9Xhsx1yz9J2
https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/m6UwT5sjUMo
https://www.westernuhealth.com/los-angeles/,https://goo.gl/maps/zkrXP3p26GN2
https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-copyright
https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-privacy
https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-policy-accessibility
https://www.westernuhealth.com/los-angeles/,https://www.westernu.edu/westernu-resources/westernu-feedback-form/
https://www.westernuhealth.com/providers/,https://mychart.ochin.org/
