"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Search 1: bridge clinic","URL Encoded Address","Crawl Timestamp"
"https://wvumedicine.org/ruby-memorial-hospital/","text/html; charset=UTF-8","200","OK","Indexable","","J.W. Ruby Memorial Hospital | WVU Medicine","42","406","","0","0","","0","0","","0","","0","","0","","0","","0","","","","https://wvumedicine.org/ruby-memorial-hospital/","","","","","","77377","224","5.418","0","","44","32","0","3.850","172","143","0","14","11","0","","","","","9e8c867e0e8db3f41ee5c9798fe1234f","2.253","","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/","2021-11-29 14:49:32"
"https://wvumedicine.org/find-a-doctor/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","197","191","0","22.960","0","0","0","0","0","0","","","","","","1.423","","https://wvumedicine.org/doctors/","HTTP Redirect","","1.1","0","https://wvumedicine.org/find-a-doctor/","2021-11-29 14:49:35"
"https://wvumedicine.org/about/leadership-and-more/annual-report/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","181","181","0","21.750","0","0","0","0","0","0","","","","","","1.423","","https://www.flipsnack.com/wvumedicine/wvu-health-system-annual-report-2020/full-view.html","HTTP Redirect","","1.1","0","https://wvumedicine.org/about/leadership-and-more/annual-report/","2021-11-29 14:49:35"
"http://wvumedicine.org/ruby-memorial-hospital/services/wvu-medicine-primary-care/","","302","Redirect to SSL Encrypted Site","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","12","7","0","0.840","0","0","0","0","0","0","","","","","","0.062","","https://wvumedicine.org/ruby-memorial-hospital/services/wvu-medicine-primary-care/","HTTP Redirect","","1.1","0","http://wvumedicine.org/ruby-memorial-hospital/services/wvu-medicine-primary-care/","2021-11-29 14:49:37"
"https://wvumedicine.org/outpatient-clinics/west-fairmont/","text/html; charset=UTF-8","200","OK","Indexable","","West Fairmont | WVU Medicine","28","278","","0","0","","0","0","","0","","0","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/outpatient-clinics/west-fairmont/","","","","","","61190","179","3.645","1","","169","167","0","20.070","40","30","0","9","9","0","","","","","81e0bf6d430a762a7e1b869e8e0bd292","1.873","","","","","1.1","0","https://wvumedicine.org/outpatient-clinics/west-fairmont/","2021-11-29 14:49:35"
"https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/","text/html; charset=UTF-8","200","OK","Indexable","","Patient Rights and Responsibilities | WVU Medicine","50","456","Rights While you are a patient at a WVU Medicine hospital, you have the right to: Be cared for with consideration and respect in a safe environment. Receive care in a safe environment free from all forms of abuse, neglect or mistreatment Be free from restraints and seclusion in any form that is not medically […]","313","1933","","0","0","","0","Patient Rights and Responsibilities","35","","0","Rights","6","Responsibilities","16","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/","","","","","","67070","841","9.920","1","","194","186","0","22.360","51","36","0","9","9","0","","","","","1d2584b9904e655141bad1dbf6698659","1.803","","","","","1.1","0","https://wvumedicine.org/about/rights-privacy-and-non-discrimination/patient-rights-and-responsibilities/","2021-11-29 14:49:35"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/show-hidecollapse-expand/assets/css/genericons/genericons.css?ver=5.6.6","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","16583","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.073","Tue, 25 May 2021 14:13:18 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/show-hidecollapse-expand/assets/css/genericons/genericons.css?ver=5.6.6","2021-11-29 14:49:37"
"https://wvumedicine.org/p2p/accounts-payable/","text/html; charset=UTF-8","200","OK","Indexable","","Accounts Payable | WVU Medicine","31","307","The West Virginia United Health System is committed to paying its suppliers accurately and according to agreed upon terms. CONTACT ACCOUNTS PAYABLE 304-598-4079 Accounts.Payable@WVUMedicine.org","193","1319","","0","0","","0","Accounts Payable","16","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/p2p/accounts-payable/","","","","","","51318","132","3.804","1","","174","169","0","20.310","39","27","0","9","9","0","","","","","10a5521eac973a41797ff3cedf139626","1.569","","","","","1.1","0","https://wvumedicine.org/p2p/accounts-payable/","2021-11-29 14:49:36"
"https://wvumedicine.org/careers/gassaway/","text/html; charset=UTF-8","200","OK","Indexable","","Gassaway | WVU Medicine","23","240","","0","0","","0","0","","0","","0","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/careers/gassaway/","","","","","","51516","178","4.248","1","","169","167","0","20.070","33","23","0","11","11","0","","","","","90a948c9ea0d84dd147ca73d61ca208e","1.569","","","","","1.1","0","https://wvumedicine.org/careers/gassaway/","2021-11-29 14:49:36"
"https://wvumedicine.org/doctors/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","704","680","0","81.730","0","0","0","0","0","0","","","","","","1.345","","https://doctors.wvumedicine.org/","HTTP Redirect","","1.1","0","https://wvumedicine.org/doctors/","2021-11-29 14:49:37"
"https://wvumedicine.org/bill-pay/faq/","text/html; charset=UTF-8","200","OK","Indexable","","FAQ | WVU Medicine","18","189","Below are some of our frequently asked financial/billing questions. Click on a topic to go directly to the answer. Why am I receiving two charges for one visit? What services are not covered by insurance? What insurance plans do you accept? What healthcare expenses am I responsible for? What if I do not qualify for […]","320","1996","","0","0","","0","FAQ","3","","0","Why am I receiving two charges for one visit?","45","What services are not covered by insurance?","43","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/bill-pay/faq/","","","","","","55461","576","8.394","1","","178","171","0","20.550","49","30","0","9","9","0","","","","","8c0f31cdea6bb3f8bfbbfdd7f21f9979","1.585","","","","","1.1","0","https://wvumedicine.org/bill-pay/faq/","2021-11-29 14:49:37"
"https://wvumedicine.org/bill-pay/billing-resources/","text/html; charset=UTF-8","200","OK","Indexable","","Financial Resources | WVU Medicine","34","329","Use this billing information to help you better understand our policies and make payment arrangements. Need help? Connect with our financial experts. Price estimates Learn how we can help you estimate the cost before your visit: Standard Procedures Cost Estimator Current Standard Charges Payment plans We offer zero interest payment plans. Bill payment Pay your bill online […]","378","2380","","0","0","","0","Financial Resources","19","","0","Additional resources","20","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/bill-pay/billing-resources/","","","","","","55003","260","4.963","1","","174","171","0","20.550","56","38","0","13","11","0","","","","","a63631b94c0596294feeabbfc4adfe5b","1.725","","","","","1.1","0","https://wvumedicine.org/bill-pay/billing-resources/","2021-11-29 14:49:37"
"https://wvumedicine.org/employee-engagement-survey/","text/html; charset=UTF-8","200","OK","Indexable","","Employee Engagement Survey | WVU Medicine","41","422","","0","0","","0","0","","0","Employee Engagement Survey","26","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/employee-engagement-survey/","","","","","","53331","252","4.617","1","","172","170","0","20.430","77","57","0","10","10","0","","","","","9a4e416bdb43ece00d885ec8a70e288c","1.515","","","","","1.1","0","https://wvumedicine.org/employee-engagement-survey/","2021-11-29 14:49:38"
"https://wvumedicine.org/about/hospitals-and-institutes/","text/html; charset=UTF-8","200","OK","Indexable","","WVU Medicine Hospitals and Institutes | WVU Medicine","52","491","J.W. Ruby Memorial […]","22","152","","0","0","","0","WVU Medicine Hospitals and Institutes","37","","0","Institutes","10","Quick Links","11","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/about/hospitals-and-institutes/","","","","","","69202","656","7.730","1","","1608","827","0","99.400","122","108","0","32","32","0","","","","","53b59c4f86f88ec2d1cdf75b6292a47c","1.541","","","","","1.1","0","https://wvumedicine.org/about/hospitals-and-institutes/","2021-11-29 14:49:38"
"https://wvumedicine.org/careers/cadiz/","text/html; charset=UTF-8","200","OK","Indexable","","Cadiz | WVU Medicine","20","200","","0","0","","0","0","","0","","0","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/careers/cadiz/","","","","","","50974","179","4.350","1","","170","168","0","20.190","33","23","0","11","11","0","","","","","657545545298cdeba12899d9a05d5f95","1.665","","","","","1.1","0","https://wvumedicine.org/careers/cadiz/","2021-11-29 14:49:38"
"http://wvumedicine.org/ruby-memorial-hospital/services/wvu-specialty-clinics/","","302","Redirect to SSL Encrypted Site","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","1","1","0","0.120","0","0","0","0","0","0","","","","","","0.069","","https://wvumedicine.org/ruby-memorial-hospital/services/wvu-specialty-clinics/","HTTP Redirect","","1.1","0","http://wvumedicine.org/ruby-memorial-hospital/services/wvu-specialty-clinics/","2021-11-29 14:49:40"
"https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/","text/html; charset=UTF-8","200","OK","Indexable","","Patients and Visitors | Ruby Memorial Hospital","46","407","Your Hospital Stay Overnight and Extended Stays Support Services Visitor Resources Directions and Parking WVU Medicine App Visitation Guidelines Amenities Send an E-card to a Patient Support Groups MyWVUChart Make an Appointment Pay Your Bill Medical Records Rights, Privacy, and Non-discrimination Patient Rights and Responsibilities Speak Up Program Health Information Exchange Notice of Privacy Practices […]","411","2667","","0","0","","0","Patients and Visitors","21","","0","","0","","0","","","","https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/","","","","","","75259","303","6.003","1","","362","166","0","19.950","186","147","0","9","9","0","","","","","d1f5636c8049f201d78f99eabc78e3c9","1.907","","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/","2021-11-29 14:49:39"
"https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/visitor-resources/send-a-card-to-a-hospital-patient/","text/html; charset=UTF-8","200","OK","Indexable","","Send an E-card to a Patient | Ruby Memorial Hospital","52","469","﻿ Your browser doesn't support iframes","38","247","","0","0","","0","Visitor Resources Send an E-card to a Patient","45","","0","","0","","0","","","","https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/visitor-resources/send-a-card-to-a-hospital-patient/","","","","","","77882","305","5.776","1","","17","13","0","1.560","184","150","0","9","9","0","","","","","b5dbb9ed750868ba4edaa67365b96b31","1.863","","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/patients-and-visitors/visitor-resources/send-a-card-to-a-hospital-patient/","2021-11-29 14:49:39"
"https://wvumedicine.org/about/leadership-and-more/board-of-directors/","text/html; charset=UTF-8","200","OK","Indexable","","Board of Directors | WVU Medicine","33","307","Richard M. Adams – Parkersburg, WV Jeffrey L. Barger – Bridgeport, WV Joe Campbell – Parkersburg, WV Terry Capel, MD – Parkersburg, WV Ellen S. Cappellanti – Charleston, WV Kathy Eddy – Secretary, Parkersburg, WV E. Gordon Gee– Chair, Morgantown, WV Steve Ferguson – Summersville, WV Hannah Hazard, MD – Morgantown, WV Thomas Heywood – […]","339","2292","","0","0","","0","Board of Directors","18","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/about/leadership-and-more/board-of-directors/","","","","","","55526","316","5.219","1","","183","181","0","21.750","55","37","0","9","9","0","","","","","628c308c0a1a6c943f382b48ab23ecf5","1.551","","","","","1.1","0","https://wvumedicine.org/about/leadership-and-more/board-of-directors/","2021-11-29 14:49:40"
"https://wvumedicine.org/rnjobs/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","170","170","0","20.430","0","0","0","0","0","0","","","","","","1.331","","https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fre12.ultipro.com%2FWES1019WVUH%2FJobBoard%2FListJobs.aspx%3F__PXDO%3D*5B193482696D86A46BE27A09BF9D44EF1FEF5044CF8196FBF1B81AABDB2580DA35D2E0E945D769E69249FCDCF130A4B1D3104011C807F147712D6EA5E4CC1ABC99A8DA4AA272D02FEAC1C3B02E5FF2966724009B422B7DC9C150EE4EB8BBDEE66D889DF3F2ED31300B672A6BD6778DCBA44779F751744AF4F307DE90EAA39EF0EA544F810144D841D7C4C8128EADA924F09AB6DF93E5A75C9DBFEF7C218A9AFF1B0AECE697399EFC7BDB6E8CD7468277ECDA92CD34AC0870C3ED1A645A9C1B36157CAF50EC3DE1001A47CBF0B887E574B82BA8625EFCC58F4A85A89D4594EB3E%26__SQV%3D*174BBF0B4A64F8B0DF45FB8FA6D1F28E3CA4B46DE2484750C3EAC3A5E154D26C55B12E1A36A9853AD87A01C3B465E481&data=02|01|leigh.limerick%40wvumedicine.org|668aad1893a7416ab39808d8618c0a1d|a2d1f95f851044248ae15c596bdbd578|0|0|637366601384381920&sdata=G1PNStwZs3jDFYYyYy2JhrtyphGF%2F%2F26w%2B%2Bkv%2Fixpco%3D&reserved=0","HTTP Redirect","","1.1","0","https://wvumedicine.org/rnjobs/","2021-11-29 14:49:40"
"https://wvumedicine.org/info/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","WVU Medicine Information","24","236","Contact Us Contact Us At WVU Medicine, we are interested in more than just your good health. We would like an opportunity to answer any questions or concerns you may have and to connect you with the right person in our organization who can assist you. If you are experiencing a medical emergency, please […]","307","1952","","0","0","fellowship,healthcare,management,leadership","43","Contact Us","10","","0","","0"," ","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/info/contact-us/","","","","","","51822","222","4.051","1","","802","802","0","96.390","31","31","0","10","7","0","","","","","5d2f07595b2138d39fbb62800052a16a","2.673","","","","","1.1","0","https://wvumedicine.org/info/contact-us/","2021-11-29 14:49:40"
"https://wvumedicine.org/online-appointment-primary-care-physician/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Make an appointment with your provider: 855-WVU-CARE (855-988-2273) | WVU Medicine","82","807","Virtual care options* Urgent Care video visits WVU Medicine Urgent Care can evaluate and treat a number of common conditions with a remote video visit. This service is available to adults and children of any age. This is a service for patients who have minor medical conditions, and not for emergencies. Please do not […]","321","2001","","0","0","","0","Make an appointment with your provider: 855-WVU-CARE (855-988-2273)","67","","0","Virtual care options*","21","Request an in-person appointment:","33","noindex, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/online-appointment-primary-care-physician/","","","","","","54694","262","5.157","1","","1933","800","0","96.150","40","29","0","10","9","0","","","","","4e587cd6d7acb0c1fd19ceda0eee2414","1.711","","","","","1.1","0","https://wvumedicine.org/online-appointment-primary-care-physician/","2021-11-29 14:49:41"
"https://wvumedicine.org/careers/usc/","text/html; charset=UTF-8","200","OK","Indexable","","United Summit Center | WVU Medicine","35","345","","0","0","","0","0","","0","","0","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/careers/usc/","","","","","","50895","150","4.089","1","","169","167","0","20.070","33","23","0","10","10","0","","","","","8233b73c95bf9b72f5957d49bb9adcbe","1.666","","","","","1.1","0","https://wvumedicine.org/careers/usc/","2021-11-29 14:49:41"
"https://wvumedicine.org/about/rights-privacy-and-non-discrimination/title-ix/","text/html; charset=UTF-8","200","OK","Indexable","","Title IX | WVU Medicine","23","209","WVU Health System (WVUHS) is committed to fostering a diverse and inclusive culture by promoting diversity, inclusion, equality, and intercultural and intercommunity outreach. WVUHS does not discriminate on the basis of race, color, national origin, ancestry, age, physical or mental disability, marital or family status, pregnancy, veteran status, service in the uniformed services (as defined […]","398","2444","","0","0","","0","Title IX","8","","0","J.W. Ruby Memorial Hospital / WVU Medicine Children’s – Morgantown","66","United Hospital Center – Bridgeport","35","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/about/rights-privacy-and-non-discrimination/title-ix/","","","","","","57637","499","7.818","1","","190","186","0","22.360","56","38","0","9","9","0","","","","","b203d30b615604eaf3bc9854e6a6c7fa","1.672","","","","","1.1","0","https://wvumedicine.org/about/rights-privacy-and-non-discrimination/title-ix/","2021-11-29 14:49:41"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/themes/wvu-medicine-2015/js/wvum-subsite.js?ver=2016","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","721","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.037","Fri, 15 Jun 2018 13:31:28 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/themes/wvu-medicine-2015/js/wvum-subsite.js?ver=2016","2021-11-29 14:49:43"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/fancybox-for-wordpress/assets/css/fancybox.css?ver=1.3.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","3808","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.037","Wed, 27 Jan 2021 00:13:17 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/fancybox-for-wordpress/assets/css/fancybox.css?ver=1.3.4","2021-11-29 14:49:43"
"https://wvumedicine.org/outpatient-clinics/university-town-centre/","text/html; charset=UTF-8","200","OK","Indexable","","University Town Centre | WVU Medicine","37","355","","0","0","","0","0","","0","","0","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/outpatient-clinics/university-town-centre/","","","","","","63313","209","3.901","1","","201","167","0","20.070","42","32","0","9","9","0","","","","","61a5640dfc3ad53a7c2b34b556d0d042","1.798","","","","","1.1","0","https://wvumedicine.org/outpatient-clinics/university-town-centre/","2021-11-29 14:49:41"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.6.7","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","7928","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.035","Wed, 27 Jan 2021 00:13:24 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.6.7","2021-11-29 14:49:43"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/themes/wvu-medicine-ruby/js/init.js?ver=2016","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1062","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.127","Tue, 14 Aug 2018 18:39:41 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/themes/wvu-medicine-ruby/js/init.js?ver=2016","2021-11-29 14:49:43"
"https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","896","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.114","Wed, 27 Jan 2021 00:41:10 GMT","","","","1.1","0","https://wvumedicine.org/ruby-memorial-hospital/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2","2021-11-29 14:49:43"
"https://wvumedicine.org/search-videos/","text/html; charset=UTF-8","200","OK","Indexable","","Search Videos | WVU Medicine","28","277","","0","0","","0","0","","0","Search Videos","13","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/search-videos/","","","","","","53088","253","4.621","1","","172","170","0","20.430","77","57","0","10","10","0","","","","","8aa646e9c440be447b8aa505d1943fdb","1.651","","","","","1.1","0","https://wvumedicine.org/search-videos/","2021-11-29 14:49:42"
"https://wvumedicine.org/wayfinding/","text/html; charset=UTF-8","200","OK","Indexable","","WVU Medicine Indoor Wayfinding | WVU Medicine","45","448","Each year, hundreds of thousands of people visit WVU Medicine J.W. Ruby Memorial Hospital, in Morgantown, West Virginia. Some are patients, while others are spending time with a loved who is hospitalized. And some are accompanying a friend or family member who is having a medical procedure or test performed. The new WVU […]","325","2091","","0","0","","0","WVU Medicine Indoor Wayfinding","30","","0","","0","","0","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://wvumedicine.org/wayfinding/","","","","","","51037","254","5.201","1","","173","171","0","20.550","34","23","0","11","11","0","","","","","e2a2816e63d42b082d550864bac9cf6d","1.704","","","","","1.1","0","https://wvumedicine.org/wayfinding/","2021-11-29 14:49:42"
"https://wvumedicine.org/wvvaccine/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","170","170","0","20.430","0","0","0","0","0","0","","","","","","1.348","","http://vaccinate.wv.gov/","HTTP Redirect","","1.1","0","https://wvumedicine.org/wvvaccine/","2021-11-29 14:49:44"
