"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.stvincenthospital.com/","text/html; charset=utf-8","200","OK","Indexable","","Saint Vincent Hospital & Emergency Room in Worcester MA","55","529","Saint Vincent Hospital has provided quality health and medical care in Worcester MA for over 125 years.","103","648","","0","A Community Built on Safety","27","","0","Our Message to the Community","28","Emergency Room Online Check-in","30","","","","https://www.stvincenthospital.com/","","","","","","76420","457","5.704","0","","13","8","0.710","56","39","2","2","","","","","e101a95863eec8172f9df1604a0922e1","0.054","","","","","HTTP/1.1","https://www.stvincenthospital.com/","2021-09-17 14:23:40"
"https://www.stvincenthospital.com/about","text/html; charset=utf-8","200","OK","Indexable","","About Us | Saint Vincent Hospital | Worcester MA","48","433","Saint Vincent Hospital has in Worcester, Caring For The Health And Spiritual Needs of our Community and Families","112","713","St. Vincent Hospital, Saint Vincent Hospital, Worcester","55","About Us","8","","0","Additional Resources","20","About Saint Vincent Hospital","28","","","","https://www.stvincenthospital.com/about","","","","","","63329","577","7.225","1","","3378","1121","100.000","48","28","2","2","","","","","cc6cafe3b31867385b9670296763a695","0.225","","","","","HTTP/1.1","https://www.stvincenthospital.com/about","2021-09-17 14:23:43"
"https://www.stvincenthospital.com/privacy-policy","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","View Our Privacy Policy - Saint Vincent Hospital","48","421","Privacy Policy for the Saint Vincent Hospital Website","53","329","Privacy Policy","14","Privacy Policy","14","","0","","0","","0","noindex","","","https://www.stvincenthospital.com/privacy-policy","","","","","","51736","2057","26.675","1","","1143","1121","100.000","39","24","5","5","","","","","14a5a7820b6630e3044fa5b1ca29e63d","0.224","","","","","HTTP/1.1","https://www.stvincenthospital.com/privacy-policy","2021-09-17 14:23:44"
"https://www.stvincenthospital.com/special-message","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Special Message","15","151","","0","0","","0","Our Message to the Community","28","","0","Learn more about Saint Vincent Hospital","39","","0","noindex","","","https://www.stvincenthospital.com/special-message","","","","","","46329","646","10.335","1","","120","118","10.530","42","26","2","2","","","","","e89c3aaf0ef040439f7f24e0ced7a320","0.515","","","","","HTTP/1.1","https://www.stvincenthospital.com/special-message","2021-09-17 14:23:43"
"https://www.stvincenthospital.com/services/general-surgery/robotic-surgery","text/html; charset=utf-8","200","OK","Indexable","","Robotic Surgery | daVinci Surgery | Minimally Invasive Surgery","62","552","We use the aa Vinci System to perform robotic, minimally invasive surgery at Saint Vincent Hospital","99","617","da Vinci Robotic Surgery, minimally invasive","44","Robotic Surgery","15","","0","Minimally Invasive Precision","28","Benefits of Robotic-Assisted Surgery","36","","","","https://www.stvincenthospital.com/services/general-surgery/robotic-surgery","","","","","","52899","400","6.429","1","","125","122","10.880","44","26","2","2","","","","","32936e7640fa601ff435f3d1bb548261","0.363","","","","","HTTP/1.1","https://www.stvincenthospital.com/services/general-surgery/robotic-surgery","2021-09-17 14:23:43"
"https://www.stvincenthospital.com/health-professionals","text/html; charset=utf-8","200","OK","Indexable","","Saint Vincent Hospital Medical Professionals Information","56","495","Comprehensive resources for current and prospective Saint Vincent Hospital physicians and employees","99","643","","0","Health Professionals","20","","0","Additional Resources","20","The Saint Vincent Difference","28","","","","https://www.stvincenthospital.com/health-professionals","","","","","","59014","215","4.006","1","","3404","1121","100.000","45","26","2","2","","","","","f8018e02cb97f2f1edb12ded6aef09c0","0.193","","","","","HTTP/1.1","https://www.stvincenthospital.com/health-professionals","2021-09-17 14:23:43"
"https://www.stvincenthospital.com/services/cardiovascular","text/html; charset=utf-8","200","OK","Indexable","","Heart and Vascular Care | Saint Vincent Hospital","48","427","See how we provide advanced, compassionate heart and vascular care at St. Vincent Hospital in Worcester, MA","107","699","Heart Care","10","Cardiovascular","14","","0","State-of-the-Art Care","21","Cardiovascular Services","23","","","","https://www.stvincenthospital.com/services/cardiovascular","","","","","","78862","331","3.970","1","","143","138","12.310","51","31","2","2","","","","","c88d24bf4e97f0f9c1bd6ef1ed2bc467","0.067","","","","","HTTP/1.1","https://www.stvincenthospital.com/services/cardiovascular","2021-09-17 14:23:44"
"https://www.stvincenthospital.com/terms-of-use","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Terms of Use - Saint Vincent Hospital","37","330","Welcome to the Saint Vincent Hospital website  which is owned and provided by Saint Vincent Hospital, including its affiliates. Your use and access of the Website","162","1003","Terms of Use","12","Terms of Use","12","","0","","0","","0","noindex","","","https://www.stvincenthospital.com/terms-of-use","","","","","","43012","745","12.702","1","","1126","1121","100.000","39","23","2","2","","","","","47bf2339e4ab4bd70d1a33dc5e4c2ca6","0.377","","","","","HTTP/1.1","https://www.stvincenthospital.com/terms-of-use","2021-09-17 14:23:44"
"https://www.stvincenthospital.com/health-assessments","text/html; charset=utf-8","200","OK","Indexable","","Health Assessments | Saint Vincent Hospital | Worcester MA","58","531","Take our free health assessments and get the information you need to help you make health care decisions for you and your family","128","810","","0","Health Assessments","18","","0","Bariatric Surgery","17","Breast Cancer","13","","","","https://www.stvincenthospital.com/health-assessments","","","","","","62286","188","3.431","1","","1139","1121","100.000","51","34","2","2","","","","","a2a958adbcebee9f4b68354bab80b03f","0.181","","","","","HTTP/1.1","https://www.stvincenthospital.com/health-assessments","2021-09-17 14:23:45"
"https://www.stvincenthospital.com/services/obstetrics","text/html; charset=utf-8","200","OK","Indexable","","Obstetrics, Child Birth and Delivery Services","45","391","See why Saint Vincent Hospital has comprehensive maternity care for your child birth experience in Worcester, MA","112","713","maternity services, delivery, child birth","41","Obstetrics","10","","0","Request an OB/GYN Referral","26","A Comfortable Place to Deliver Your Baby","40","","","","https://www.stvincenthospital.com/services/obstetrics","","","","","","73021","950","9.140","1","","137","131","11.690","47","28","3","3","","","","","3a120d46773b0f17d8f2c44d0329bb0e","0.115","","","","","HTTP/1.1","https://www.stvincenthospital.com/services/obstetrics","2021-09-17 14:23:45"
"https://www.stvincenthospital.com/services/physical-therapy","text/html; charset=utf-8","200","OK","Indexable","","Rehabilitation and Physical Therapy Services | St. Vincent","58","511","Our rehabilitation specialists and physical therapists create customized rehabilitation to suit your recovery needs","115","698","rehabilitation, rehab services, physical therapy, Physical, Speech, Occupational Therapy","88","Physical Therapy","16","","0","Physical Therapy and More","25","Advanced, Comprehensive Treatment","33","","","","https://www.stvincenthospital.com/services/physical-therapy","","","","","","96088","524","5.291","1","","138","133","11.860","46","27","2","2","","","","","caddbdf9c58875a66fa7693bff5fc052","0.138","","","","","HTTP/1.1","https://www.stvincenthospital.com/services/physical-therapy","2021-09-17 14:23:45"
